energy,n,m,edges,weights,graph_hash,graph_type
3.0,4,6,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 3)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",64789547bbb9a941459d7d5a9d315394d9d9f2850b199a16e615b3c3c86ca419,hog
5.999999999999998,6,9,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",08d3f73c9bb85e738fdeb35ef3ff83284b6cb907fb916a10893f334e560d8b70,hog
7.38848974754172,8,12,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 6), (2, 5), (2, 7), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0680e2d1079eb60ad1535b5e7b8941f490a7a044259643786d1388ed491e956d,hog
8.089454172900151,10,15,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 6), (2, 9), (3, 7), (3, 8), (4, 6), (4, 8), (5, 7), (5, 9), (6, 7), (8, 9)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",f40384d76b9f60616921cf4246c9394571344a82ee9ef81b6b7c14c822c0d0d3,hog
5.302775637731994,6,9,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 5), (4, 5)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",e0885c761cf10f283d96e808e4900d5680b574b8e31cd9bcf92517ae3ed4baaf,hog
7.820089374374775,8,12,"[(0, 1), (0, 2), (0, 3), (1, 5), (1, 6), (2, 5), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",552bd9c2b79cf3dbbccad39e000d1a4795a19f76a26ad1ffb263b851f215870b,hog
8.086141352640439,10,15,"[(0, 1), (0, 2), (0, 3), (1, 6), (1, 7), (2, 3), (2, 8), (3, 9), (4, 5), (4, 6), (4, 8), (5, 7), (5, 9), (6, 8), (7, 9)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",9333e558f2af86e2a6f1de94d22e6e948a8027e372c6b92b90ff99f0a76a89d4,hog
8.60537829757849,10,15,"[(0, 1), (0, 2), (0, 3), (1, 3), (1, 9), (2, 3), (2, 9), (4, 5), (4, 6), (4, 9), (5, 7), (5, 8), (6, 7), (6, 8), (7, 8)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02889f4809cd883232c8103a589267ecdb09e64735119235ab79b83acd07faca,hog
8.12014363259885,10,15,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 8), (3, 9), (4, 5), (4, 8), (5, 9), (6, 7), (6, 8), (7, 9)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",84c26df908ec94c88d2a4ac0daf51076c58c539d259f395d19b5b7e0b610479a,hog
9.63684082235117,10,15,"[(0, 1), (0, 2), (0, 3), (1, 6), (1, 9), (2, 7), (2, 9), (3, 8), (3, 9), (4, 6), (4, 7), (4, 8), (5, 6), (5, 7), (5, 8)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",513771299f8bce6a09605064091614737db57f5b7a48afe065956ee963baf58c,hog
6.981601453898964,8,12,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 3), (2, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",f24327551cd20bf991d671e90c24bc986b45109437084306fae1b765127ab6a6,hog
