run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,result,result_010101,approx_ratio,approx_ratio_010101,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted
2fa6a85a,3,2,1,300.0,False,True,"[1, 1, 1]",0.9999933980440452,0.9999902094377877,0.6666622653626968,0.6666601396251918,7.567223072052002,2026-04-08 13:41:41,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,171.2,ADAM,3,4,0,True,False,False,False,10800,10,line,False
176cd02b,4,3,1,300.0,False,True,"[1, 1, 1]",1.499999930020244,1.499999985256947,0.6339813736349298,0.6339813969809581,7.646280765533447,2026-04-08 13:41:58,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,178.11,ADAM,3,4,0,True,False,False,False,10800,10,line,False
ef68bea8,3,2,2,300.0,False,True,"[1, 1, 1]",0.9999981408977403,0.9999964979920959,0.6666654272651602,0.6666643319947306,17.52570867538452,2026-04-08 13:42:25,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,189.0,ADAM,3,4,0,True,False,False,False,10800,10,line,False
044a0e1e,4,3,2,300.0,False,True,"[1, 1, 1]",1.4999993348081284,1.4999999997763958,0.6339811220659883,0.6339814031176652,24.76198124885559,2026-04-08 13:42:59,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,185.62,ADAM,3,4,0,True,False,False,False,10800,10,line,False
52f77e2b,3,2,3,300.0,False,True,"[1, 1, 1]",0.9999962980328483,0.9999999627689623,0.6666641986885655,0.6666666418459749,35.436131954193115,2026-04-08 13:43:46,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,180.3,ADAM,3,4,0,True,False,False,False,10800,10,line,False
865d4626,4,3,3,300.0,False,True,"[1, 1, 1]",1.4999873654747702,1.499998659437425,0.6339760631761496,0.6339808366176775,48.00904297828674,2026-04-08 13:44:43,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,170.53,ADAM,3,4,0,True,False,False,False,10800,10,line,False
03547548,3,2,4,300.0,False,True,"[1, 1, 1]",0.9999987146557087,0.999999999997114,0.6666658097704724,0.6666666666647426,52.036415815353394,2026-04-08 13:45:45,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,186.89,ADAM,3,4,0,True,False,False,False,10800,10,line,False
55a4cf07,4,3,4,300.0,False,True,"[1, 1, 1]",1.4999993897301362,1.5042365280000785,0.6339811452790094,0.6357719898563307,100.02167987823486,2026-04-08 13:47:38,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,166.86,ADAM,3,4,0,True,False,False,False,10800,10,line,False
c01eefb6,3,2,5,300.0,False,True,"[1, 1, 1]",0.9999996941396374,0.9999999994785969,0.6666664627597583,0.6666666663190646,92.24430203437805,2026-04-08 13:49:23,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,168.23,ADAM,3,4,0,True,False,False,False,10800,10,line,False
7effaa23,4,3,5,300.0,False,True,"[1, 1, 1]",1.5790639088292329,1.4999980206585068,0.6673981017875033,0.6339805666350409,291.2218508720398,2026-04-08 13:54:35,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,162.28,ADAM,3,4,0,True,False,False,False,10800,10,line,False
