run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,rerun_exclude_finished_instances
aa915e75,4,6,4,500.0,False,True,"[1, 1, 1]",1.8005294845280277,,0.6001764948426759,,,,17.68558692932129,2026-04-15 16:44:50,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,213.66,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
ad52e30e,4,6,1,500.0,False,True,"[1, 1, 1]",1.8057746739051521,,0.6019248913017173,,,,1.6059560775756836,2026-04-15 08:15:16,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,211.27,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
c28138b8,4,6,3,100.0,False,True,"[1, 1, 1]",1.8074030959335279,,0.6024676986445093,,,,1.9617321491241455,2026-04-15 08:17:05,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,212.22,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
d90687d1,4,6,5,300.0,False,True,"[1, 1, 1]",1.8357191949145881,,0.6119063983048627,,,,15.727329015731812,2026-04-15 16:29:58,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,213.42,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
ff6f5780,4,6,1,100.0,False,True,"[1, 1, 1]",1.8388611561703918,,0.6129537187234639,,,,0.2766692638397217,2026-04-15 08:11:49,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,209.67,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
13ffb29b,4,6,10,100.0,False,True,"[1, 1, 1]",1.8837448448650742,,0.627914948288358,,,,18.56508994102478,2026-04-15 18:24:13,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,215.95,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
e8b854c4,4,6,2,300.0,False,True,"[1, 1, 1]",1.8844409137733267,,0.6281469712577755,,,,3.2455689907073975,2026-04-15 08:50:52,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,212.53,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
61105a07,4,6,20,300.0,False,True,"[1, 1, 1]",1.9132377851221614,,0.6377459283740537,,,,221.01295590400696,2026-04-16 08:15:29,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,222.11,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
99c13d05,4,6,10,300.0,False,True,"[1, 1, 1]",1.9413167640433355,,0.6471055880144452,,,,58.63969612121582,2026-04-16 01:13:04,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,197.39,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
75910223,4,6,20,100.0,False,True,"[1, 1, 1]",1.9470955002047223,,0.6490318334015741,,,,77.67986178398132,2026-04-16 02:36:26,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,218.48,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
f600eac3,4,6,15,500.0,False,True,"[1, 1, 1]",1.947626644990131,,0.649208881663377,,,,227.5431101322174,2026-04-16 07:47:11,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,216.61,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
5f450b09,4,6,2,500.0,False,True,"[1, 1, 1]",1.9480118470337289,,0.6493372823445763,,,,5.000192165374756,2026-04-15 11:18:14,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,212.41,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
f10db655,4,6,5,500.0,False,True,"[1, 1, 1]",1.9565763676454506,,0.6521921225484836,,,,24.72409987449646,2026-04-15 19:08:05,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,211.86,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
a430d6de,4,6,15,100.0,False,True,"[1, 1, 1]",1.9576350795515733,,0.6525450265171912,,,,39.071486949920654,2026-04-15 22:34:20,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,220.0,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
461885af,4,6,3,300.0,False,True,"[1, 1, 1]",1.9605154137296181,,0.6535051379098727,,,,6.138511896133423,2026-04-15 11:27:50,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,213.94,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
2b9b1120,4,6,15,300.0,False,True,"[1, 1, 1]",1.9744006175979867,,0.6581335391993289,,,,126.38002872467041,2026-04-16 04:55:20,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,217.28,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
4dc3c466,4,6,1,300.0,False,True,"[1, 1, 1]",1.974662923650437,,0.6582209745501456,,,,0.8396182060241699,2026-04-15 08:13:21,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,208.47,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
06b27d42,4,6,4,300.0,False,True,"[1, 1, 1]",1.9786086830757188,,0.6595362276919062,,,,10.781175136566162,2026-04-15 14:05:13,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,211.98,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
1709ac8d,4,6,4,100.0,False,True,"[1, 1, 1]",1.9803271357933367,,0.6601090452644456,,,,3.494757890701294,2026-04-15 10:58:20,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,212.98,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
bef83f1c,4,6,2,100.0,False,True,"[1, 1, 1]",1.981236383546114,,0.6604121278487046,,,,0.8524980545043945,2026-04-15 08:14:59,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,211.97,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
9aaeeca4,4,6,5,100.0,False,True,"[1, 1, 1]",1.9897944013368611,,0.6632648004456204,,,,5.265738010406494,2026-04-15 11:19:35,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,216.48,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
55192467,4,6,3,500.0,False,True,"[1, 1, 1]",1.9961182205513284,,0.6653727401837761,,,,10.94305419921875,2026-04-15 13:58:01,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,212.42,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
5e4334e7,4,6,10,500.0,False,True,"[1, 1, 1]",1.996300350818565,,0.665433450272855,,,,101.16506004333496,2026-04-16 03:35:08,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,213.97,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
e1811596,3,3,20,300.0,False,True,"[1, 1, 1]",1.0033312560440864,,0.6688875040293909,,,,130.67453694343567,2026-04-16 06:00:03,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,215.95,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
f48b315d,3,3,3,500.0,False,True,"[1, 1, 1]",1.0125362598705876,,0.6750241732470584,,,,6.873929023742676,2026-04-15 11:59:13,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,212.47,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
4df5a64f,3,3,20,100.0,False,True,"[1, 1, 1]",1.0185396485966705,,0.6790264323977803,,,,44.89666819572449,2026-04-16 01:06:10,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,216.61,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
70462564,3,3,15,500.0,False,True,"[1, 1, 1]",1.0237717297240907,,0.6825144864827272,,,,132.60897207260132,2026-04-16 05:44:01,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,219.59,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
505bd9fb,6,15,10,100.0,False,True,"[1, 1, 1]",4.102010859282084,,0.6836684765470139,,,,40.808141231536865,2026-04-15 20:17:52,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,220.97,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
8245e1be,3,3,2,500.0,False,True,"[1, 1, 1]",1.0296711397513942,,0.6864474265009295,,,,3.6436238288879395,2026-04-15 10:58:04,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,206.78,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
53c0dba5,3,3,4,500.0,False,True,"[1, 1, 1]",1.0376706186715774,,0.6917804124477183,,,,11.822583198547363,2026-04-15 14:57:57,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,211.92,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
c33c77ac,3,3,1,500.0,False,True,"[1, 1, 1]",1.0411573808759131,,0.6941049205839421,,,,1.0686070919036865,2026-04-15 08:14:53,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,210.58,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
4adfa6b0,6,15,4,300.0,False,True,"[1, 1, 1]",4.198572071746159,,0.6997620119576932,,,,23.048153162002563,2026-04-15 15:57:14,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,214.69,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
867e5312,6,15,10,300.0,False,True,"[1, 1, 1]",4.232505214187781,,0.7054175356979635,,,,127.8039140701294,2026-04-16 03:17:50,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,223.39,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
73180448,3,3,4,100.0,False,True,"[1, 1, 1]",1.0619855392563318,,0.7079903595042212,,,,2.1619038581848145,2026-04-15 08:50:45,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,211.25,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
29250c97,3,3,15,100.0,False,True,"[1, 1, 1]",1.0664906364800415,,0.710993757653361,,,,23.117832899093628,2026-04-15 21:01:34,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,216.11,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
062cf86f,5,10,20,100.0,False,True,"[1, 1, 1]",2.872261784897578,,0.7180654462243945,,,,111.65898013114929,2026-04-16 03:26:47,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,222.23,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
5d26af87,3,3,5,100.0,False,True,"[1, 1, 1]",1.0788558724826978,,0.7192372483217985,,,,2.852281093597412,2026-04-15 11:17:56,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,197.09,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
d2b5d82f,3,3,5,300.0,False,True,"[1, 1, 1]",1.0795915242011074,,0.7197276828007383,,,,9.645592212677002,2026-04-15 14:42:35,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,210.98,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
8f16394c,6,15,4,500.0,False,True,"[1, 1, 1]",4.323362418765758,,0.7205604031276264,,,,33.17888307571411,2026-04-15 19:06:51,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,217.33,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
b91ab3d5,3,3,10,100.0,False,True,"[1, 1, 1]",1.0882987349461437,,0.7255324899640958,,,,11.330279111862183,2026-04-15 16:22:47,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,212.75,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
3cfc30d3,3,3,10,300.0,False,True,"[1, 1, 1]",1.0887386532848278,,0.7258257688565518,,,,32.28187394142151,2026-04-15 22:41:01,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,214.58,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
93c6948c,3,3,20,500.0,False,True,"[1, 1, 1]",1.0917683109735443,,0.7278455406490295,,,,238.7635462284088,2026-04-16 09:28:24,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,214.91,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
7d2027d1,6,15,5,100.0,False,True,"[1, 1, 1]",4.3684087489367025,,0.7280681248227837,,,,10.627217292785645,2026-04-15 12:50:10,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,219.47,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
baff72c4,6,15,5,500.0,False,True,"[1, 1, 1]",4.368526272027851,,0.7280877120046418,,,,56.4078209400177,2026-04-15 21:11:01,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,217.64,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
