run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,learning_rate_adam,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,rerun_exclude_finished_instances
83129580,3,2,1,50.0,False,True,"[1, 1, 1]",0.9999978809602801,-4.752297444454712e-10,0.9999978804850503,,0.6666652536567003,,,,0.9104440212249756,2026-04-19 15:24:13,Apple A18 Pro,MacBook-von-Julian.fritz.box,8.0,6,6,3.13.11,179.27,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
3464161f,4,3,1,50.0,False,True,"[1, 1, 1]",1.4999998904406115,-2.220446049250313e-13,1.4999998904403895,,0.6339813569063354,,,,0.7167150974273682,2026-04-19 15:24:23,Apple A18 Pro,MacBook-von-Julian.fritz.box,8.0,6,6,3.13.11,173.05,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
3f6aad80,5,4,1,50.0,False,True,"[1, 1, 1]",1.9999983190829878,-1.2758005762947278e-09,1.9999983178071872,,0.6830595347702142,,,,0.9371709823608398,2026-04-19 15:24:33,Apple A18 Pro,MacBook-von-Julian.fritz.box,8.0,6,6,3.13.11,169.41,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
5481a94e,3,2,1,100.0,False,True,"[1, 1, 1]",0.9999882676040582,-3.8611154273837656e-09,0.9999882637429428,,0.6666588424952952,,,,1.0276641845703125,2026-04-19 15:24:44,Apple A18 Pro,MacBook-von-Julian.fritz.box,8.0,6,6,3.13.11,180.22,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
0cfed8e3,6,5,1,50.0,False,True,"[1, 1, 1]",2.499999832562814,-2.2248436870597743e-08,2.4999998103143772,,0.6677349920711477,,,,1.2690279483795166,2026-04-19 15:24:56,Apple A18 Pro,MacBook-von-Julian.fritz.box,8.0,6,6,3.13.11,159.03,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
674619c7,7,6,1,50.0,False,True,"[1, 1, 1]",2.9999928724881273,-2.2558777512671213e-08,2.99999284992935,,0.6918802698176544,,,,1.508486270904541,2026-04-19 15:24:59,Apple A18 Pro,MacBook-von-Julian.fritz.box,8.0,6,6,3.13.11,163.72,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
a36904b5,4,3,1,100.0,False,True,"[1, 1, 1]",1.499999919238246,-1.61996311920376e-08,1.4999999030386149,,0.6339813622310291,,,,1.6300029754638672,2026-04-19 15:25:12,Apple A18 Pro,MacBook-von-Julian.fritz.box,8.0,6,6,3.13.11,166.89,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
ace1eba3,8,7,1,50.0,False,True,"[1, 1, 1]",3.4999989176197586,-6.252465922784722e-08,3.4999988550950993,,0.6829266058722145,,,,2.41687273979187,2026-04-19 15:25:14,Apple A18 Pro,MacBook-von-Julian.fritz.box,8.0,6,6,3.13.11,185.52,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
738b7666,5,4,1,100.0,False,True,"[1, 1, 1]",1.9999973553182833,-3.4156411032881806e-10,1.9999973549767192,,0.6830592059346718,,,,2.0000429153442383,2026-04-19 15:25:27,Apple A18 Pro,MacBook-von-Julian.fritz.box,8.0,6,6,3.13.11,152.03,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
41c339ce,9,8,1,50.0,False,True,"[1, 1, 1]",3.9999921578216093,-5.441775918768599e-10,3.9999921572774317,,0.6973487024542245,,,,9.508863925933838,2026-04-19 15:25:32,Apple A18 Pro,MacBook-von-Julian.fritz.box,8.0,6,6,3.13.11,168.83,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
