run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_010101,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,learning_rate_adam,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances
e19fec95,3,2,2,50.0,False,True,"[1, 1, 1]",0.9999984710856574,,-8.600043147621861e-07,0.9999976110813427,,0.6666650740542285,,,,1.5296061038970947,2026-04-26 16:50:18,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,172.73,ADAM,0.01,3,10,0,False,False,True,False,10800,10,line,False,True,90,True,False,False
ee43cb0e,4,3,2,50.0,False,True,"[1, 1, 1]",1.499999732382889,,-8.512727267540043e-07,1.4999988811101623,,0.6339809303086062,,,,2.512679100036621,2026-04-26 16:50:30,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,184.94,ADAM,0.01,3,10,0,False,False,True,False,10800,10,line,False,True,90,True,False,False
001b1616,5,4,2,50.0,False,True,"[1, 1, 1]",1.999995299709511,,-2.335026549893371e-08,1.9999952763592455,,0.6830584960243324,,,,3.154186964035034,2026-04-26 16:50:46,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,174.78,ADAM,0.01,3,10,0,False,False,True,False,10800,10,line,False,True,90,True,False,False
0447757e,6,5,2,50.0,False,True,"[1, 1, 1]",2.499999703716025,,-4.320619106934487e-08,2.499999660509834,,0.6677349520592505,,,,4.587170839309692,2026-04-26 16:51:04,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,157.64,ADAM,0.01,3,10,0,False,False,True,False,10800,10,line,False,True,90,True,False,False
e2748bac,7,6,2,50.0,False,True,"[1, 1, 1]",2.999998661309815,,-2.5030903216816114e-07,2.999998411000783,,0.6918815523525791,,,,8.334933996200562,2026-04-26 16:51:16,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,158.02,ADAM,0.01,3,10,0,False,False,True,False,10800,10,line,False,True,90,True,False,False
9e881134,8,7,2,50.0,False,True,"[1, 1, 1]",3.499998039957789,,-2.8010348707141475e-08,3.49999801194744,,0.6829264413555981,,,,7.323385000228882,2026-04-26 16:51:34,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,168.11,ADAM,0.01,3,10,0,False,False,True,False,10800,10,line,False,True,90,True,False,False
bfe5a36c,9,8,2,50.0,False,True,"[1, 1, 1]",3.999998117896607,,-3.435940563178974e-07,3.9999977743025505,,0.697349681712439,,,,20.82903003692627,2026-04-26 16:52:08,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,234.75,ADAM,0.01,3,10,0,False,False,True,False,10800,10,line,False,True,90,True,False,False
fbf61ba1,3,2,5,50.0,False,True,"[1, 1, 1]",0.9999970675768264,,-6.285786102733226e-07,0.9999964389982161,,0.6666642926654774,,,,8.69685983657837,2026-04-26 16:52:50,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,139.17,ADAM,0.01,3,10,0,False,False,True,False,10800,10,line,False,True,90,True,False,False
62c1bbeb,4,3,5,50.0,False,True,"[1, 1, 1]",1.4999996539726521,,-2.3806197138043217e-06,1.4999972733529383,,0.6339802507831522,,,,11.040978193283081,2026-04-26 16:53:19,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,162.8,ADAM,0.01,3,10,0,False,False,True,False,10800,10,line,False,True,90,True,False,False
243e708c,5,4,5,50.0,False,True,"[1, 1, 1]",1.9999950570094713,,-9.377646534858286e-07,1.9999941192448178,,0.6830581008349788,,,,21.942163228988647,2026-04-26 16:53:56,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,138.95,ADAM,0.01,3,10,0,False,False,True,False,10800,10,line,False,True,90,True,False,False
e400ff2d,6,5,5,50.0,False,True,"[1, 1, 1]",2.4999999549500935,,-1.4264895624727103e-06,2.499998528460531,,0.6677346496956547,,,,24.732553005218506,2026-04-26 16:54:00,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,134.97,ADAM,0.01,3,10,0,False,False,True,False,10800,10,line,False,True,90,True,False,False
1a878557,10,9,2,50.0,False,True,"[1, 1, 1]",4.499997817602923,,-5.244798142456375e-07,4.4999972931231085,,0.6914562527847432,,,,128.81425404548645,2026-04-26 16:54:30,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,274.5,ADAM,0.01,3,10,0,False,False,True,False,10800,10,line,False,True,90,True,False,False
3138dae2,7,6,5,50.0,False,True,"[1, 1, 1]",2.999996247619859,,-1.1481320871808975e-07,2.9999961328066505,,0.691881026938803,,,,20.776923179626465,2026-04-26 16:54:35,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,136.61,ADAM,0.01,3,10,0,False,False,True,False,10800,10,line,False,True,90,True,False,False
89854aa4,8,7,5,50.0,False,True,"[1, 1, 1]",3.4999993037768786,,-7.984106904501687e-07,3.499998505366188,,0.6829265376324269,,,,39.930670976638794,2026-04-26 16:54:54,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,147.91,ADAM,0.01,3,10,0,False,False,True,False,10800,10,line,False,True,90,True,False,False
1463e28e,9,8,5,50.0,False,True,"[1, 1, 1]",3.9999993503079225,,-5.193974432771142e-07,3.9999988309104793,,0.6973498659188423,,,,105.40399479866028,2026-04-26 16:56:28,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,177.72,ADAM,0.01,3,10,0,False,False,True,False,10800,10,line,False,True,90,True,False,False
c4fffb25,10,9,5,50.0,False,True,"[1, 1, 1]",4.499996537798426,,-1.686469387252032e-06,4.499994851329038,,0.6914558775859002,,,,312.1655840873718,2026-04-26 17:00:23,Apple A18 Pro,MacBook-von-Julian.local,8.0,6,6,3.13.11,226.39,ADAM,0.01,3,10,0,False,False,True,False,10800,10,line,False,True,90,True,False,False
