run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_prodStates,initial_energy_statevector,initial_ws_energy_010101,QAOA_improvement_over_SDP,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,n_start,n_end,start_index_singlet,warm_start_mode,warm_start_corr_strength,warm_start_corr_repeats,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,optimiser_debug_iterations,relative_graph_adjList_path,hog_graph_index,edges,weights
ada3367a,4,6,1,50.0,False,True,"[1, 1, 1]",0.0,1.81250960609706,,,,0.6518165612503526,2.4643261673474126,,0.8214420557824709,,,,13.138536930084229,2026-05-04 20:10:28,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,220.86,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
15213960,4,6,2,50.0,False,True,"[1, 1, 1]",0.0,1.9574529125730704,,,,0.7085798824540941,2.6660327950271645,,0.8886775983423881,,,,27.320233821868896,2026-05-04 20:10:58,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,222.03,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
08031e9c,6,9,1,50.0,False,True,"[1, 1, 1]",2.255140518769849e-16,4.49999999995044,,,,0.8637285190141162,5.363728518964556,,,,,,18.923938035964966,2026-05-04 20:11:20,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,223.66,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,1,"[(0, 1), (3, 5), (0, 3), (3, 4), (1, 5), (2, 5), (1, 4), (0, 2), (2, 4)]",
e3107485,8,12,1,50.0,False,True,"[1, 1, 1]",1.9133999940024182e-15,5.206580834782394,,,,0.8835103546614267,6.090091189443821,,,,,,29.135478973388672,2026-05-04 20:11:53,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,226.8,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,2,"[(2, 7), (0, 1), (1, 6), (4, 7), (0, 3), (5, 6), (4, 5), (3, 7), (2, 5), (1, 4), (0, 2), (3, 6)]",
8d49fdd8,10,15,1,50.0,False,True,"[1, 1, 1]",-2.760920832234337e-16,6.024098581211935,,,,0.8155065157701928,6.839605096982128,,,,,,31.505026817321777,2026-05-04 20:12:29,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,252.73,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,3,"[(8, 9), (0, 1), (3, 8), (2, 6), (5, 7), (2, 9), (0, 3), (4, 6), (1, 5), (5, 9), (3, 7), (4, 8), (1, 4), (0, 2), (6, 7)]",
369a5fa9,6,9,1,50.0,False,True,"[1, 1, 1]",-3.885780586188048e-16,3.72897312566365,,,,0.5192478906111608,4.248221016274811,,,,,,18.831362009048462,2026-05-04 20:12:49,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,224.08,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,4,"[(0, 1), (3, 5), (0, 3), (1, 2), (3, 4), (4, 5), (2, 5), (1, 4), (0, 2)]",
bce0a66f,6,9,2,50.0,False,True,"[1, 1, 1]",2.255140518769849e-16,4.499999999997236,,,,1.3111458705597459,5.811145870556982,,,,,,41.52482891082764,2026-05-04 20:13:35,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,226.81,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,1,"[(0, 1), (3, 5), (0, 3), (3, 4), (1, 5), (2, 5), (1, 4), (0, 2), (2, 4)]",
bff53bb3,8,12,1,50.0,False,True,"[1, 1, 1]",-3.3306690738754696e-16,5.999999999997638,,,,1.1516362259860182,7.151636225983657,,,,,,28.867279767990112,2026-05-04 20:14:06,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,225.78,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,5,"[(2, 7), (0, 1), (1, 6), (4, 7), (0, 3), (4, 6), (1, 5), (4, 5), (3, 7), (2, 5), (0, 2), (3, 6)]",
85f8241e,10,15,1,50.0,False,True,"[1, 1, 1]",-3.608224830031759e-16,6.139064190617369,,,,1.1247062924738325,7.263770483091202,,,,,,31.710596084594727,2026-05-04 20:14:42,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,255.16,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,6,"[(3, 9), (0, 1), (2, 3), (1, 6), (5, 7), (7, 9), (0, 3), (4, 6), (6, 8), (2, 8), (4, 5), (5, 9), (4, 8), (0, 2), (1, 7)]",
d25f7eab,10,15,1,50.0,False,True,"[1, 1, 1]",7.96346495690603e-16,6.4999999828259325,,,,1.2599534837259316,7.759953466551864,,,,,,31.361103773117065,2026-05-04 20:15:15,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,254.11,adam,True,2,1000,hamqaoa,0.05,0,30,0,entangled,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,7,"[(1, 3), (0, 1), (2, 3), (5, 8), (1, 9), (5, 7), (2, 9), (0, 3), (4, 6), (6, 8), (4, 9), (7, 8), (4, 5), (0, 2), (6, 7)]",
