run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_prodStates,initial_energy_statevector,initial_ws_energy_010101,QAOA_improvement_over_SDP,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,n_start,n_end,start_index_singlet,warm_start_mode,warm_start_corr_strength,warm_start_corr_repeats,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,optimiser_debug_iterations,relative_graph_adjList_path,hog_graph_index,edges,weights
4df7b9c0,4,6,1,50.0,False,True,"[1, 1, 1]",1.988685383924593,1.9886853839245953,1.988685383924595,,0.18572276202778903,0.1857227620277888,2.174408145952384,,0.7248027153174613,,,,12.725632905960083,2026-05-05 09:01:02,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,220.22,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
7681741e,4,6,2,50.0,False,True,"[1, 1, 1]",1.9885430960142316,1.9885430960142338,1.9885430960142345,,0.5934173935861342,0.5934173935861349,2.5819604896003687,,0.8606534965334562,,,,27.76523208618164,2026-05-05 09:01:33,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,222.84,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,0,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]",
cbd77def,6,9,1,50.0,False,True,"[1, 1, 1]",2.4999999999995524,4.499999999997436,2.4999999999995484,,3.9968028886505635e-15,-1.9999999999978835,2.4999999999995524,,,,,,36.44698977470398,2026-05-05 09:02:12,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,226.2,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,1,"[(0, 1), (3, 5), (0, 3), (3, 4), (1, 5), (2, 5), (1, 4), (0, 2), (2, 4)]",
87b0b6a6,8,12,1,50.0,False,True,"[1, 1, 1]",3.018789351498118,5.39491341775272,3.665833690619687,,-0.13817332779702163,-1.867253054930055,3.5276603628226653,,,,,,70.18301796913147,2026-05-05 09:03:25,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,281.36,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,2,"[(2, 7), (0, 1), (1, 6), (4, 7), (0, 3), (5, 6), (4, 5), (3, 7), (2, 5), (1, 4), (0, 2), (3, 6)]",
2156c73a,10,15,1,50.0,False,True,"[1, 1, 1]",3.835763347868048,5.95847303570189,4.309075274902776,,0.052014308543252064,-1.5973834522558619,4.361089583446028,,,,,,650.2396171092987,2026-05-05 09:14:17,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,397.81,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,3,"[(8, 9), (0, 1), (3, 8), (2, 6), (5, 7), (2, 9), (0, 3), (4, 6), (1, 5), (5, 9), (3, 7), (4, 8), (1, 4), (0, 2), (6, 7)]",
d13446f9,6,9,1,50.0,False,True,"[1, 1, 1]",3.623224251135676,3.6232242511357287,3.6232242511357295,,-5.3734794391857577e-14,-5.284661597215745e-14,3.623224251135676,,,,,,36.363556146621704,2026-05-05 09:14:59,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,226.25,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,4,"[(0, 1), (3, 5), (0, 3), (1, 2), (3, 4), (4, 5), (2, 5), (1, 4), (0, 2)]",
94441530,6,9,2,50.0,False,True,"[1, 1, 1]",2.5000000000000075,4.499999999998945,2.500000000000004,,0.45304208489201514,-1.5469579151069257,2.953042084892019,,,,,,77.53714776039124,2026-05-05 09:16:20,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,231.95,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,1,"[(0, 1), (3, 5), (0, 3), (3, 4), (1, 5), (2, 5), (1, 4), (0, 2), (2, 4)]",
9dbc0701,8,12,1,50.0,False,True,"[1, 1, 1]",3.000000000002026,5.999999999984687,3.000000000002027,,5.444714958890984e-07,-2.999999455511164,3.0000005444735227,,,,,,68.42662811279297,2026-05-05 09:17:31,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,279.11,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,5,"[(2, 7), (0, 1), (1, 6), (4, 7), (0, 3), (4, 6), (1, 5), (4, 5), (3, 7), (2, 5), (0, 2), (3, 6)]",
b0c85f49,10,15,1,50.0,False,True,"[1, 1, 1]",3.894068000152495,6.1103785352543625,4.085523014602289,,0.31654914915292576,-1.7083063714991473,4.402072163755215,,,,,,664.8985788822174,2026-05-05 09:28:39,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,397.73,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,6,"[(3, 9), (0, 1), (2, 3), (1, 6), (5, 7), (7, 9), (0, 3), (4, 6), (6, 8), (2, 8), (4, 5), (5, 9), (4, 8), (0, 2), (1, 7)]",
8be39915,10,15,1,50.0,False,True,"[1, 1, 1]",4.499869543251452,6.499999963497475,4.499869541815249,,0.23149916420938066,-1.7686312574728458,4.73136870602463,,,,,,656.9910740852356,2026-05-05 09:39:40,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,391.47,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,7,"[(1, 3), (0, 1), (2, 3), (5, 8), (1, 9), (5, 7), (2, 9), (0, 3), (4, 6), (6, 8), (4, 9), (7, 8), (4, 5), (0, 2), (6, 7)]",
b6fd1ec4,10,15,1,50.0,False,True,"[1, 1, 1]",4.507500500312469,6.089772474072405,5.073348607554665,,-0.31344782989840514,-1.329871696416145,4.75990077765626,,,,,,664.1033408641815,2026-05-05 09:50:46,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,397.23,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,8,"[(3, 9), (2, 7), (0, 1), (3, 8), (2, 6), (7, 9), (0, 3), (6, 8), (1, 5), (4, 5), (5, 9), (4, 8), (1, 4), (0, 2), (6, 7)]",
8da64e2c,8,12,2,50.0,False,True,"[1, 1, 1]",3.1024908030172687,5.194941975462546,3.3461182185255556,,0.4887961027783727,-1.360027654158618,3.8349143213039283,,,,,,152.13515901565552,2026-05-05 09:53:20,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,284.28,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,2,"[(2, 7), (0, 1), (1, 6), (4, 7), (0, 3), (5, 6), (4, 5), (3, 7), (2, 5), (1, 4), (0, 2), (3, 6)]",
59d1ace7,10,15,1,50.0,False,True,"[1, 1, 1]",1.5000000000664853,7.499999999964601,1.5000000000664868,,4.499815227248295,-1.5001847726498188,5.999815227314782,,,,,,662.2715530395508,2026-05-05 10:04:24,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,399.64,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,9,"[(3, 9), (2, 7), (0, 1), (1, 6), (4, 7), (3, 8), (5, 8), (1, 9), (5, 7), (2, 9), (0, 3), (4, 6), (5, 6), (4, 8), (0, 2)]",
9b79ff81,8,12,1,50.0,False,True,"[1, 1, 1]",3.573208283269329,4.9955489822470165,4.698797892465646,,-0.8265338385581567,-1.123284928339527,3.8722640539074895,,,,,,73.43336796760559,2026-05-05 10:05:41,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,279.77,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,10,"[(0, 1), (2, 3), (2, 6), (5, 7), (0, 3), (4, 6), (1, 5), (4, 5), (3, 7), (1, 4), (0, 2), (6, 7)]",
2c1708e7,8,12,1,50.0,False,True,"[1, 1, 1]",3.999979110575638,4.999999743845842,3.9999812016584873,,4.3487022588273305e-05,-0.9999750551647661,4.0000246886810755,,,,,,74.0767650604248,2026-05-05 10:06:58,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,282.14,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,11,"[(1, 3), (0, 1), (2, 7), (2, 3), (1, 6), (4, 7), (5, 7), (0, 3), (4, 6), (5, 6), (4, 5), (0, 2)]",
582024ce,10,15,1,50.0,False,True,"[1, 1, 1]",3.3215893482881036,6.970619535342651,3.396188165046254,,1.2967501945834834,-2.277681175712914,4.692938359629737,,,,,,663.8900148868561,2026-05-05 10:18:05,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,389.84,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,12,"[(3, 9), (0, 1), (4, 7), (5, 8), (2, 6), (1, 9), (0, 3), (1, 8), (4, 9), (5, 6), (2, 8), (4, 5), (3, 7), (0, 2), (6, 7)]",
73bbf793,10,15,2,50.0,False,True,"[1, 1, 1]",4.142917469946654,6.084148804491526,4.608067423910609,,-0.003594791205191683,-1.4796761717861084,4.604472632705417,,,,,,1200.9391660690308,2026-05-05 10:38:11,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,395.3,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,3,"[(8, 9), (0, 1), (3, 8), (2, 6), (5, 7), (2, 9), (0, 3), (4, 6), (1, 5), (5, 9), (3, 7), (4, 8), (1, 4), (0, 2), (6, 7)]",
98d228cf,10,15,1,50.0,False,True,"[1, 1, 1]",2.500000000000693,7.49999999999861,2.500000000000693,,2.4997601271078933,-2.500239872890024,4.999760127108586,,,,,,659.3638577461243,2026-05-05 10:49:15,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,390.89,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,13,"[(3, 9), (0, 1), (4, 7), (5, 8), (2, 6), (1, 9), (5, 7), (0, 3), (4, 6), (1, 8), (4, 9), (5, 6), (2, 8), (3, 7), (0, 2)]",
54e56036,8,12,1,50.0,False,True,"[1, 1, 1]",3.456008698260923,5.034450090445967,4.601248665354792,,-1.1384535949669448,-1.5716550200581199,3.462795070387847,,,,,,76.46726703643799,2026-05-05 10:50:36,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,281.45,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,14,"[(0, 1), (2, 3), (4, 7), (2, 6), (5, 7), (0, 3), (4, 6), (5, 6), (1, 5), (3, 7), (1, 4), (0, 2)]",
d864b2aa,10,15,1,50.0,False,True,"[1, 1, 1]",3.483614517922981,6.72887663338301,3.8547223757671127,,0.628973752691071,-2.245180504924826,4.483696128458184,,,,,,663.8951869010925,2026-05-05 11:01:43,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,390.78,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,15,"[(0, 1), (4, 7), (1, 9), (3, 5), (2, 9), (0, 3), (6, 8), (2, 8), (4, 5), (5, 9), (4, 8), (0, 2), (3, 6), (6, 7), (1, 7)]",
2d76e030,10,15,1,50.0,False,True,"[1, 1, 1]",4.217046811825487,6.856704123592585,5.051642638839262,,-0.5356216878486348,-2.340683172601958,4.516020950990627,,,,,,668.0917520523071,2026-05-05 11:12:57,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,391.08,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,16,"[(2, 7), (0, 1), (1, 9), (3, 5), (2, 9), (0, 3), (4, 6), (1, 8), (7, 8), (4, 5), (5, 9), (4, 8), (0, 2), (3, 6), (6, 7)]",
a88f66f3,6,9,2,50.0,False,True,"[1, 1, 1]",3.633673169706345,3.6336731697058404,3.6336731697058418,,0.15841835455192887,0.1584183545519302,3.7920915242577706,,,,,,79.88394713401794,2026-05-05 11:14:20,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,231.67,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,4,"[(0, 1), (3, 5), (0, 3), (1, 2), (3, 4), (4, 5), (2, 5), (1, 4), (0, 2)]",
