run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,warm_start_mode,lasserre_level,initial_solver_level_M,sdp_seed,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,num_repeats,relative_graph_adjList_path,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
bfd55434,5,4,1,50.0,False,True,"[1, 1, 1]",2.8546376797184614,3.9999999632848127,3.9999999632848127,,,1.9999988746704327,0.9999986083761588,0.350306666054651,,0.40851737362916885,-0.591482892665105,1.4085159820053277,,0.49341322438658575,,,,7.029855251312256,7.029292345046997,False,0.04675722122192383,0.0,0.0005629062652587891,0.04675722122192383,Results/logs/adam/20260615_165917_pid10529/warm_start_cache/20260615_165917_pid10529_n0_rep1_seed42_L1_M1_standard.npz,7.1977598667144775,2026-06-15 16:59:28,Apple M4,Julians-MacBook-Air-2.fritz.box,16.0,10,10,3.11.14,221.36,True,False,adam,True,2,1000,hamqaoa,0.05,standard,1,1,42,False,False,False,10800,hog,False,True,90,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,1,42,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
e0aac2cc,5,4,2,50.0,False,True,"[1, 1, 1]",2.8546376797184614,3.9999999632848127,3.9999999632848127,,,1.9999988746704327,0.9999986083761588,0.350306666054651,,0.637155977986895,-0.3628442883073788,1.6371545863630539,,0.5735069630708854,,,,17.474162817001343,17.519164323806763,True,0.04675722122192383,0.0017499923706054688,0.0,0.04675722122192383,Results/logs/adam/20260615_165917_pid10529/warm_start_cache/20260615_165917_pid10529_n0_rep1_seed42_L1_M1_standard.npz,17.642640829086304,2026-06-15 16:59:50,Apple M4,Julians-MacBook-Air-2.fritz.box,16.0,10,10,3.11.14,215.61,True,False,adam,True,2,1000,hamqaoa,0.05,standard,1,1,42,False,False,False,10800,hog,False,True,90,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,1,42,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
50d87ee3,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,3.9999999632848127,3.9999999632848127,,,1.9999988746704327,0.9999986083761588,0.350306666054651,,0.9752517534797535,-0.024748512814520396,1.9752503618559123,,0.6919443318112165,,,,32.9909348487854,33.03683304786682,True,0.04675722122192383,0.0008540153503417969,0.0,0.04675722122192383,Results/logs/adam/20260615_165917_pid10529/warm_start_cache/20260615_165917_pid10529_n0_rep1_seed42_L1_M1_standard.npz,33.16742014884949,2026-06-15 17:00:26,Apple M4,Julians-MacBook-Air-2.fritz.box,16.0,10,10,3.11.14,216.27,True,False,adam,True,2,1000,hamqaoa,0.05,standard,1,1,42,False,False,False,10800,hog,False,True,90,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,1,42,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
254867bc,5,4,4,50.0,False,True,"[1, 1, 1]",2.8546376797184614,3.9999999632848127,3.9999999632848127,,,1.9999988746704327,0.9999986083761588,0.350306666054651,,0.8666451123081468,-0.13335515398612707,1.8666437206843056,,0.6538986484857172,,,,53.030247926712036,53.07615303993225,True,0.04675722122192383,0.0008471012115478516,0.0,0.04675722122192383,Results/logs/adam/20260615_165917_pid10529/warm_start_cache/20260615_165917_pid10529_n0_rep1_seed42_L1_M1_standard.npz,53.20408606529236,2026-06-15 17:01:23,Apple M4,Julians-MacBook-Air-2.fritz.box,16.0,10,10,3.11.14,215.56,True,False,adam,True,2,1000,hamqaoa,0.05,standard,1,1,42,False,False,False,10800,hog,False,True,90,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,1,42,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
0fae5080,5,4,5,50.0,False,True,"[1, 1, 1]",2.8546376797184614,3.9999999632848127,3.9999999632848127,,,1.9999988746704327,0.9999986083761588,0.350306666054651,,1.055043388382678,0.05504312208840423,2.055041996758837,,0.7198959123111958,,,,78.98955917358398,79.0354552268982,True,0.04675722122192383,0.0008549690246582031,0.0,0.04675722122192383,Results/logs/adam/20260615_165917_pid10529/warm_start_cache/20260615_165917_pid10529_n0_rep1_seed42_L1_M1_standard.npz,79.16916680335999,2026-06-15 17:02:46,Apple M4,Julians-MacBook-Air-2.fritz.box,16.0,10,10,3.11.14,216.84,True,False,adam,True,2,1000,hamqaoa,0.05,standard,1,1,42,False,False,False,10800,hog,False,True,90,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,1,42,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
12fd25ee,5,4,1,50.0,False,True,"[1, 1, 1]",2.8546376797184614,3.9999999632848127,3.9999999632848127,,,1.9999998933784022,1.000000001740276,0.35030715416006875,,0.3839485651824526,-0.6160513264556737,1.3839485669227285,,0.48480708313890836,,,,7.009866952896118,7.009258031845093,False,0.03945493698120117,0.0,0.0006089210510253906,0.03945493698120117,Results/logs/adam/20260615_165917_pid10529/warm_start_cache/20260615_165917_pid10529_n0_rep2_seed1000042_L1_M1_standard.npz,7.17131495475769,2026-06-15 17:02:57,Apple M4,Julians-MacBook-Air-2.fritz.box,16.0,10,10,3.11.14,225.22,True,False,adam,True,2,1000,hamqaoa,0.05,standard,1,1,1000042,False,False,False,10800,hog,False,True,90,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,2,1000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
6b791866,5,4,2,50.0,False,True,"[1, 1, 1]",2.8546376797184614,3.9999999632848127,3.9999999632848127,,,1.9999998933784022,1.000000001740276,0.35030715416006875,,0.6790227014123091,-0.32097719022581717,1.679022703152585,,0.5881736638879435,,,,17.479192972183228,17.517807960510254,True,0.03945493698120117,0.0008349418640136719,0.0,0.03945493698120117,Results/logs/adam/20260615_165917_pid10529/warm_start_cache/20260615_165917_pid10529_n0_rep2_seed1000042_L1_M1_standard.npz,17.563122987747192,2026-06-15 17:03:18,Apple M4,Julians-MacBook-Air-2.fritz.box,16.0,10,10,3.11.14,215.52,True,False,adam,True,2,1000,hamqaoa,0.05,standard,1,1,1000042,False,False,False,10800,hog,False,True,90,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,2,1000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
a817abca,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,3.9999999632848127,3.9999999632848127,,,1.9999998933784022,1.000000001740276,0.35030715416006875,,0.9064112064750265,-0.09358868516309982,1.9064112082153024,,0.6678294838465533,,,,32.72311282157898,32.76177191734314,True,0.03945493698120117,0.0007910728454589844,0.0,0.03945493698120117,Results/logs/adam/20260615_165917_pid10529/warm_start_cache/20260615_165917_pid10529_n0_rep2_seed1000042_L1_M1_standard.npz,32.82301187515259,2026-06-15 17:03:55,Apple M4,Julians-MacBook-Air-2.fritz.box,16.0,10,10,3.11.14,213.8,True,False,adam,True,2,1000,hamqaoa,0.05,standard,1,1,1000042,False,False,False,10800,hog,False,True,90,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,2,1000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
6d99551a,5,4,4,50.0,False,True,"[1, 1, 1]",2.8546376797184614,3.9999999632848127,3.9999999632848127,,,1.9999998933784022,1.000000001740276,0.35030715416006875,,0.9826346854504531,-0.017365206187673232,1.982634687190729,,0.6945311138001465,,,,52.99999284744263,53.03860282897949,True,0.03945493698120117,0.0008401870727539062,0.0,0.03945493698120117,Results/logs/adam/20260615_165917_pid10529/warm_start_cache/20260615_165917_pid10529_n0_rep2_seed1000042_L1_M1_standard.npz,53.17703104019165,2026-06-15 17:04:52,Apple M4,Julians-MacBook-Air-2.fritz.box,16.0,10,10,3.11.14,217.34,True,False,adam,True,2,1000,hamqaoa,0.05,standard,1,1,1000042,False,False,False,10800,hog,False,True,90,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,2,1000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
4691a074,5,4,5,50.0,False,True,"[1, 1, 1]",2.8546376797184614,3.9999999632848127,3.9999999632848127,,,1.9999998933784022,1.000000001740276,0.35030715416006875,,0.9490142773311598,-0.050985614306966465,1.9490142790714358,,0.6827536443306729,,,,78.45524406433105,78.4938747882843,True,0.03945493698120117,0.0008180141448974609,0.0,0.03945493698120117,Results/logs/adam/20260615_165917_pid10529/warm_start_cache/20260615_165917_pid10529_n0_rep2_seed1000042_L1_M1_standard.npz,78.55272912979126,2026-06-15 17:06:14,Apple M4,Julians-MacBook-Air-2.fritz.box,16.0,10,10,3.11.14,216.45,True,False,adam,True,2,1000,hamqaoa,0.05,standard,1,1,1000042,False,False,False,10800,hog,False,True,90,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,2,1000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
