run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,sdp_seed,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,num_repeats,relative_graph_adjList_path,blas_threads,max_parallel,use_ram_limit,min_free_ram_mb,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
1809d5dc,5,4,1,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,1.0736868895293064,,0.37612019807543445,,,,48.05113768577576,48.05113768577576,False,,0.0,0.0,,,48.097989559173584,2026-06-16 16:06:21,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,42,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,1,42,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
1522b211,5,4,1,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.6327239722330704,,0.9222620407969683,,,,47.89251780509949,47.89251780509949,False,,0.0,0.0,,,47.97367548942566,2026-06-16 16:07:13,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,1000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,2,1000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
af62737d,5,4,2,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.109472191868974,,0.7389631990274228,,,,128.70955610275269,128.70955610275269,False,,0.0,0.0,,,128.7644865512848,2026-06-16 16:07:42,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,42,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,1,42,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
2fd3095f,5,4,2,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.2154888126466274,,0.7761015796810788,,,,126.94615864753723,126.94615864753723,False,,0.0,0.0,,,127.00130581855774,2026-06-16 16:09:25,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,1000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,2,1000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
9cc2a93d,5,4,3,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.332373472852276,,0.8170471122914297,,,,244.2249505519867,244.2249505519867,False,,0.0,0.0,,,244.27051496505737,2026-06-16 16:09:38,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,42,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,1,42,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
6165dc97,5,4,3,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.325385713742082,,0.8145992502878415,,,,238.90430998802185,238.90430998802185,False,,0.0,0.0,,,238.953932762146,2026-06-16 16:11:46,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,1000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,2,1000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
572df42f,5,4,4,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.6312544120410712,,0.9217472433491379,,,,393.95761251449585,393.95761251449585,False,,0.0,0.0,,,394.01279044151306,2026-06-16 16:12:08,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,42,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,1,42,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
86a3fec9,5,4,1,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,1.3933312933363469,,0.4880939193214055,,,,48.83691191673279,48.83691191673279,False,,0.0,0.0,,,48.88891124725342,2026-06-16 16:12:40,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,2000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,3,2000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
2ceb5a2e,5,4,2,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.209767349331792,,0.7740973101531157,,,,130.83977627754211,130.83977627754211,False,,0.0,0.0,,,130.89395904541016,2026-06-16 16:14:23,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,2000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,3,2000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
f5344c9c,5,4,5,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.703348179821956,,0.947002205929186,,,,588.5750045776367,588.5750045776367,False,,0.0,0.0,,,588.6238059997559,2026-06-16 16:15:23,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,42,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,1,42,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
