run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,n_start,warm_start_mode,lasserre_level,initial_solver_level_M,sdp_seed,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
ce0bacbb,6,5,1,50.0,False,True,"[1, 1, 1]",3.4142135623730967,6.82842712471767,3.414213562358835,1.976930959838616,1.9994504411677274,1.9193424325371313,1.7668245329379044,0.5174909245307574,,0.43966493944197715,0.13462914024352335,1.986657002658893,,0.5818783641870485,,,,139.3794174194336,139.37501335144043,False,85.909104347229,0.0,0.0044040679931640625,85.909104347229,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000015_cdeb91b53894_seed42_L2_M2_standard.npz,139.38866543769836,2026-06-17 17:39:19,x86_64,dacsgpu0001,,64,64,3.11.15,4.01,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,42,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,1,42,15,"[(0, 4), (3, 4), (1, 5), (4, 5), (2, 5)]",
35182242,6,5,1,50.0,False,True,"[1, 1, 1]",3.4142135623730967,6.82842712471767,3.414213562358835,2.182788248786238,1.9994504411677274,1.9906458644459386,1.6038884969196945,0.46976806448067926,,0.652180411067909,-0.12133432398457922,1.929978702453649,,0.5652776744030594,,,,151.48963737487793,151.48355317115784,False,103.28637051582336,0.0,0.0060842037200927734,103.28637051582336,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000015_cdeb91b53894_seed3000042_L2_M2_standard.npz,151.49811482429504,2026-06-17 17:39:31,x86_64,dacsgpu0001,,64,64,3.11.15,4.01,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,3000042,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,4,3000042,15,"[(0, 4), (3, 4), (1, 5), (4, 5), (2, 5)]",
629efb22,6,5,1,50.0,False,True,"[1, 1, 1]",3.4142135623730967,6.82842712471767,3.414213562358835,2.152147291038392,1.9994504411677274,1.9598813712300427,1.583690715889129,0.4638522713817476,,0.09706643462347309,-0.6553148760583545,1.6322239332008655,,0.4780673216195549,,,,152.70069003105164,152.6951985359192,False,106.24212431907654,0.0,0.005491495132446289,106.24212431907654,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000015_cdeb91b53894_seed2000042_L2_M2_standard.npz,152.70858335494995,2026-06-17 17:39:32,x86_64,dacsgpu0001,,64,64,3.11.15,4.01,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,2000042,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,3,2000042,15,"[(0, 4), (3, 4), (1, 5), (4, 5), (2, 5)]",
1943896a,6,5,1,50.0,False,True,"[1, 1, 1]",3.4142135623730967,6.82842712471767,3.414213562358835,1.8927779962798468,1.9994504411677274,1.8062326829550333,1.5080518897457955,0.44169817212535556,,0.2013084962265963,-0.3950530901918792,1.6087061378590937,,0.47117911884250735,,,,154.70369243621826,154.61835479736328,False,107.68320226669312,0.0,0.08533763885498047,107.68320226669312,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000015_cdeb91b53894_seed1000042_L2_M2_standard.npz,154.71285200119019,2026-06-17 17:39:34,x86_64,dacsgpu0001,,64,64,3.11.15,4.01,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,1000042,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,2,1000042,15,"[(0, 4), (3, 4), (1, 5), (4, 5), (2, 5)]",
0405dd13,6,5,1,50.0,False,True,"[1, 1, 1]",3.4142135623730967,6.82842712471767,3.414213562358835,1.9471010538029863,1.9994504411677274,1.8216109510367509,1.297161374194116,0.37992977020819574,,0.7762406675018281,-0.2726584861834418,1.68528170794503,,0.4936075840474523,,,,156.83726811408997,156.82104516029358,False,109.57029581069946,0.0,0.01622295379638672,109.57029581069946,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000015_cdeb91b53894_seed4000042_L2_M2_standard.npz,156.84496116638184,2026-06-17 17:39:37,x86_64,dacsgpu0001,,64,64,3.11.15,4.01,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,4000042,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,5,4000042,15,"[(0, 4), (3, 4), (1, 5), (4, 5), (2, 5)]",
51b3469c,6,5,3,50.0,False,True,"[1, 1, 1]",3.4142135623730967,6.82842712471767,3.414213562358835,1.976930959838616,1.9994504411677274,1.9193424325371313,1.7668245329379044,0.5174909245307574,,1.4817923465117837,1.17675654731333,2.5077207061937963,,0.7344943895222448,,,,183.38789296150208,269.295414686203,True,85.909104347229,0.0015697479248046875,0.0,85.909104347229,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000015_cdeb91b53894_seed42_L2_M2_standard.npz,183.39720058441162,2026-06-17 17:42:25,x86_64,dacsgpu0001,,64,64,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,42,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,1,42,15,"[(0, 4), (3, 4), (1, 5), (4, 5), (2, 5)]",
2e4e4631,6,5,3,50.0,False,True,"[1, 1, 1]",3.4142135623730967,6.82842712471767,3.414213562358835,2.152147291038392,1.9994504411677274,1.9598813712300427,1.583690715889129,0.4638522713817476,,1.2528559587885701,0.5004746481067426,2.210118695283414,,0.6473287786213467,,,,180.8773205280304,287.1180260181427,True,106.24212431907654,0.0014081001281738281,0.0,106.24212431907654,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000015_cdeb91b53894_seed2000042_L2_M2_standard.npz,180.88935494422913,2026-06-17 17:42:41,x86_64,dacsgpu0001,,64,64,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,2000042,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,3,2000042,15,"[(0, 4), (3, 4), (1, 5), (4, 5), (2, 5)]",
358719d9,6,5,3,50.0,False,True,"[1, 1, 1]",3.4142135623730967,6.82842712471767,3.414213562358835,2.182788248786238,1.9994504411677274,1.9906458644459386,1.6038884969196945,0.46976806448067926,,1.1493281532811204,0.3758134182286321,2.1785525735602547,,0.6380832756243934,,,,185.49736094474792,288.78237771987915,True,103.28637051582336,0.0013413429260253906,0.0,103.28637051582336,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000015_cdeb91b53894_seed3000042_L2_M2_standard.npz,185.5076777935028,2026-06-17 17:42:46,x86_64,dacsgpu0001,,64,64,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,3000042,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,4,3000042,15,"[(0, 4), (3, 4), (1, 5), (4, 5), (2, 5)]",
5f2a7c00,6,5,3,50.0,False,True,"[1, 1, 1]",3.4142135623730967,6.82842712471767,3.414213562358835,1.8927779962798468,1.9994504411677274,1.8062326829550333,1.5080518897457955,0.44169817212535556,,2.1821929992434472,1.5858314128249718,2.599148389367519,,0.761272937935653,,,,191.5277681350708,299.2081341743469,True,107.68320226669312,0.002824068069458008,0.0,107.68320226669312,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000015_cdeb91b53894_seed1000042_L2_M2_standard.npz,191.53728127479553,2026-06-17 17:42:52,x86_64,dacsgpu0001,,64,64,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,1000042,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,2,1000042,15,"[(0, 4), (3, 4), (1, 5), (4, 5), (2, 5)]",
d329081b,6,5,1,50.0,False,True,"[1, 1, 1]",3.4142135623730967,6.82842712471767,3.414213562358835,1.6302193844186161,1.9994504411677274,1.444927691443608,1.211369868357738,0.35480201991692595,,1.1461836628804525,0.6790680167087126,1.7844616997979643,,0.5226567311031503,,,,221.06690907478333,221.0616581439972,False,150.2539336681366,0.0,0.0052509307861328125,150.2539336681366,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000015_cdeb91b53894_seed5000042_L2_M2_standard.npz,221.07975935935974,2026-06-17 17:43:02,x86_64,dacsgpu0001,,64,64,3.11.15,4.01,True,False,adam,True,2,1000,hamqaoa,0.05,15,standard,2,2,5000042,False,False,False,10800,hog,False,True,False,False,False,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,5,8,1,4,80,80,5,3,5,6,5000042,15,"[(0, 4), (3, 4), (1, 5), (4, 5), (2, 5)]",
