hog_graph_index,sdp_seed,present_p,missing_cached_p
54,42,"[1, 3]",[5]
54,1000042,"[1, 3]",[5]
54,2000042,"[1, 3]",[5]
54,3000042,[1],"[3, 5]"
54,4000042,[1],"[3, 5]"
54,5000042,[1],"[3, 5]"
54,6000042,[1],"[3, 5]"
54,7000042,[1],"[3, 5]"
54,8000042,[1],"[3, 5]"
54,9000042,[1],"[3, 5]"
55,42,[1],"[3, 5]"
55,1000042,[1],"[3, 5]"
55,2000042,[1],"[3, 5]"
55,3000042,[1],"[3, 5]"
55,4000042,[1],"[3, 5]"
55,5000042,[1],"[3, 5]"
55,6000042,[1],"[3, 5]"
55,7000042,[1],"[3, 5]"
55,8000042,[1],"[3, 5]"
55,9000042,[1],"[3, 5]"
56,42,[1],"[3, 5]"
56,1000042,[1],"[3, 5]"
56,2000042,[1],"[3, 5]"
56,3000042,[1],"[3, 5]"
56,4000042,[1],"[3, 5]"
56,5000042,[1],"[3, 5]"
56,6000042,[1],"[3, 5]"
56,7000042,[1],"[3, 5]"
56,8000042,[1],"[3, 5]"
56,9000042,[1],"[3, 5]"
57,42,[1],"[3, 5]"
57,1000042,[1],"[3, 5]"
57,2000042,[1],"[3, 5]"
57,3000042,[1],"[3, 5]"
57,4000042,[1],"[3, 5]"
57,5000042,[1],"[3, 5]"
57,6000042,[1],"[3, 5]"
57,7000042,[1],"[3, 5]"
57,8000042,[1],"[3, 5]"
57,9000042,[1],"[3, 5]"
58,42,[1],"[3, 5]"
58,1000042,[1],"[3, 5]"
58,2000042,[1],"[3, 5]"
58,3000042,[1],"[3, 5]"
58,4000042,[1],"[3, 5]"
58,5000042,[1],"[3, 5]"
58,6000042,[1],"[3, 5]"
58,7000042,[1],"[3, 5]"
58,8000042,[1],"[3, 5]"
58,9000042,[1],"[3, 5]"
59,42,[1],"[3, 5]"
59,1000042,[1],"[3, 5]"
59,2000042,[1],"[3, 5]"
59,3000042,[1],"[3, 5]"
59,4000042,[1],"[3, 5]"
59,5000042,[1],"[3, 5]"
59,6000042,[1],"[3, 5]"
59,7000042,[1],"[3, 5]"
59,8000042,[1],"[3, 5]"
59,9000042,[1],"[3, 5]"
60,42,[1],"[3, 5]"
60,1000042,[1],"[3, 5]"
60,2000042,[1],"[3, 5]"
60,3000042,[1],"[3, 5]"
60,4000042,[1],"[3, 5]"
60,5000042,[1],"[3, 5]"
