hog_graph_index,sdp_seed,p,logs,status
54,42,5,1,0
54,1000042,5,1,0
54,2000042,5,1,0
54,3000042,3,1,1
54,3000042,5,1,0
54,4000042,3,1,0
54,4000042,5,1,0
54,5000042,3,1,0
54,5000042,5,1,0
54,6000042,3,0,0
54,6000042,5,0,0
54,7000042,3,0,0
54,7000042,5,0,0
54,8000042,3,0,0
54,8000042,5,0,0
54,9000042,3,0,0
54,9000042,5,0,0
55,42,3,0,0
55,42,5,0,0
55,1000042,3,0,0
55,1000042,5,0,0
55,2000042,3,0,0
55,2000042,5,0,0
55,3000042,3,0,0
55,3000042,5,0,0
55,4000042,3,0,0
55,4000042,5,0,0
55,5000042,3,0,0
55,5000042,5,0,0
55,6000042,3,0,0
55,6000042,5,0,0
55,7000042,3,0,0
55,7000042,5,0,0
55,8000042,3,0,0
55,8000042,5,0,0
55,9000042,3,0,0
55,9000042,5,0,0
56,42,3,0,0
56,42,5,0,0
56,1000042,3,0,0
56,1000042,5,0,0
56,2000042,3,0,0
56,2000042,5,0,0
56,3000042,3,0,0
56,3000042,5,0,0
56,4000042,3,0,0
56,4000042,5,0,0
56,5000042,3,0,0
56,5000042,5,0,0
56,6000042,3,0,0
56,6000042,5,0,0
56,7000042,3,0,0
56,7000042,5,0,0
56,8000042,3,0,0
56,8000042,5,0,0
56,9000042,3,0,0
56,9000042,5,0,0
57,42,3,0,0
57,42,5,0,0
57,1000042,3,0,0
57,1000042,5,0,0
57,2000042,3,0,0
57,2000042,5,0,0
57,3000042,3,0,0
57,3000042,5,0,0
57,4000042,3,0,0
57,4000042,5,0,0
57,5000042,3,0,0
57,5000042,5,0,0
57,6000042,3,0,0
57,6000042,5,0,0
57,7000042,3,0,0
57,7000042,5,0,0
57,8000042,3,0,0
57,8000042,5,0,0
57,9000042,3,0,0
57,9000042,5,0,0
58,42,3,0,0
58,42,5,0,0
58,1000042,3,0,0
58,1000042,5,0,0
58,2000042,3,0,0
58,2000042,5,0,0
58,3000042,3,0,0
58,3000042,5,0,0
58,4000042,3,0,0
58,4000042,5,0,0
58,5000042,3,0,0
58,5000042,5,0,0
58,6000042,3,0,0
58,6000042,5,0,0
58,7000042,3,0,0
58,7000042,5,0,0
58,8000042,3,0,0
58,8000042,5,0,0
58,9000042,3,0,0
58,9000042,5,0,0
59,42,3,0,0
59,42,5,0,0
59,1000042,3,0,0
59,1000042,5,0,0
59,2000042,3,0,0
59,2000042,5,0,0
59,3000042,3,0,0
59,3000042,5,0,0
59,4000042,3,0,0
59,4000042,5,0,0
59,5000042,3,0,0
59,5000042,5,0,0
59,6000042,3,0,0
