file,file_n,hog_idx,nodes,edges,finished,global_start_unix,global_start_readable,init_finish_unix,init_finish_readable,effective_start_unix,effective_start_readable,effective_end_unix_estimated,effective_end_readable_estimated,sdp_duration_seconds,sdp_duration_human,cache_save_seconds,abnormal
sdp_n700_rep1_seednone.log,700,700,13,52,False,1782547776.67394,2026-06-27 10:09:36 CEST,1782547776.6768122,2026-06-27 10:09:36 CEST,1782547776.7178562,2026-06-27 10:09:36 CEST,,,,,,missing effective_start or sdp_duration
sdp_n701_rep1_seednone.log,701,701,13,52,False,1782547776.6738317,2026-06-27 10:09:36 CEST,1782547776.6763027,2026-06-27 10:09:36 CEST,1782547776.7165575,2026-06-27 10:09:36 CEST,,,,,,missing effective_start or sdp_duration
sdp_n702_rep1_seednone.log,702,702,13,65,False,1782547781.7976794,2026-06-27 10:09:41 CEST,1782547781.807596,2026-06-27 10:09:41 CEST,1782547781.8873625,2026-06-27 10:09:41 CEST,,,,,,missing effective_start or sdp_duration
sdp_n703_rep1_seednone.log,703,703,13,65,False,1782547776.6738765,2026-06-27 10:09:36 CEST,1782547776.6765127,2026-06-27 10:09:36 CEST,1782547776.7006104,2026-06-27 10:09:36 CEST,,,,,,missing effective_start or sdp_duration
sdp_n704_rep1_seednone.log,704,704,13,65,False,1782547781.8139,2026-06-27 10:09:41 CEST,1782547781.8416324,2026-06-27 10:09:41 CEST,1782547781.8723366,2026-06-27 10:09:41 CEST,,,,,,missing effective_start or sdp_duration
sdp_n705_rep1_seednone.log,705,705,13,65,False,1782547781.7296865,2026-06-27 10:09:41 CEST,1782547781.7496786,2026-06-27 10:09:41 CEST,1782547781.783742,2026-06-27 10:09:41 CEST,,,,,,missing effective_start or sdp_duration
sdp_n706_rep1_seednone.log,706,706,13,13,False,1782547776.6739645,2026-06-27 10:09:36 CEST,1782547776.6775246,2026-06-27 10:09:36 CEST,1782547776.7147624,2026-06-27 10:09:36 CEST,,,,,,missing effective_start or sdp_duration
sdp_n707_rep1_seednone.log,707,707,13,17,False,1782547776.7643178,2026-06-27 10:09:36 CEST,1782547776.7699766,2026-06-27 10:09:36 CEST,1782547776.806379,2026-06-27 10:09:36 CEST,,,,,,missing effective_start or sdp_duration
sdp_n708_rep1_seednone.log,708,708,13,18,False,1782614757.2475586,2026-06-28 04:45:57 CEST,1782614757.252657,2026-06-28 04:45:57 CEST,1782614757.2927089,2026-06-28 04:45:57 CEST,,,,,,missing effective_start or sdp_duration
sdp_n709_rep1_seednone.log,709,709,13,22,False,1782614954.0804648,2026-06-28 04:49:14 CEST,1782614954.0911527,2026-06-28 04:49:14 CEST,1782614954.1325169,2026-06-28 04:49:14 CEST,,,,,,missing effective_start or sdp_duration
sdp_n710_rep1_seednone.log,710,710,13,21,False,1782615786.8123949,2026-06-28 05:03:06 CEST,1782615786.8185267,2026-06-28 05:03:06 CEST,1782615786.8580277,2026-06-28 05:03:06 CEST,,,,,,missing effective_start or sdp_duration
sdp_n711_rep1_seednone.log,711,711,13,24,False,1782615978.4286973,2026-06-28 05:06:18 CEST,1782615978.4339316,2026-06-28 05:06:18 CEST,1782615978.474947,2026-06-28 05:06:18 CEST,,,,,,missing effective_start or sdp_duration
sdp_n712_rep1_seednone.log,712,712,13,33,False,1782616234.662921,2026-06-28 05:10:34 CEST,1782616234.6679838,2026-06-28 05:10:34 CEST,1782616234.7085776,2026-06-28 05:10:34 CEST,,,,,,missing effective_start or sdp_duration
sdp_n713_rep1_seednone.log,713,713,13,31,False,1782616510.484148,2026-06-28 05:15:10 CEST,1782616510.4899328,2026-06-28 05:15:10 CEST,1782616510.532509,2026-06-28 05:15:10 CEST,,,,,,missing effective_start or sdp_duration
sdp_n714_rep1_seednone.log,714,714,13,37,False,1782616790.0969815,2026-06-28 05:19:50 CEST,1782616790.103935,2026-06-28 05:19:50 CEST,1782616790.1439474,2026-06-28 05:19:50 CEST,,,,,,missing effective_start or sdp_duration
sdp_n715_rep1_seednone.log,715,715,13,34,False,1782617046.4145381,2026-06-28 05:24:06 CEST,1782617046.4198816,2026-06-28 05:24:06 CEST,1782617046.4601743,2026-06-28 05:24:06 CEST,,,,,,missing effective_start or sdp_duration
