file,file_n,hog_idx,nodes,edges,finished,global_start_unix,global_start_readable,init_finish_unix,init_finish_readable,effective_start_unix,effective_start_readable,effective_end_unix_estimated,effective_end_readable_estimated,sdp_duration_seconds,sdp_duration_human,duration_so_far_seconds,duration_so_far_human,duration_seconds_for_sorting,duration_label,cache_save_seconds,abnormal
sdp_n0_rep1_seednone.log,0,0,8,11,True,1782727929.2229445,2026-06-29 12:12:09 CEST,1782727929.2306378,2026-06-29 12:12:09 CEST,1782727929.2325225,2026-06-29 12:12:09 CEST,1782728885.6025224,2026-06-29 12:28:05 CEST,956.37,15m 56s,,,956.37,15m 56s,0.0085,
sdp_n1_rep1_seednone.log,1,1,8,9,True,1782727929.2229445,2026-06-29 12:12:09 CEST,1782727929.2283676,2026-06-29 12:12:09 CEST,1782727929.2305787,2026-06-29 12:12:09 CEST,1782728738.3505785,2026-06-29 12:25:38 CEST,809.12,13m 29s,,,809.12,13m 29s,0.0059,
sdp_n2_rep1_seednone.log,2,2,8,16,True,1782727929.2229445,2026-06-29 12:12:09 CEST,1782727929.2301493,2026-06-29 12:12:09 CEST,1782727929.2330358,2026-06-29 12:12:09 CEST,1782728793.9330359,2026-06-29 12:26:33 CEST,864.7,14m 25s,,,864.7,14m 25s,0.0057,
sdp_n3_rep1_seednone.log,3,3,8,12,True,1782727929.2230666,2026-06-29 12:12:09 CEST,1782727929.2284718,2026-06-29 12:12:09 CEST,1782727929.2314773,2026-06-29 12:12:09 CEST,1782728785.3614774,2026-06-29 12:26:25 CEST,856.13,14m 16s,,,856.13,14m 16s,0.0068,
sdp_n4_rep1_seednone.log,4,4,8,16,True,1782727929.2229347,2026-06-29 12:12:09 CEST,1782727929.2307951,2026-06-29 12:12:09 CEST,1782727929.233873,2026-06-29 12:12:09 CEST,1782728753.5738728,2026-06-29 12:25:53 CEST,824.34,13m 44s,,,824.34,13m 44s,0.0061,
sdp_n5_rep1_seednone.log,5,5,8,20,True,1782727929.2229445,2026-06-29 12:12:09 CEST,1782727929.230983,2026-06-29 12:12:09 CEST,1782727929.2340019,2026-06-29 12:12:09 CEST,1782728790.914002,2026-06-29 12:26:30 CEST,861.68,14m 22s,,,861.68,14m 22s,0.0084,
sdp_n6_rep1_seednone.log,6,6,8,12,True,1782727929.2228813,2026-06-29 12:12:09 CEST,1782727929.2281377,2026-06-29 12:12:09 CEST,1782727929.231121,2026-06-29 12:12:09 CEST,1782728731.271121,2026-06-29 12:25:31 CEST,802.04,13m 22s,,,802.04,13m 22s,0.0074,
sdp_n7_rep1_seednone.log,7,7,8,15,True,1782727929.3912451,2026-06-29 12:12:09 CEST,1782727929.393361,2026-06-29 12:12:09 CEST,1782727929.3951907,2026-06-29 12:12:09 CEST,1782728756.4051907,2026-06-29 12:25:56 CEST,827.01,13m 47s,,,827.01,13m 47s,0.0083,
sdp_n8_rep1_seednone.log,8,8,8,16,True,1782728739.2448955,2026-06-29 12:25:39 CEST,1782728739.2617292,2026-06-29 12:25:39 CEST,1782728739.264921,2026-06-29 12:25:39 CEST,1782729691.214921,2026-06-29 12:41:31 CEST,951.95,15m 52s,,,951.95,15m 52s,0.0058,
sdp_n9_rep1_seednone.log,9,9,8,16,True,1782728743.4722981,2026-06-29 12:25:43 CEST,1782728743.4799175,2026-06-29 12:25:43 CEST,1782728743.4831462,2026-06-29 12:25:43 CEST,1782729564.083146,2026-06-29 12:39:24 CEST,820.6,13m 41s,,,820.6,13m 41s,0.0059,
