log_file,file_n,repeat,hog_idx,nodes,edges,parsed_num_edges,graph_type,generator_n,weighted,random_weights,finished,exact_result,rounded_energy,alg17_lower_bound_energy,alg17_actual_energy,sdp_objective_value,cut_edges,rounded_over_exact,alg17_lower_bound_over_exact,alg17_actual_over_exact,sdp_objective_over_exact,cut_edges_over_exact,rounded_over_sdp,alg17_actual_over_sdp,sdp_objective_over_edges,start_time,duration,duration_seconds,exact_error
sdp_n22_rep1_seednone.log,22,1,22,10,9,9,hog,22,False,False,True,6.271621605910738,6.777640443566714,7.400694846759192,7.382516902800738,12.575280043619019,6,1.0806838915758366,1.180028916250998,1.1771304722598424,2.0051082214155507,0.9566903708516556,0.5389653685689363,0.5870658050710206,1.397253338179891,2026-06-29 12:25:38 CEST,1h 57m 16s,7035.78,
sdp_n24_rep1_seednone.log,24,1,24,10,28,28,hog,24,False,False,True,12.658576065675984,18.548526398563954,15.772365105456306,19.226919517374785,25.39979133228158,15,1.465293276457745,1.245982567361856,1.5188848585828711,2.0065283172847295,1.1849674025084733,0.7302629441285965,0.756971554051255,0.9071354047243422,2026-06-29 12:25:38 CEST,1h 59m 19s,7159.15,
sdp_n28_rep1_seednone.log,28,1,28,10,16,16,hog,28,False,False,True,8.152175948778547,11.467404785217148,9.983313639289548,11.935159139659838,16.593859591430707,9,1.4066679690512969,1.224619500611412,1.4640458222013844,2.035512934913652,1.103999724312683,0.691063144293391,0.7192515444582473,1.0371162244644192,2026-06-29 12:25:38 CEST,2h 2m 53s,7373.07,
sdp_n29_rep1_seednone.log,29,1,29,10,21,21,hog,29,False,False,True,10.728389772882391,11.230682528956214,13.138869989236358,11.732283911146645,21.54329459146062,9,1.0468190256606302,1.2246823863956562,1.0935736079240659,2.0080641221588085,0.8388956954890701,0.5213075688714696,0.5445909798679128,1.0258711710219341,2026-06-29 12:25:38 CEST,2h 0m 12s,7212.22,
sdp_n30_rep1_seednone.log,30,1,30,10,20,20,hog,30,False,False,True,10.007511103462269,13.37373502358638,12.184044832193303,13.752199817825053,20.223562016662452,13,1.3363697412196234,1.2174900138734819,1.3741878150969271,2.0208383290892145,1.2990242894162194,0.6612947319847804,0.6800087841347849,1.0111781008331227,2026-06-29 12:25:38 CEST,2h 1m 28s,7288.07,
sdp_n31_rep1_seednone.log,31,1,31,10,20,20,hog,31,False,False,True,10.194364037160497,12.713112897163994,12.405822619158297,13.359438151301461,20.715316467469343,9,1.2470726816133064,1.216929528309622,1.3104729341235644,2.032036171354865,0.8828407507514151,0.6137059463768392,0.6449063026519863,1.0357658233734672,2026-06-29 12:25:38 CEST,2h 0m 53s,7252.75,
sdp_n32_rep1_seednone.log,32,1,32,10,30,30,hog,32,False,False,True,13.117466140586338,18.806777972861926,16.453938695113838,19.437183917459325,26.38706498314089,16,1.4337203367861167,1.2543534337172197,1.4817788518865964,2.011597720195176,1.2197477644325612,0.7127271632854155,0.736617881900774,0.879568832771363,2026-06-29 12:25:39 CEST,2h 0m 49s,7248.64,
sdp_n33_rep1_seednone.log,33,1,33,10,30,30,hog,33,False,False,True,13.183472067497778,18.702995209603923,16.43479521128133,19.16940511908654,26.469248376172445,18,1.418669915925551,1.2466211576993655,1.4540482978187772,2.0077600377694966,1.365345935262136,0.7065933623729307,0.7242141841980974,0.8823082792057482,2026-06-29 12:25:39 CEST,1h 59m 55s,7194.64,
sdp_n34_rep1_seednone.log,34,1,34,11,14,14,hog,34,False,False,True,7.910386739873244,10.174807121468952,9.426300226408589,10.726518129846049,15.906786745773852,8,1.286259124371458,1.1916358246928942,1.3560042615587629,2.010873459017345,1.0113285561216685,0.639651947567111,0.674335948628713,1.136199053269561,2026-06-29 12:25:40 CEST,4h 33m 47s,16426.51,
sdp_n35_rep1_seednone.log,35,1,35,11,25,25,hog,35,False,False,True,11.640646219934201,16.33709336285127,14.438063149506243,16.91708459278619,23.713551404897597,13,1.4034524419163747,1.24031457332511,1.4532771010441217,2.037133588364619,1.116776487695155,0.6889349083105766,0.713393127159025,0.9485420561959039,2026-06-29 12:25:40 CEST,4h 36m 32s,16591.85,
