log_file,file_n,repeat,hog_idx,nodes,edges,parsed_num_edges,graph_type,generator_n,weighted,random_weights,finished,exact_result,rounded_energy,alg17_lower_bound_energy,alg17_actual_energy,sdp_objective_value,cut_edges,rounded_over_exact,alg17_lower_bound_over_exact,alg17_actual_over_exact,sdp_objective_over_exact,cut_edges_over_exact,rounded_over_sdp,alg17_actual_over_sdp,sdp_objective_over_edges,start_time,duration,duration_seconds,exact_error,exact_result_raw,exact_result_log_scale,rounded_over_exact_rescaled,alg17_lower_bound_over_exact_rescaled,alg17_actual_over_exact_rescaled,sdp_objective_over_exact_rescaled,cut_edges_over_exact_rescaled
sdp_n0_rep1_seednone.log,0,1,0,5,6,6,hog,0,False,False,True,6.000000000000005,4.253252360116037,3.590205264593713,4.354076370348838,6.000612770500337,4,0.7088753933526722,0.5983675440989517,0.725679395058139,1.000102128416722,0.6666666666666661,0.7088030044240627,0.7256052901386921,1.0001021284167229,2026-06-30 15:33:27 CEST,19s,19.38,,6.000000000000005,12.00000000000001,0.3544376966763361,0.2991837720494758,0.3628396975290695,0.500051064208361,0.33333333333333304
sdp_n1_rep1_seednone.log,1,1,1,7,9,9,hog,1,False,False,True,9.000000000000027,5.788271751254814,5.427604867306023,6.066871035773853,9.000108291854898,6,0.6431413056949774,0.6030672074784452,0.6740967817526483,1.000012032428319,0.6666666666666647,0.64313356723643,0.6740886708290359,1.0000120324283222,2026-06-30 15:33:27 CEST,5m 37s,337.12,,9.000000000000027,18.000000000000053,0.3215706528474887,0.3015336037392226,0.33704839087632416,0.5000060162141595,0.33333333333333237
sdp_n2_rep1_seednone.log,2,1,2,9,12,12,hog,2,False,False,False,12.000000000000028,,,,,,,,,,,,,,2026-06-30 15:33:31 CEST,,,,12.000000000000028,24.000000000000057,,,,,
sdp_n3_rep1_seednone.log,3,1,3,11,15,15,hog,3,False,False,False,15.000000000000007,,,,,,,,,,,,,,2026-06-30 15:33:32 CEST,,,,15.000000000000007,30.000000000000014,,,,,
sdp_n4_rep1_seednone.log,4,1,4,13,18,18,hog,4,False,False,False,18.00000000000004,,,,,,,,,,,,,,2026-06-30 15:33:32 CEST,,,,18.00000000000004,36.00000000000008,,,,,
sdp_n5_rep1_seednone.log,5,1,5,15,21,21,hog,5,False,False,False,20.999999999999943,,,,,,,,,,,,,,2026-06-30 15:33:31 CEST,,,,20.999999999999943,41.999999999999886,,,,,
sdp_n6_rep1_seednone.log,6,1,6,7,9,9,hog,6,False,False,True,8.999999999999988,5.717386710729071,5.387756758003734,5.927545210382965,9.000738734242882,6,0.6352651900810087,0.5986396397781935,0.658616134486997,1.0000820815825437,0.6666666666666676,0.6352130507885475,0.6585620786693764,1.0000820815825424,2026-06-30 15:33:27 CEST,5m 25s,324.98,,8.999999999999988,17.999999999999975,0.31763259504050434,0.2993198198890967,0.3293080672434985,0.5000410407912719,0.3333333333333338
sdp_n7_rep1_seednone.log,7,1,7,9,12,12,hog,7,False,False,False,12.000000000000007,,,,,,,,,,,,,,2026-06-30 15:33:27 CEST,,,,12.000000000000007,24.000000000000014,,,,,
sdp_n8_rep1_seednone.log,8,1,8,6,9,9,hog,8,False,False,True,9.855772506635951,5.655751199975429,6.092155734831031,6.112855455716558,9.856287503309357,5,0.5738516383335124,0.6181307178842801,0.6202309815492125,1.0000522533036411,0.5073169045484227,0.5738216542563768,0.6201985741248011,1.0951430559232618,2026-06-30 15:33:27 CEST,1m 28s,88.43,,9.855772506635951,19.711545013271902,0.2869258191667562,0.30906535894214004,0.31011549077460626,0.5000261266518206,0.25365845227421135
sdp_n9_rep1_seednone.log,9,1,9,7,11,11,hog,9,False,False,True,11.503990713797103,7.106035011501085,6.987228377203731,7.442149959573239,11.564108650542943,6,0.6177017339712028,0.6073743061026401,0.6469189818318987,1.005225833212273,0.5215581400638657,0.6144905090603288,0.6435558662122934,1.051282604594813,2026-06-30 15:33:27 CEST,5m 46s,346.15,,11.503990713797103,23.007981427594206,0.3088508669856014,0.30368715305132005,0.32345949091594933,0.5026129166061365,0.26077907003193285
