log_file,file_n,repeat,hog_idx,original_hog_idx,nodes,edges,parsed_num_edges,graph_type,generator_n,weighted,random_weights,finished,exact_result,rounded_energy,alg17_lower_bound_energy,alg17_actual_energy,sdp_objective_value,cut_edges,rounded_over_exact,alg17_lower_bound_over_exact,alg17_actual_over_exact,sdp_objective_over_exact,cut_edges_over_exact,rounded_over_sdp,alg17_actual_over_sdp,sdp_objective_over_edges,start_time,duration,duration_seconds,exact_error
sdp_n0_rep1_seednone.log,0,1,0,0,2,1,1,hog,0,False,False,True,,0.9999998888486272,1.248281591391572,1.1918532605555816,1.9999998910740424,1,,,,,,0.49999997165580146,0.595926662733732,1.9999998910740424,2026-07-01 15:58:00 CEST,0s,0.16,"TypeError(""float() argument must be a string or a real number, not 'NoneType'"")"
sdp_n1_rep1_seednone.log,1,1,1,1,3,3,3,hog,1,False,False,True,3.0,1.6111471135069433,1.7825827817483648,1.6111471139041726,3.000000005981841,0,0.5370490378356477,0.5941942605827882,0.5370490379680576,1.000000001993947,0.0,0.5370490367648005,0.5370490368972103,1.000000001993947,2026-07-01 15:57:59 CEST,1s,0.71,
sdp_n2_rep1_seednone.log,2,1,2,2,4,4,4,hog,2,False,False,True,5.999999999999995,3.7994666616483665,3.5110496009226773,4.26480061996881,5.999998077194724,4,0.6332444436080616,0.5851749334871134,0.7108001033281356,0.9999996795324549,0.6666666666666673,0.633244646542419,0.7108003311165727,1.499999519298681,2026-07-01 15:57:59 CEST,4s,3.66,
sdp_n3_rep1_seednone.log,3,1,3,3,5,5,5,hog,3,False,False,True,6.236067977499804,3.279874294907388,3.740180002196422,3.4183533684236758,6.415500163393052,2,0.5259522998693115,0.5997657523444692,0.5481584518894516,1.0287732889603918,0.3207149131818557,0.511242180870387,0.5328272591946698,1.2831000326786104,2026-07-01 15:57:59 CEST,16s,15.79,
sdp_n4_rep1_seednone.log,4,1,4,4,6,6,6,hog,4,False,False,True,8.605551275464007,5.021124211214026,5.023282476245252,5.476418270249618,8.605551499907413,4,0.5834750210053555,0.5837258201653559,0.6363820393312725,1.0000000260812352,0.46481624151200257,0.5834750057876068,0.6363820227336433,1.4342585833179022,2026-07-01 15:57:59 CEST,56s,55.84,
sdp_n5_rep1_seednone.log,5,1,5,5,7,7,7,hog,5,False,False,True,9.210358513693397,5.419755043523891,5.571811761285343,5.813140082221936,9.558388738515506,6,0.5884412681076563,0.6049505839540897,0.6311524218714522,1.0377868271147836,0.6514404397048787,0.567015549564855,0.6081715487044277,1.365484105502215,2026-07-01 15:57:59 CEST,3m 3s,183.35,
sdp_n6_rep1_seednone.log,6,1,6,6,8,8,8,hog,6,False,False,True,11.302186817874373,6.091957936356272,6.595009016580041,6.39513087250409,11.304455474025628,2,0.5390070111672424,0.5835161922956409,0.5658312834105883,1.0002007271856157,0.17695690508645692,0.5388988395198541,0.565717728483097,1.4130569342532036,2026-07-01 15:57:59 CEST,10m 12s,611.79,
sdp_n7_rep1_seednone.log,7,1,7,7,9,9,9,hog,7,False,False,True,12.094599567874033,7.835968296411123,7.283662322204786,8.420239496944129,12.491214799485839,6,0.6478898497164974,0.602224346604399,0.6961982866559859,1.0327927542690463,0.49608918148372144,0.6273183531143557,0.6740929230750816,1.3879127554984265,2026-07-01 15:57:59 CEST,23m 38s,1417.56,
sdp_n8_rep1_seednone.log,8,1,8,8,10,10,10,hog,8,False,False,True,14.030892708984114,6.910413747085684,8.189132855044885,7.559367805950886,14.039782665326168,8,0.4925141892547493,0.5836501657375874,0.5387659903571603,1.0006335987685488,0.5701704207942182,0.49220233046429024,0.5384248450383878,1.4039782665326168,2026-07-01 15:58:04 CEST,1h 3m 58s,3837.84,
sdp_n9_rep1_seednone.log,9,1,9,9,11,11,11,hog,9,False,False,True,14.937872725048857,7.94387486807024,8.931507455614021,8.884827516810626,15.316022412882752,6,0.5317942530564879,0.5979102660740342,0.5947853272248018,1.0253148286100864,0.4016636177344573,0.5186643538330432,0.5801001903299213,1.392365673898432,2026-07-01 15:58:04 CEST,2h 21m 19s,8478.73,
sdp_n10_rep1_seednone.log,10,1,10,10,12,12,12,hog,10,False,False,True,16.77478183489043,9.413562293483722,9.793222313845023,10.200455869318224,16.791513356619777,10,0.5611734558540808,0.5838062402382946,0.6080827738756015,1.0009974211226131,0.5961329392195531,0.5606142873222668,0.6074768636203277,1.3992927797183148,2026-07-01 15:58:10 CEST,5h 1m 52s,18111.94,
sdp_n11_rep1_seednone.log,11,1,11,11,13,13,13,hog,11,False,False,True,,10.457087003638385,10.561593387033351,11.257154038041488,18.1110829992201,8,,,,,,0.5773860681930887,0.6215616171891126,1.3931602307092383,2026-07-01 15:58:21 CEST,12h 25m 35s,44735.05,"TypeError(""float() argument must be a string or a real number, not 'NoneType'"")"
sdp_n12_rep1_seednone.log,12,1,12,12,14,14,14,hog,12,False,False,False,,,,,,,,,,,,,,,2026-07-01 15:59:04 CEST,,,"TypeError(""float() argument must be a string or a real number, not 'NoneType'"")"
sdp_n13_rep1_seednone.log,13,1,13,13,15,15,15,hog,13,False,False,False,,,,,,,,,,,,,,,2026-07-01 16:01:15 CEST,,,"TypeError(""float() argument must be a string or a real number, not 'NoneType'"")"
