cache_file,cache_dataset,graph_index,graph_hash,n_vertices,n_edges,lasserre_level,initial_solver_level_M,warm_start_mode,parameter_vector,sdp_solver_mode,sdp_scs_eps,sdp_scs_max_iters,sdp_seed,gp_rounding_seed,algorithm17_seed,algorithm17_num_seeds,algorithm17_seed_start,algorithm17_seeds_tried_json,algorithm17_candidate_energies_json,sdp_objective_value,rounded_solution_energy,algorithm17_actual_energy,algorithm17_analytic_F_value,algorithm17_F_bound_applicable,algorithm17_lower_bound_energy,rounded_energy_over_sdp_objective,algorithm17_energy_over_sdp_objective,algorithm17_lower_bound_over_sdp_objective,warm_start_compute_time_seconds,cache_created_at,exact_comparison_normalisation_factor,rounded_solution_energy_normalized,algorithm17_actual_energy_normalized,algorithm17_lower_bound_energy_normalized,canonical_graph_hash,exact_result_match_status,exact_result_source,exact_optimal_energy,rounded_energy_over_exact_optimum,algorithm17_energy_over_exact_optimum,algorithm17_lower_bound_over_exact_optimum
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L2M2_gpseed43_alg17seed44/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000000_2870a2ee8414_seed43_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,0,031f49f789e6245e,5,4,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,44,1,44,[44],"[{""seed"": 44, ""actual_energy"": 4.206312550368091}]",5.709275426058966,3.684546891587178,4.206312550368091,3.392350911151321,True,3.392350911151321,0.645361559326727,0.7367506796342546,0.5941823888312592,25.779172897338867,2026-09-01 22:08:46,2,1.842273445793589,2.1031562751840456,1.6961754555756605,d3cd38ec70346e15b455deda9d7f292d03e1bbdc81fe5a6ecf43ab4819a3616e,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,2.8546376797184614,0.6453615668575086,0.7367506882314638,0.5941823957648263
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L2M2_gpseed43_alg17seed44/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000008_a9ba2966dd1c_seed43_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,8,f793499c6d3605b3,6,9,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,44,1,44,[44],"[{""seed"": 44, ""actual_energy"": 7.12339717141197}]",11.999999972206286,6.638978708139327,7.12339717141197,6.993735504629391,True,6.993735504629391,0.5532482269596791,0.5936164323258979,0.5828112934023234,92.89209508895874,2026-09-01 22:03:29,2,3.3194893540696633,3.561698585705985,3.4968677523146954,08d3f73c9bb85e738fdeb35ef3ff83284b6cb907fb916a10893f334e560d8b70,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,5.999999999999998,0.5532482256782774,0.5936164309509977,0.5828112920524494
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L2M2_gpseed43_alg17seed44/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000017_c4aee3422789_seed43_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,17,3a1e01ea8215dbb2,10,9,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,44,1,44,[44],"[{""seed"": 44, ""actual_energy"": 6.941901764844074}]",10.89897991032785,6.650554846206286,6.941901764844074,6.370810175293106,True,6.370810175293106,0.6101997527222006,0.6369313295335046,0.5845327019326039,8966.21192908287,2026-09-02 04:29:59,2,3.325277423103143,3.470950882422037,3.185405087646553,65ea93ac1fb921b3c72e79bc15ee43b0416034177dbc953665228776d3b25b5d,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,5.449489742783173,0.6101997765032678,0.6369313543563707,0.5845327247133595
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L2M2_gpseed43_alg17seed44/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000019_74be8c1f37b5_seed43_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,19,817913771ba08381,9,9,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,44,1,44,[44],"[{""seed"": 44, ""actual_energy"": 7.333127035900134}]",12.382605499907303,6.901063179174947,7.333127035900134,7.237118295100228,True,7.237118295100228,0.5573191505799493,0.5922119570033164,0.5844584401202482,3438.097850561142,2026-09-01 23:05:38,2,3.4505315895874733,3.666563517950067,3.618559147550114,fd5a37639465b780e5f5b046b2a1404f3cb54211fd524a31ffef8c12b312d51a,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,6.167772188791682,0.5594453692466,0.5944712946131652,0.5866881974217372
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L2M2_gpseed43_alg17seed44/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000020_e098d8973f8a_seed43_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,20,ce084f85c126f8ff,9,9,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,44,1,44,[44],"[{""seed"": 44, ""actual_energy"": 8.616063432722157}]",12.202849214693032,7.983584110386819,8.616063432722157,7.17990151043457,True,7.17990151043457,0.6542393477069323,0.7060698105117821,0.5883791059049961,3590.7315917015076,2026-09-02 05:42:10,2,3.9917920551934096,4.308031716361079,3.589950755217285,092cf91eb0e3f82d43e7a0bc861fb91854dc112b5eac683f630ed71e6f275773,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,6.075672763737654,0.6570123524456779,0.7090624995594477,0.5908729608750037
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L2M2_gpseed43_alg17seed44/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000028_ee00932b07c9_seed43_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,28,9a09305d3fada0d0,8,8,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,44,1,44,[44],"[{""seed"": 44, ""actual_energy"": 7.432814461597368}]",10.896859125902374,6.757509709486406,7.432814461597368,6.473783769393938,True,6.473783769393938,0.6201337129727107,0.6821061349622479,0.5940963074401351,1309.6384711265564,2026-09-02 04:31:31,2,3.378754854743203,3.716407230798684,3.236891884696969,6f09a38a4917c341b52ae9d29f19ed81c7476e89057907705fc1b9b94c18e026,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,5.427590733424281,0.6225146700793223,0.68472503055771,0.5963772958715341
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L2M2_gpseed43_alg17seed44/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000035_56167853854d_seed43_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,35,1369b95b04c142b7,11,10,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,44,1,44,[44],"[{""seed"": 44, ""actual_energy"": 8.356597174027774}]",13.302264402413375,7.608270393599458,8.356597174027774,7.794369030735707,True,7.794369030735707,0.571953027201829,0.6282086208203523,0.5859430240554839,23144.410074472427,2026-09-02 04:27:18,2,3.804135196799729,4.178298587013887,3.8971845153678535,6c4dd10875f47e9a2f9b800df5d032914dd31d5828a0eb61bd2bd533c755007c,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,6.6312809484776825,0.5736652128534879,0.6300892119452551,0.5876970898454416
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L2M2_gpseed43_alg17seed44/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000036_4efcc11153ae_seed43_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,36,16a96254a9b6069f,11,10,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,44,1,44,[44],"[{""seed"": 44, ""actual_energy"": 8.207544509938856}]",13.819698498592796,7.770248854394177,8.207544509938856,8.321207822377941,True,8.321207822377941,0.5622589273698981,0.5939018503749989,0.6021265820831949,20995.782415628433,2026-09-02 03:51:18,2,3.8851244271970886,4.103772254969428,4.1606039111889705,d181ac5c53704a0f11b9d72c240b58d195a83f3635a57b03087896f72614e3e9,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,6.892627005604992,0.563663814107126,0.5953858016155952,0.6036310840272691
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L2M2_gpseed43_alg17seed44/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000039_369d0cb759c8_seed43_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,39,cc026e05d118f6c8,11,10,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,44,1,44,[44],"[{""seed"": 44, ""actual_energy"": 8.90044497669449}]",13.936667405355093,7.840801939197911,8.90044497669449,8.280695945003137,True,8.280695945003137,0.5626023575898155,0.6386350996131643,0.5941661449007043,23188.269693136215,2026-09-02 04:27:49,2,3.9204009695989557,4.450222488347245,4.140347972501568,5358ecef64adff9d01a73d176cadb8a70036fe8fb9fb452853e8378185debe4e,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,6.9575899528244936,0.5634711151678945,0.6396212651969579,0.5950836425507885
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L2M2_gpseed43_alg17seed44/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000040_69af13dbfa0a_seed43_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,40,ebbcafb14c6beacb,10,25,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,44,1,44,[44],"[{""seed"": 44, ""actual_energy"": 19.626383224239547}]",30.000000963634662,18.8513629720933,19.626383224239547,17.529767301203364,True,17.529767301203364,0.628378745552192,0.6542127531272487,0.5843255579375668,8715.304991006851,2026-09-02 00:33:40,2,9.42568148604665,9.813191612119773,8.764883650601682,303dfd62134e04e11039deaba1cb69210ab7f0b7dbefcbdb5d64e6a19a4d482a,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,14.99999999999999,0.6283787657364437,0.6542127741413187,0.5843255767067792
