cache_file,cache_dataset,graph_index,graph_hash,n_vertices,n_edges,lasserre_level,initial_solver_level_M,warm_start_mode,parameter_vector,sdp_solver_mode,sdp_scs_eps,sdp_scs_max_iters,sdp_seed,gp_rounding_seed,algorithm17_seed,algorithm17_num_seeds,algorithm17_seed_start,algorithm17_seeds_tried_json,algorithm17_candidate_energies_json,sdp_objective_value,rounded_solution_energy,algorithm17_actual_energy,algorithm17_analytic_F_value,algorithm17_F_bound_applicable,algorithm17_lower_bound_energy,rounded_energy_over_sdp_objective,algorithm17_energy_over_sdp_objective,algorithm17_lower_bound_over_sdp_objective,warm_start_compute_time_seconds,cache_created_at,exact_comparison_normalisation_factor,rounded_solution_energy_normalized,algorithm17_actual_energy_normalized,algorithm17_lower_bound_energy_normalized,canonical_graph_hash,exact_result_match_status,exact_result_source,exact_optimal_energy,rounded_energy_over_exact_optimum,algorithm17_energy_over_exact_optimum,algorithm17_lower_bound_over_exact_optimum
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest4_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000000_2870a2ee8414_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,0,031f49f789e6245e,5,4,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,43,4,43,"[43, 44, 45, 46]","[{""seed"": 43, ""actual_energy"": 2.8459008906532386}, {""seed"": 44, ""actual_energy"": 2.741516573547074}, {""seed"": 45, ""actual_energy"": 2.806956409408773}, {""seed"": 46, ""actual_energy"": 2.772315263080012}]",5.709275426058966,2.3768783872104384,2.8459008906532386,3.392350911151321,True,3.392350911151321,0.41631874622156123,0.4984697143290081,0.5941823888312592,16.551161766052246,2026-09-02 06:09:18,2,1.1884391936052192,1.4229504453266193,1.6961754555756605,d3cd38ec70346e15b455deda9d7f292d03e1bbdc81fe5a6ecf43ab4819a3616e,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,2.8546376797184614,0.4163187510796218,0.4984697201456956,0.5941823957648263
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest4_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000001_9fea667002e0_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,1,d03b37ac9dce166c,10,9,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,45,4,43,"[43, 44, 45, 46]","[{""seed"": 43, ""actual_energy"": 4.944885361930111}, {""seed"": 44, ""actual_energy"": 4.954995079029532}, {""seed"": 45, ""actual_energy"": 4.975983180373901}, {""seed"": 46, ""actual_energy"": 4.974515282644991}]",9.99999999995888,4.83223301866388,4.975983180373901,5.873967185211989,True,5.873967185211989,0.48322330186837503,0.49759831803943627,0.5873967185236143,4209.746724843979,2026-09-02 09:14:15,2,2.41611650933194,2.4879915901869505,2.9369835926059946,b8b033b08cf8e5555b0e219470fc8f5db0e099f65f6314b7b2cf4e84e5a5c7ec,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,4.9999999999999964,0.48322330186638834,0.49759831803739046,0.5873967185211993
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest4_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000004_dcf1071fcc31_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,4,faea56c01340eb7c,8,8,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,45,4,43,"[43, 44, 45, 46]","[{""seed"": 43, ""actual_energy"": 7.013252851513433}, {""seed"": 44, ""actual_energy"": 7.326178010767433}, {""seed"": 45, ""actual_energy"": 7.3293225255876155}, {""seed"": 46, ""actual_energy"": 7.146689848385344}]",10.943472633498256,6.692540709833797,7.3293225255876155,6.513087190518977,True,6.513087190518977,0.6115554846226557,0.6697437615142717,0.5951572602815532,656.3021125793457,2026-09-02 10:05:29,2,3.3462703549168986,3.6646612627938078,3.2565435952594886,b1e8121bde6b0dc6bc4f75319bfe2ef8dca2dd206c470f0926cbd7e1a7334e9b,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,5.467166254526778,0.6120666903345419,0.6703036074235884,0.5956547585438968
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest4_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000008_a9ba2966dd1c_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,8,f793499c6d3605b3,6,9,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,46,4,43,"[43, 44, 45, 46]","[{""seed"": 43, ""actual_energy"": 6.3571147966074895}, {""seed"": 44, ""actual_energy"": 6.460477751213709}, {""seed"": 45, ""actual_energy"": 6.377745297208215}, {""seed"": 46, ""actual_energy"": 6.484268211236216}]",11.999999972206286,6.0159302079590935,6.484268211236216,6.993735504629391,True,6.993735504629391,0.5013275184910706,0.5403556855212256,0.5828112934023234,62.572694540023804,2026-09-02 09:21:45,2,3.0079651039795468,3.242134105618108,3.4968677523146954,08d3f73c9bb85e738fdeb35ef3ff83284b6cb907fb916a10893f334e560d8b70,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,5.999999999999998,0.5013275173299246,0.5403556842696848,0.5828112920524494
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest4_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000012_51c3f5dd2fdb_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,12,8c8d59853db24fbe,10,9,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,45,4,43,"[43, 44, 45, 46]","[{""seed"": 43, ""actual_energy"": 7.975662105620326}, {""seed"": 44, ""actual_energy"": 8.343484405895694}, {""seed"": 45, ""actual_energy"": 8.535574685673094}, {""seed"": 46, ""actual_energy"": 7.8039222061888305}]",12.858534434822134,7.523328002117629,8.535574685673094,7.762714144641917,True,7.762714144641917,0.5850844075778762,0.6638061848291159,0.6037013147952343,4570.381841421127,2026-09-02 11:26:42,2,3.7616640010588145,4.267787342836547,3.8813570723209585,0c12128af717057b39988b8ed82b3d6eb659844ad10a11c197042c1b7f67c606,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,6.426031530825893,0.5853790139394717,0.6641404298070785,0.6040052952902513
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest4_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000015_3da076e87f67_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,15,875011d5ffdb9b57,10,9,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,44,4,43,"[43, 44, 45, 46]","[{""seed"": 43, ""actual_energy"": 7.722930409200623}, {""seed"": 44, ""actual_energy"": 7.954520760205484}, {""seed"": 45, ""actual_energy"": 7.898985543718552}, {""seed"": 46, ""actual_energy"": 7.747776548965275}]",12.889811758376311,6.919013255292965,7.954520760205484,7.741213008385097,True,7.741213008385097,0.5367815593425339,0.6171169066946475,0.6005683522379254,6418.976387023926,2026-09-02 09:59:10,2,3.4595066276464825,3.977260380102742,3.8706065041925486,51ce02c62fc2f514060201385215e755f6d28c1517b796353f6987f85ee2329a,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,6.443715856621137,0.5368806919212185,0.6172308755694079,0.6006792649330385
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest4_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000016_0429580d9352_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,16,f7358d470f84e43f,10,9,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,43,4,43,"[43, 44, 45, 46]","[{""seed"": 43, ""actual_energy"": 9.11135716342057}, {""seed"": 44, ""actual_energy"": 9.083944852262125}, {""seed"": 45, ""actual_energy"": 9.071987145806837}, {""seed"": 46, ""actual_energy"": 8.807147528872413}]",12.959452416096637,8.061767543362945,9.11135716342057,7.727156977082982,True,7.727156977082982,0.6220762486345187,0.70306652402254,0.5962564411660835,6291.821744918823,2026-09-02 06:33:54,2,4.030883771681473,4.555678581710285,3.863578488541491,642e59fc9b7b9f3d01bed19c5e010b1369ac124d2943a85748f6c319f7454b7d,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,6.478385494588484,0.62220498842629,0.7032120248965931,0.5963798375025398
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest4_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000017_c4aee3422789_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,17,3a1e01ea8215dbb2,10,9,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,43,4,43,"[43, 44, 45, 46]","[{""seed"": 43, ""actual_energy"": 4.262682432485058}, {""seed"": 44, ""actual_energy"": 4.20134645336516}, {""seed"": 45, ""actual_energy"": 4.197136098017085}, {""seed"": 46, ""actual_energy"": 4.197897655248472}]",10.89897991032785,4.014688631091128,4.262682432485058,6.370810175293106,True,6.370810175293106,0.36835453080217334,0.39110838514765495,0.5845327019326039,4278.154986619949,2026-09-02 11:53:39,2,2.007344315545564,2.131341216242529,3.185405087646553,65ea93ac1fb921b3c72e79bc15ee43b0416034177dbc953665228776d3b25b5d,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,5.449489742783173,0.36835454515790494,0.39110840039016326,0.5845327247133595
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest4_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000018_2185b2c1ce9e_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,18,301f160b6aecd3f3,10,10,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,46,4,43,"[43, 44, 45, 46]","[{""seed"": 43, ""actual_energy"": 8.494844093643984}, {""seed"": 44, ""actual_energy"": 8.770513514540333}, {""seed"": 45, ""actual_energy"": 8.390602954730138}, {""seed"": 46, ""actual_energy"": 8.828194333862703}]",13.58787168979154,7.92117801083496,8.828194333862703,8.143858144106147,True,8.143858144106147,0.5829594355667987,0.6497113407757048,0.5993475895290182,4741.140684604645,2026-09-02 08:42:37,2,3.96058900541748,4.414097166931351,4.071929072053074,87917af3e2cdd89a861360faca34d576a42922a1cabc8f2f7e7d0197dbea5b55,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,6.784144874191838,0.5838007706003309,0.6506490130721421,0.6002125761705733
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest4_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000019_74be8c1f37b5_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,19,817913771ba08381,9,9,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,45,4,43,"[43, 44, 45, 46]","[{""seed"": 43, ""actual_energy"": 8.704916395749112}, {""seed"": 44, ""actual_energy"": 8.563446811426418}, {""seed"": 45, ""actual_energy"": 8.7295560166126}, {""seed"": 46, ""actual_energy"": 8.255615032382806}]",12.382605499907303,7.872773290885929,8.7295560166126,7.237118295100228,True,7.237118295100228,0.6357929509217479,0.7049853939607419,0.5844584401202482,1661.5911026000977,2026-09-02 10:38:13,2,3.9363866454429646,4.3647780083063,3.618559147550114,fd5a37639465b780e5f5b046b2a1404f3cb54211fd524a31ffef8c12b312d51a,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,6.167772188791682,0.6382185536288647,0.7076749715623651,0.5866881974217372
