run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,n_start,warm_start_mode,lasserre_level,initial_solver_level_M,sdp_seed,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
9aefa31d,8,8,1,50.0,False,True,"[1, 1, 1]",5.530314993679039,11.064375298427219,5.5321876492136095,2.801531187168421,3.279123346940407,2.514043618982195,1.9057908893893365,0.344608018090758,,1.651386246241513,0.43488078705579625,2.731484012510093,,0.4939111091560039,,,,140.43820452690125,4898.385736703873,True,4757.953897237778,0.00635218620300293,0.0,4757.953897237778,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000111_c85a996e7769_seed42_L2_M1_standard.npz,140.44666051864624,2026-06-24 01:42:47,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,111,standard,2,1,42,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,30,1,1,40,40,5,3,5,1,42,111,"[(2, 3), (1, 6), (4, 7), (5, 7), (4, 6), (5, 6), (3, 7), (0, 5)]",
82397032,8,8,1,50.0,False,True,"[1, 1, 1]",5.530314993679039,11.064375298427219,5.5321876492136095,3.030719676510227,3.279123346940407,2.773815675839883,2.2222162530188543,0.40182453541231766,,1.0761814036701507,-0.02701744197190692,2.7603069548539296,,0.49912291759309657,,,,140.70592260360718,4749.938617944717,True,4609.238669872284,0.0059621334075927734,0.0,4609.238669872284,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000111_c85a996e7769_seed2000042_L2_M1_standard.npz,140.71416211128235,2026-06-24 01:42:47,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,111,standard,2,1,2000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,30,1,1,40,40,5,3,5,3,2000042,111,"[(2, 3), (1, 6), (4, 7), (5, 7), (4, 6), (5, 6), (3, 7), (0, 5)]",
a025e07f,8,8,1,50.0,False,True,"[1, 1, 1]",5.530314993679039,11.064375298427219,5.5321876492136095,2.8417913306024665,3.279123346940407,2.6308315845102186,2.32622373385928,0.42063132688067034,,1.4972919630129269,0.88807626171105,3.0748697153657436,,0.5560026361753742,,,,140.74459195137024,4877.391516923904,True,4736.652055740356,0.005118370056152344,0.0,4736.652055740356,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000111_c85a996e7769_seed5000042_L2_M1_standard.npz,140.7532525062561,2026-06-24 01:42:47,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,111,standard,2,1,5000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,30,1,1,40,40,5,3,5,6,5000042,111,"[(2, 3), (1, 6), (4, 7), (5, 7), (4, 6), (5, 6), (3, 7), (0, 5)]",
63439116,8,8,1,50.0,False,True,"[1, 1, 1]",5.530314993679039,11.064375298427219,5.5321876492136095,2.7762738799606375,3.279123346940407,2.5337648613623642,2.144568460014516,0.3877841429404445,,1.3955171977881005,0.6171243950924037,2.842327058908566,,0.5139539180240634,,,,141.6931049823761,4888.031329870224,True,4746.342403888702,0.0041675567626953125,0.0,4746.342403888702,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000111_c85a996e7769_seed4000042_L2_M1_standard.npz,141.7000126838684,2026-06-24 01:42:48,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,111,standard,2,1,4000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,30,1,1,40,40,5,3,5,5,4000042,111,"[(2, 3), (1, 6), (4, 7), (5, 7), (4, 6), (5, 6), (3, 7), (0, 5)]",
fb0a9383,8,8,1,50.0,False,True,"[1, 1, 1]",5.530314993679039,11.064375298427219,5.5321876492136095,3.699452483895779,3.279123346940407,3.333188424135316,2.5317676051471802,0.4577980834800376,,1.4031367911906152,-0.19970484678565636,3.233336000742488,,0.5846567518193955,,,,140.9228174686432,5079.099399089813,True,4938.182014942169,0.0054209232330322266,0.0,4938.182014942169,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000111_c85a996e7769_seed6000042_L2_M1_standard.npz,140.93172979354858,2026-06-24 01:42:48,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,111,standard,2,1,6000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,30,1,1,40,40,5,3,5,7,6000042,111,"[(2, 3), (1, 6), (4, 7), (5, 7), (4, 6), (5, 6), (3, 7), (0, 5)]",
9e631695,8,8,1,50.0,False,True,"[1, 1, 1]",5.530314993679039,11.064375298427219,5.5321876492136095,3.425113752566566,3.279123346940407,3.0665913421344313,2.0293830460142335,0.36695614053336,,1.6384521493955058,-0.4359644428448899,2.8486091207119864,,0.5150898500298535,,,,141.81663179397583,5297.487257242203,True,5155.678299665451,0.007661581039428711,0.0,5155.678299665451,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000111_c85a996e7769_seed7000042_L2_M1_standard.npz,141.82781171798706,2026-06-24 01:42:49,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,111,standard,2,1,7000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,30,1,1,40,40,5,3,5,8,7000042,111,"[(2, 3), (1, 6), (4, 7), (5, 7), (4, 6), (5, 6), (3, 7), (0, 5)]",
8bac816c,8,8,1,50.0,False,True,"[1, 1, 1]",5.530314993679039,11.064375298427219,5.5321876492136095,3.081092593675805,3.279123346940407,2.7747165376433376,2.363589415633797,0.4273878465033725,,0.3546339096773137,-0.46762033434176775,2.5409063704724537,,0.45945056897782904,,,,141.58984899520874,5222.715061426163,True,5081.130254268646,0.005028963088989258,0.0,5081.130254268646,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000111_c85a996e7769_seed8000042_L2_M1_standard.npz,141.6017599105835,2026-06-24 01:42:50,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,111,standard,2,1,8000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,30,1,1,40,40,5,3,5,9,8000042,111,"[(2, 3), (1, 6), (4, 7), (5, 7), (4, 6), (5, 6), (3, 7), (0, 5)]",
3f3d6832,8,8,1,50.0,False,True,"[1, 1, 1]",5.530314993679039,11.064375298427219,5.5321876492136095,3.441047777643198,3.279123346940407,3.1578578415316687,1.717878519822702,0.3106294165497225,,1.9246462879619193,-0.9553123554560141,2.6802016638036616,,0.4846381565728246,,,,141.28093004226685,5002.861752748489,True,4861.586465120316,0.005628824234008789,0.0,4861.586465120316,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000111_c85a996e7769_seed9000042_L2_M1_standard.npz,141.2922933101654,2026-06-24 01:42:50,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,111,standard,2,1,9000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,30,1,1,40,40,5,3,5,10,9000042,111,"[(2, 3), (1, 6), (4, 7), (5, 7), (4, 6), (5, 6), (3, 7), (0, 5)]",
d12ff830,8,8,1,50.0,False,True,"[1, 1, 1]",5.530314993679039,11.064375298427219,5.5321876492136095,3.397755854162469,3.279123346940407,3.0961709066632768,2.4119932316182244,0.4361402984052536,,1.7590042130904076,0.3906488630003029,3.291495338163428,,0.5951732120006717,,,,140.83597898483276,4815.369636297226,True,4674.534981250763,0.001310586929321289,0.0,4674.534981250763,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000111_c85a996e7769_seed1000042_L2_M1_standard.npz,140.8474714756012,2026-06-24 01:42:52,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,111,standard,2,1,1000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,30,1,1,40,40,5,3,5,2,1000042,111,"[(2, 3), (1, 6), (4, 7), (5, 7), (4, 6), (5, 6), (3, 7), (0, 5)]",
39c3001d,8,8,1,50.0,False,True,"[1, 1, 1]",5.530314993679039,11.064375298427219,5.5321876492136095,3.393636526364184,3.279123346940407,3.117238473529495,2.016285209490923,0.36458776973743234,,2.41317089579372,0.2112643677165762,3.222870657387783,,0.5827643924571049,,,,141.6162087917328,4824.868067741394,True,4683.255388259888,0.003517627716064453,0.0,4683.255388259888,Results/warm_start_cache/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000111_c85a996e7769_seed3000042_L2_M1_standard.npz,141.6274688243866,2026-06-24 01:42:53,x86_64,dacsgpu0003,,64,64,3.11.15,0.24,True,False,adam,True,2,1000,hamqaoa,0.05,111,standard,2,1,3000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,30,1,1,40,40,5,3,5,4,3000042,111,"[(2, 3), (1, 6), (4, 7), (5, 7), (4, 6), (5, 6), (3, 7), (0, 5)]",
