run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,n_start,n_end,warm_start_mode,lasserre_level,initial_solver_level_M,sdp_seed,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
c4761aa6,3,3,1,50.0,False,True,"[1, 1, 1]",,2.999999993900359,1.4999999969501796,0.9979402983305273,0.8912913877519177,0.9979402983305274,0.9979402983305279,0.6652935322203519,,0.6037481129330304,0.6037481129330313,1.299814354797043,,0.8665429031980287,,,,46.98800492286682,47.81926226615906,True,0.8341658115386963,0.002898693084716797,0.0,0.8341658115386963,Results/warm_start_cache/complete_graphs/complete/complete_n3_70d602de720d_seed9000042_L2_M2_standard.npz,47.00077199935913,2026-06-24 22:42:54,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,adam,True,2,1000,hamqaoa,0.05,3,10,standard,2,2,9000042,False,False,False,10800,complete,False,True,False,False,True,False,True,10,True,Results/warm_start_cache/complete_graphs,512,60,0,30,1,1,32,32,5,3,5,10,9000042,,"[(0, 1), (0, 2), (1, 2)]",
5f253236,3,3,1,50.0,False,True,"[1, 1, 1]",,2.999999993900359,1.4999999969501796,0.8068201856431917,0.8912913877519177,0.8068201856431917,0.8068201856431917,0.5378801237621278,,0.9789569244158074,0.9789569244158074,1.2962986478510954,,0.864199098567397,,,,47.29506993293762,48.15427350997925,True,0.8637905120849609,0.004575252532958984,0.0,0.8637905120849609,Results/warm_start_cache/complete_graphs/complete/complete_n3_70d602de720d_seed7000042_L2_M2_standard.npz,47.306623220443726,2026-06-24 22:42:54,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,adam,True,2,1000,hamqaoa,0.05,3,10,standard,2,2,7000042,False,False,False,10800,complete,False,True,False,False,True,False,True,10,True,Results/warm_start_cache/complete_graphs,512,60,0,30,1,1,32,32,5,3,5,8,7000042,,"[(0, 1), (0, 2), (1, 2)]",
83d4ff12,3,3,1,50.0,False,True,"[1, 1, 1]",,2.999999993900359,1.4999999969501796,0.9889611679712047,0.8912913877519177,0.9889611679712047,0.9889611679712048,0.6593074453141365,,0.8542421519973684,0.8542421519973686,1.416082243969889,,0.9440548293132593,,,,47.30449342727661,48.178487062454224,True,0.8779962062835693,0.003990888595581055,0.0,0.8779962062835693,Results/warm_start_cache/complete_graphs/complete/complete_n3_70d602de720d_seed2000042_L2_M2_standard.npz,47.31392765045166,2026-06-24 22:42:54,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,adam,True,2,1000,hamqaoa,0.05,3,10,standard,2,2,2000042,False,False,False,10800,complete,False,True,False,False,True,False,True,10,True,Results/warm_start_cache/complete_graphs,512,60,0,30,1,1,32,32,5,3,5,3,2000042,,"[(0, 1), (0, 2), (1, 2)]",
9d91fa48,3,3,1,50.0,False,True,"[1, 1, 1]",,2.999999993900359,1.4999999969501796,1.019654363876585,0.8912913877519177,1.019654363876585,1.0196543638765851,0.6797695759177235,,0.3322878263835829,0.33228782638358334,1.1857982770683766,,0.7905321847122511,,,,47.32856726646423,48.21569776535034,True,0.8917455673217773,0.004602670669555664,0.0,0.8917455673217773,Results/warm_start_cache/complete_graphs/complete/complete_n3_70d602de720d_seed4000042_L2_M2_standard.npz,47.33646202087402,2026-06-24 22:42:54,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,adam,True,2,1000,hamqaoa,0.05,3,10,standard,2,2,4000042,False,False,False,10800,complete,False,True,False,False,True,False,True,10,True,Results/warm_start_cache/complete_graphs,512,60,0,30,1,1,32,32,5,3,5,5,4000042,,"[(0, 1), (0, 2), (1, 2)]",
562e6beb,3,3,1,50.0,False,True,"[1, 1, 1]",,2.999999993900359,1.4999999969501796,0.9389777342191152,0.8912913877519177,0.9389777342191155,0.9389777342191158,0.6259851561460772,,0.8923093536972428,0.8923093536972435,1.3851324110677372,,0.9234216073784914,,,,47.49576020240784,48.61091685295105,True,1.1191322803497314,0.0039637088775634766,0.0,1.1191322803497314,Results/warm_start_cache/complete_graphs/complete/complete_n3_70d602de720d_seed42_L2_M2_standard.npz,47.50491690635681,2026-06-24 22:42:55,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,adam,True,2,1000,hamqaoa,0.05,3,10,standard,2,2,42,False,False,False,10800,complete,False,True,False,False,True,False,True,10,True,Results/warm_start_cache/complete_graphs,512,60,0,30,1,1,32,32,5,3,5,1,42,,"[(0, 1), (0, 2), (1, 2)]",
3b2864ca,3,3,1,50.0,False,True,"[1, 1, 1]",,2.999999993900359,1.4999999969501796,0.9977412123690409,0.8912913877519177,0.9977412123690411,0.9977412123690415,0.6651608082460276,,0.5449101895500403,0.544910189550041,1.2701963071440616,,0.8467975380960411,,,,47.61016654968262,48.48631501197815,True,0.8783495426177979,0.0021905899047851562,0.0,0.8783495426177979,Results/warm_start_cache/complete_graphs/complete/complete_n3_70d602de720d_seed5000042_L2_M2_standard.npz,47.620842933654785,2026-06-24 22:42:55,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,adam,True,2,1000,hamqaoa,0.05,3,10,standard,2,2,5000042,False,False,False,10800,complete,False,True,False,False,True,False,True,10,True,Results/warm_start_cache/complete_graphs,512,60,0,30,1,1,32,32,5,3,5,6,5000042,,"[(0, 1), (0, 2), (1, 2)]",
3eabc93a,3,3,1,50.0,False,True,"[1, 1, 1]",,2.999999993900359,1.4999999969501796,0.7574332476055237,0.8912913877519177,0.7574332476055237,0.7574332476055237,0.5049554984036825,,1.1688002408362475,1.1688002408362475,1.3418333680236474,,0.8945555786824316,,,,47.64065170288086,48.69420576095581,True,1.0576012134552002,0.004037618637084961,0.0,1.0576012134552002,Results/warm_start_cache/complete_graphs/complete/complete_n3_70d602de720d_seed8000042_L2_M2_standard.npz,47.65039849281311,2026-06-24 22:42:55,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,adam,True,2,1000,hamqaoa,0.05,3,10,standard,2,2,8000042,False,False,False,10800,complete,False,True,False,False,True,False,True,10,True,Results/warm_start_cache/complete_graphs,512,60,0,30,1,1,32,32,5,3,5,9,8000042,,"[(0, 1), (0, 2), (1, 2)]",
aec8e919,3,3,1,50.0,False,True,"[1, 1, 1]",,2.999999993900359,1.4999999969501796,1.0372896101639035,0.8912913877519177,1.0372896101639038,1.037289610163904,0.691526406775936,,0.36629232476013796,0.3662923247601384,1.220435772543973,,0.8136238483626487,,,,47.68807935714722,48.63208794593811,True,0.945204496383667,0.0011832714080810547,0.0,0.945204496383667,Results/warm_start_cache/complete_graphs/complete/complete_n3_70d602de720d_seed1000042_L2_M2_standard.npz,47.69885540008545,2026-06-24 22:42:55,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,adam,True,2,1000,hamqaoa,0.05,3,10,standard,2,2,1000042,False,False,False,10800,complete,False,True,False,False,True,False,True,10,True,Results/warm_start_cache/complete_graphs,512,60,0,30,1,1,32,32,5,3,5,2,1000042,,"[(0, 1), (0, 2), (1, 2)]",
0beff62f,3,3,1,50.0,False,True,"[1, 1, 1]",,2.999999993900359,1.4999999969501796,0.9875997461150936,0.8912913877519177,0.9875997461150936,0.9875997461150939,0.6583998307433959,,0.6400754577943999,0.6400754577944006,1.3076374750122939,,0.8717583166748626,,,,47.909316062927246,48.83682870864868,True,0.9315478801727295,0.004024028778076172,0.0,0.9315478801727295,Results/warm_start_cache/complete_graphs/complete/complete_n3_70d602de720d_seed6000042_L2_M2_standard.npz,47.91764163970947,2026-06-24 22:42:55,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,adam,True,2,1000,hamqaoa,0.05,3,10,standard,2,2,6000042,False,False,False,10800,complete,False,True,False,False,True,False,True,10,True,Results/warm_start_cache/complete_graphs,512,60,0,30,1,1,32,32,5,3,5,7,6000042,,"[(0, 1), (0, 2), (1, 2)]",
92e72910,3,3,1,50.0,False,True,"[1, 1, 1]",,2.999999993900359,1.4999999969501796,0.9468274395572578,0.8912913877519177,0.9468274395572578,0.946827439557258,0.631218293038172,,0.0,4.440892098500626e-16,0.946827439557258,,0.631218293038172,,,,48.26150822639465,49.145058393478394,True,0.887162446975708,0.0036025047302246094,0.0,0.887162446975708,Results/warm_start_cache/complete_graphs/complete/complete_n3_70d602de720d_seed3000042_L2_M2_standard.npz,48.27007985115051,2026-06-24 22:42:55,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,adam,True,2,1000,hamqaoa,0.05,3,10,standard,2,2,3000042,False,False,False,10800,complete,False,True,False,False,True,False,True,10,True,Results/warm_start_cache/complete_graphs,512,60,0,30,1,1,32,32,5,3,5,4,3000042,,"[(0, 1), (0, 2), (1, 2)]",
