run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,n_start,n_end,compare_with_010101,init_QAOAparams_close_to_zero,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,sdp_max_parallel,qaoa_max_parallel,qaoa_threads,queue_poll_interval_seconds,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
8c676739,8,13,1,10.0,False,False,"[1, 1, 1]",7.957194684958,,,,,,,,,,,3.9763440111419874,,0.49971681837302884,,,,3.5549092292785645,3.5549092292785645,False,,0.0,0.0,,,3.5655171871185303,2026-07-17 15:53:33,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,False,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,34,"[(2, 7), (0, 1), (4, 7), (2, 6), (5, 7), (0, 3), (4, 6), (5, 6), (1, 5), (3, 7), (1, 4), (0, 2), (3, 6)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
21315031,8,12,1,5.0,False,False,"[1, 1, 1]",7.38848974754172,,,,,,,,,,,4.412248118028192,,0.597178620907774,,,,3.407961368560791,3.407961368560791,False,,0.0,0.0,,,3.4139351844787598,2026-07-17 15:53:33,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,True,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,45,"[(2, 7), (0, 1), (1, 6), (4, 7), (0, 3), (5, 6), (4, 5), (3, 7), (2, 5), (1, 4), (0, 2), (3, 6)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
f37c52c8,8,13,1,25.0,False,False,"[1, 1, 1]",7.957194684958,,,,,,,,,,,5.126344410337711,,0.6442401641910774,,,,3.945622205734253,3.945622205734253,False,,0.0,0.0,,,3.9525907039642334,2026-07-17 15:53:33,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,False,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,34,"[(2, 7), (0, 1), (4, 7), (2, 6), (5, 7), (0, 3), (4, 6), (5, 6), (1, 5), (3, 7), (1, 4), (0, 2), (3, 6)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
742516ed,8,12,1,10.0,False,False,"[1, 1, 1]",7.38848974754172,,,,,,,,,,,5.553211008993243,,0.7516029931341373,,,,3.576568603515625,3.576568603515625,False,,0.0,0.0,,,3.582038164138794,2026-07-17 15:53:34,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,True,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,45,"[(2, 7), (0, 1), (1, 6), (4, 7), (0, 3), (5, 6), (4, 5), (3, 7), (2, 5), (1, 4), (0, 2), (3, 6)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
546f0346,8,9,1,5.0,False,False,"[1, 1, 1]",5.954924928412892,,,,,,,,,,,2.9794009527594687,,0.5003255269506042,,,,3.37504506111145,3.37504506111145,False,,0.0,0.0,,,3.383129596710205,2026-07-17 15:53:34,x86_64,dacsgpu0003,,64,64,3.11.15,0.2,True,False,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,108,"[(4, 7), (2, 6), (5, 7), (3, 5), (0, 6), (6, 7), (3, 6), (2, 4), (1, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3f190b8e,8,12,1,25.0,False,False,"[1, 1, 1]",7.38848974754172,,,,,,,,,,,4.130984063811133,,0.5591107526657371,,,,4.066350221633911,4.066350221633911,False,,0.0,0.0,,,4.071998357772827,2026-07-17 15:53:34,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,True,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,45,"[(2, 7), (0, 1), (1, 6), (4, 7), (0, 3), (5, 6), (4, 5), (3, 7), (2, 5), (1, 4), (0, 2), (3, 6)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
8e80a7fe,8,13,1,50.0,False,False,"[1, 1, 1]",7.957194684958,,,,,,,,,,,5.125717258597786,,0.6441613485073151,,,,4.770359516143799,4.770359516143799,False,,0.0,0.0,,,4.778262376785278,2026-07-17 15:53:34,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,False,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,34,"[(2, 7), (0, 1), (4, 7), (2, 6), (5, 7), (0, 3), (4, 6), (5, 6), (1, 5), (3, 7), (1, 4), (0, 2), (3, 6)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
dd204f7e,8,9,1,10.0,False,False,"[1, 1, 1]",5.954924928412892,,,,,,,,,,,2.6540124221265855,,0.445683607103664,,,,3.540705442428589,3.540705442428589,False,,0.0,0.0,,,3.547905921936035,2026-07-17 15:53:34,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,False,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,108,"[(4, 7), (2, 6), (5, 7), (3, 5), (0, 6), (6, 7), (3, 6), (2, 4), (1, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9cb0e5af,8,8,1,5.0,False,False,"[1, 1, 1]",5.062220518508268,,,,,,,,,,,2.361696635298276,,0.4665337329070404,,,,3.3849778175354004,3.3849778175354004,False,,0.0,0.0,,,3.392171621322632,2026-07-17 15:53:35,x86_64,dacsgpu0003,,64,64,3.11.15,0.2,True,False,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,116,"[(2, 6), (3, 5), (0, 7), (4, 5), (6, 7), (3, 6), (2, 4), (1, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0ee24298,8,9,1,25.0,False,False,"[1, 1, 1]",5.954924928412892,,,,,,,,,,,3.5296721039131396,,0.5927315871056444,,,,3.947453737258911,3.947453737258911,False,,0.0,0.0,,,3.955979824066162,2026-07-17 15:53:35,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,False,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,108,"[(4, 7), (2, 6), (5, 7), (3, 5), (0, 6), (6, 7), (3, 6), (2, 4), (1, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
f692512b,8,12,1,50.0,False,False,"[1, 1, 1]",7.38848974754172,,,,,,,,,,,4.592848377627738,,0.6216220817191848,,,,4.8918983936309814,4.8918983936309814,False,,0.0,0.0,,,4.89882755279541,2026-07-17 15:53:35,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,True,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,45,"[(2, 7), (0, 1), (1, 6), (4, 7), (0, 3), (5, 6), (4, 5), (3, 7), (2, 5), (1, 4), (0, 2), (3, 6)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
bf457388,7,7,2,5.0,False,False,"[1, 1, 1]",4.69322313729669,,,,,,,,,,,2.72412438062516,,0.580437857083067,,,,6.102592706680298,6.102592706680298,False,,0.0,0.0,,,6.109768629074097,2026-07-17 15:53:36,x86_64,dacsgpu0003,,64,64,3.11.15,0.2,True,False,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,147,"[(3, 5), (4, 6), (5, 6), (3, 4), (0, 6), (2, 5), (1, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
6802af69,8,8,1,10.0,False,False,"[1, 1, 1]",5.062220518508268,,,,,,,,,,,2.94603776887449,,0.5819655145609157,,,,3.5369009971618652,3.5369009971618652,False,,0.0,0.0,,,3.5460469722747803,2026-07-17 15:53:36,x86_64,dacsgpu0003,,64,64,3.11.15,0.2,True,False,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,116,"[(2, 6), (3, 5), (0, 7), (4, 5), (6, 7), (3, 6), (2, 4), (1, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5fe0f4dc,8,9,1,50.0,False,False,"[1, 1, 1]",5.954924928412892,,,,,,,,,,,3.5713994531255198,,0.599738786980371,,,,4.720135450363159,4.720135450363159,False,,0.0,0.0,,,4.727879285812378,2026-07-17 15:53:36,x86_64,dacsgpu0003,,64,64,3.11.15,0.2,True,False,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,108,"[(4, 7), (2, 6), (5, 7), (3, 5), (0, 6), (6, 7), (3, 6), (2, 4), (1, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
a368c5ab,6,8,1,5.0,False,False,"[1, 1, 1]",5.000000000000018,,,,,,,,,,,2.610158240118452,,0.5220316480236885,,,,3.1625640392303467,3.1625640392303467,False,,0.0,0.0,,,3.170806407928467,2026-07-17 15:53:36,x86_64,dacsgpu0003,,64,64,3.11.15,0.2,True,False,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,60,"[(0, 4), (3, 5), (3, 4), (1, 5), (2, 5), (0, 5), (1, 4), (2, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
24aa78f7,8,8,1,25.0,False,False,"[1, 1, 1]",5.062220518508268,,,,,,,,,,,2.549170717254558,,0.5035676948355751,,,,3.9689111709594727,3.9689111709594727,False,,0.0,0.0,,,3.9784045219421387,2026-07-17 15:53:36,x86_64,dacsgpu0003,,64,64,3.11.15,0.2,True,False,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,116,"[(2, 6), (3, 5), (0, 7), (4, 5), (6, 7), (3, 6), (2, 4), (1, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
a24e2114,6,8,1,10.0,False,False,"[1, 1, 1]",5.000000000000018,,,,,,,,,,,2.6976542582602496,,0.5395308516520481,,,,3.2390801906585693,3.2390801906585693,False,,0.0,0.0,,,3.2475085258483887,2026-07-17 15:53:37,x86_64,dacsgpu0003,,64,64,3.11.15,0.2,True,False,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,60,"[(0, 4), (3, 5), (3, 4), (1, 5), (2, 5), (0, 5), (1, 4), (2, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
cda9f92f,7,7,2,25.0,False,False,"[1, 1, 1]",4.69322313729669,,,,,,,,,,,3.1429932879034106,,0.6696875890954939,,,,7.283093452453613,7.283093452453613,False,,0.0,0.0,,,7.289030075073242,2026-07-17 15:53:37,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,False,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,147,"[(3, 5), (4, 6), (5, 6), (3, 4), (0, 6), (2, 5), (1, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
e756073b,7,7,1,5.0,False,False,"[1, 1, 1]",4.69322313729669,,,,,,,,,,,2.1893955825172737,,0.46650148916174733,,,,3.0979504585266113,3.0979504585266113,False,,0.0,0.0,,,3.10471773147583,2026-07-17 15:53:37,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,False,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,147,"[(3, 5), (4, 6), (5, 6), (3, 4), (0, 6), (2, 5), (1, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7af77f96,8,8,1,50.0,False,False,"[1, 1, 1]",5.062220518508268,,,,,,,,,,,4.029955751433128,,0.7960845910799383,,,,4.578778266906738,4.578778266906738,False,,0.0,0.0,,,4.587785005569458,2026-07-17 15:53:37,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,False,adam,True,1,100,hamqaoa,0.005,1,175,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,False,0,48,1,5,1,,116,"[(2, 6), (3, 5), (0, 7), (4, 5), (6, 7), (3, 6), (2, 4), (1, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
