run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_qaoa_input_energy_normalized,adam_energy_history_normalized_json,adam_updates_completed,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,Instance_is_bipartite,Instance_is_regular,Regular_degree,Instance_is_claw_free,Instance_is_twin_free,Instance_is_planar,Instance_is_eulerian,optimiser,optimiser_use_heuristic,circuit_type,learning_rate_adam,warm_start_mode,lasserre_level,initial_solver_level_M,sdp_solver_mode,sdp_scs_eps,sdp_scs_max_iters,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,initialise_standard_warm_start_with_zero_angles,result_name_suffix,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
ab51e4c8,7,8,1,50.0,False,True,"[1, 1, 1]",5.22567598878964,10.45718192120803,5.228590960604015,3.5970093892162653,3.0678410423213673,3.5044002379637704,2.7243147299263457,2.7243147299263457,"[2.7243147299263457, 2.738571948176035, 2.7534150113428844, 2.7686317482751837, 2.7839081431903083, 2.7988732263507057, 2.813110106222201, 2.8261734766850903, 2.8376306963820737, 2.8471587124918307, 2.854734680494862, 2.860784519494132, 2.865981638929104, 2.8709452765242074, 2.8761396672140536, 2.881849029031665, 2.8881812300192857, 2.8951000705982777, 2.902470455357109, 2.9101001853967916, 2.917774726752399, 2.9252851007830776, 2.932452665519388, 2.9391512498379337, 2.9453268546347764, 2.9510104074821912, 2.9563180633027835, 2.961432995554792, 2.9665706656983573, 2.971936228609244, 2.9776891120898648, 2.983925474324224, 2.990679836152289, 2.997940827786287, 3.0056726905496434, 3.0138346573221684, 3.0223921514216525, 3.031317933369264, 3.040583838229066, 3.0501488536328445, 3.059948397806555, 3.0698882738016775, 3.0798442688281376, 3.089665724279355, 3.0991829207718795, 3.108217256403463, 3.116593786756197, 3.124155586925463, 3.130778650776298, 3.1363855731992505, 3.1409554774207566]",50,0.5213325004785353,,0.8332814949888219,-0.7268895210860276,3.1409554774207566,,0.6010620413816085,,,,1.6342427730560303,376.45083236694336,True,374.82473707199097,0.008133888244628906,0.0,374.82473707199097,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000209_f5f76262c0fb_noseed_L2_M2_amplified.npz,1.6438119411468506,2026-08-03 08:51:52,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,True,False,True,False,,False,False,True,False,adam,False,hamqaoa,0.01,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,209,"[(2, 6), (3, 5), (4, 6), (0, 6), (4, 5), (2, 5), (1, 4), (3, 6)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
df2e483d,6,7,1,50.0,False,True,"[1, 1, 1]",4.472997601114035,8.945992987302175,4.472996493651087,2.061458206278181,2.608683203202341,1.9389076281031794,1.4715653104502768,1.4715653104502764,"[1.4715653104502764, 1.4870124586003213, 1.502283138112401, 1.5172959486574074, 1.5319676274568503, 1.5462176294340413, 1.5599698399104351, 1.5731541501915702, 1.5857078928248431, 1.5975772227226555, 1.6087182116822802, 1.6190974117159045, 1.6286920135375291, 1.6374899808835597, 1.6454905242358755, 1.652704729972161, 1.6591557267349366, 1.6648777991972339, 1.6699149075645032, 1.6743189424023037, 1.6781478227042215, 1.6814633725946724, 1.6843289897809237, 1.6868072678252333, 1.6889579731350741, 1.6908369494798727, 1.6924968632028785, 1.6939905071568395, 1.695374405608541, 1.6967063043731865, 1.6980369824356862, 1.6994064553792623, 1.70084663151315, 1.7023849660425596, 1.7040465637544313, 1.7058549452419758, 1.707831815936443, 1.7099964274245951, 1.712364857844033, 1.714950349477433, 1.7177649344870998, 1.7208218206370434, 1.7241371547374649, 1.7277308500929387, 1.7316264467289968, 1.7358515279173583, 1.7404381672714855, 1.7454235184607625, 1.7508498128949799, 1.7567641438793042, 1.763217616736019]",50,0.3289886205357615,,0.5833046125714842,-0.3513800227343209,1.763217616736019,,0.39419149616732985,,,,2.1539664268493652,108.12348866462708,True,105.97542977333069,0.005893230438232422,0.0,105.97542977333069,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000105_cbcc7c9c36ce_noseed_L2_M2_amplified.npz,2.1699259281158447,2026-08-03 08:51:54,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,True,False,True,False,,False,False,True,False,adam,False,hamqaoa,0.01,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,105,"[(3, 5), (3, 4), (1, 5), (2, 5), (0, 5), (1, 4), (2, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7ad939d7,8,8,1,50.0,False,True,"[1, 1, 1]",5.530314993679039,11.064375824232364,5.532187912116182,3.5473778770481825,3.2791242772997915,3.3469976548590354,2.40565027754002,2.40565027754002,"[2.40565027754002, 2.4104336603593937, 2.4156696264999473, 2.4213698541862274, 2.427538994777059, 2.4341794208898238, 2.4412898744495273, 2.448864893561967, 2.4568943181410527, 2.4653630708454344, 2.474251225550625, 2.4835347010621653, 2.493186257018781, 2.5031760529312943, 2.5134703302882166, 2.524028869585111, 2.5348037611941256, 2.545741176527791, 2.556784665388046, 2.567877089210979, 2.578960051276269, 2.5899717981820847, 2.6008470056851993, 2.6115190549553566, 2.6219243349402315, 2.632004198485228, 2.6417034162683786, 2.6509686486662223, 2.6597511766889355, 2.6680122110641853, 2.6757249500780556, 2.6828731300857362, 2.689449754216171, 2.6954593564334663, 2.700920482647629, 2.7058635841915684, 2.7103263842008216, 2.7143517762204388, 2.7179881437231677, 2.7212865803173205, 2.7242957121837375, 2.727058902924513, 2.7296148980295754, 2.7319972627909848, 2.734232185181358, 2.7363382946581867, 2.7383291122047524, 2.7402140329472804, 2.741997643427334, 2.7436805009001524, 2.745261340305928]",50,0.43499335576537607,,0.6792221255318163,-1.2034726291062148,2.745261340305928,,0.4964023466011733,,,,3.629155158996582,1306.7373759746552,True,1303.113439798355,0.005203723907470703,0.0,1303.113439798355,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000238_c85a996e7769_noseed_L2_M2_standard.npz,3.642545223236084,2026-08-03 08:51:54,x86_64,dacsgpu0002,,64,64,3.11.15,0.24,True,False,True,False,,False,True,True,False,adam,False,hamqaoa,0.01,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,238,"[(2, 3), (1, 6), (4, 7), (5, 7), (4, 6), (5, 6), (3, 7), (0, 5)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4c100bb0,7,8,2,50.0,False,True,"[1, 1, 1]",5.22567598878964,10.45718192120803,5.228590960604015,3.5970093892162653,3.0678410423213673,3.5044002379637704,2.7243147299263457,2.7243147299263457,"[2.7243147299263457, 2.753706133891216, 2.784719613114, 2.815313036472782, 2.842701598206973, 2.863939420385637, 2.8774669914456776, 2.8848278483173124, 2.889967645132856, 2.896431178789842, 2.9055050960683855, 2.916838374358056, 2.92938849855929, 2.9419345226187716, 2.95334173488922, 2.962746848685113, 2.9697130161658993, 2.9743267894138143, 2.977186496303368, 2.9792286153351517, 2.9813925537000445, 2.9842779145582154, 2.98798332876727, 2.992172352939622, 2.996281974562165, 2.999780118144075, 3.0023970549911936, 3.004248817068338, 3.005780532828954, 3.007549926309577, 3.0099832020659196, 3.0132360993487963, 3.0172024070498207, 3.0216290986598, 3.0262706944057207, 3.0310147074808573, 3.035926452581845, 3.041195081216903, 3.0470228021408263, 3.053534684433641, 3.060755159359436, 3.0686415922770465, 3.077138959206431, 3.086226421159626, 3.095937874061917, 3.106351638741555, 3.1175545589574614, 3.1295968610151967, 3.1424586546995883, 3.1560409043535915, 3.170181907606471]",50,0.5213325004785353,,0.8917343553602501,-0.6684366607145993,3.170181907606471,,0.6066548929568711,,,,4.190606355667114,379.0127811431885,True,374.82473707199097,0.0025484561920166016,0.0,374.82473707199097,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000209_f5f76262c0fb_noseed_L2_M2_amplified.npz,4.204585552215576,2026-08-03 08:51:54,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,True,False,True,False,,False,False,True,False,adam,False,hamqaoa,0.01,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,209,"[(2, 6), (3, 5), (4, 6), (0, 6), (4, 5), (2, 5), (1, 4), (3, 6)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5b7f5689,7,6,1,50.0,False,True,"[1, 1, 1]",3.5,7.0000000021142,3.5000000010571,1.820834616923749,2.048416865104635,1.7475352538654119,1.3667980395525072,1.3667980395525072,"[1.3667980395525072, 1.3791427165854955, 1.3922540933666905, 1.406062238156672, 1.4204767744417692, 1.435398362519472, 1.4507196803227813, 1.4663266076158825, 1.4820999568668554, 1.4979179574730754, 1.5136595582176684, 1.5292084841277842, 1.5444581764438987, 1.5593174422783036, 1.5737167766252984, 1.5876144048154377, 1.6010013034980648, 1.61390320677304, 1.6263779905967055, 1.638507314359348, 1.65038367880286, 1.6620967361162118, 1.67372380813409, 1.6853279311578655, 1.6969627945037637, 1.708679215466471, 1.720525069964693, 1.7325343372515538, 1.7447113241627825, 1.7570200915644096, 1.7693836687675708, 1.7816901945205172, 1.7938020795687475, 1.8055665179624738, 1.8168274524581227, 1.827439289154138, 1.837282369305076, 1.8462790879557163, 1.8544075617768623, 1.8617077796040806, 1.868275407586702, 1.8742416553909877, 1.8797447139777292, 1.8849023783031604, 1.8897940019677437, 1.8944547735556942, 1.8988805185306987, 1.9030392768511082, 1.9068852620709917, 1.9103719654400586, 1.9134622410294013]",50,0.39051372558643066,,1.0933284029537882,0.3318539743279789,1.9134622410294013,,0.5467034974369718,,,,2.494136333465576,399.40184116363525,True,396.91668915748596,0.008971691131591797,0.0,396.91668915748596,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000087_cf7d89a5f488_noseed_L2_M2_amplified.npz,2.511195659637451,2026-08-03 08:51:55,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,True,False,True,False,,False,False,True,False,adam,False,hamqaoa,0.01,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,87,"[(1, 6), (2, 6), (4, 6), (5, 6), (0, 6), (3, 6)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
59ff9f81,6,7,2,50.0,False,True,"[1, 1, 1]",4.472997601114035,8.945992987302175,4.472996493651087,2.061458206278181,2.608683203202341,1.9389076281031794,1.4715653104502768,1.4715653104502764,"[1.4715653104502764, 1.5022616322621574, 1.5319551323762524, 1.5599970368433198, 1.5857540839872684, 1.6086644736018991, 1.6283725502232438, 1.644838964184833, 1.6581456555836018, 1.6685314311404047, 1.6764393564749092, 1.6824938531312508, 1.6874329149631657, 1.692009927203912, 1.6968936027932817, 1.7026004987112318, 1.7094828969846758, 1.7177724368907181, 1.7276368398459772, 1.739174849942604, 1.7523663588655647, 1.7670567489785327, 1.7829691052670595, 1.7997187117169613, 1.8168307314695609, 1.8337690037229617, 1.8499822558101997, 1.864969043185243, 1.878356817268499, 1.8899810430798396, 1.8999403318951216, 1.9085981433411057, 1.9165127631978134, 1.9243086871149604, 1.9325346638423662, 1.9415616521929862, 1.9515471233363293, 1.9624597407380302, 1.9741408951568515, 1.98637842325222, 1.9989760433942594, 2.011804684682773, 2.0248249354070746, 2.03807404826731, 2.0516232292333005, 2.0655238207469484, 2.079763696935233, 2.0942465931492995, 2.108794873347744, 2.123168559725411, 2.1370928272064385]",50,0.3289886205357615,,1.3310550335123232,0.3963703982065181,2.1370928272064385,,0.47777643043541507,,,,4.535214900970459,110.50603771209717,True,105.97542977333069,0.004588603973388672,0.0,105.97542977333069,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000105_cbcc7c9c36ce_noseed_L2_M2_amplified.npz,4.573208808898926,2026-08-03 08:51:56,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,True,False,True,False,,False,False,True,False,adam,False,hamqaoa,0.01,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,105,"[(3, 5), (3, 4), (1, 5), (2, 5), (0, 5), (1, 4), (2, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
e3b84a46,7,6,2,50.0,False,True,"[1, 1, 1]",3.5,7.0000000021142,3.5000000010571,1.820834616923749,2.048416865104635,1.7475352538654119,1.3667980395525072,1.3667980395525072,"[1.3667980395525072, 1.391971366486266, 1.4197757762792826, 1.4495720520996056, 1.4806062528463488, 1.5120588713475231, 1.5430816561272949, 1.5728759839805613, 1.6008127730398714, 1.6266026042474218, 1.6504543683868464, 1.673036503689933, 1.6951258657496122, 1.7172195525897456, 1.7394234438560934, 1.7615515013139802, 1.7832657756495183, 1.8041965092770036, 1.8240240217332755, 1.8424915357210097, 1.859355200153734, 1.8743611523807342, 1.8873218331032868, 1.8982526884801239, 1.9074348412305244, 1.9152918439927467, 1.9221621946992067, 1.928167250232469, 1.933245961787766, 1.9372933861053263, 1.9403127697950253, 1.942489372180556, 1.9441366555639945, 1.9455910914152588, 1.9471509267629474, 1.9490561859846538, 1.9514795123838045, 1.9545206812831304, 1.9582066449824562, 1.962498760038058, 1.967306574383846, 1.9725057668263566, 1.9779578107872435, 1.9835284031745977, 1.989101794055107, 1.9945890252718532, 1.9999293165059044, 2.0050852591486885, 2.0100344406928063, 2.014760577757487, 2.0192473235788655]",50,0.39051372558643066,,1.3048985680527165,0.5434241394269073,2.0192473235788655,,0.5769278067368188,,,,5.413281202316284,402.32734751701355,True,396.91668915748596,0.002605438232421875,0.0,396.91668915748596,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000087_cf7d89a5f488_noseed_L2_M2_amplified.npz,5.450093507766724,2026-08-03 08:51:58,x86_64,dacsgpu0002,,64,64,3.11.15,0.24,True,False,True,False,,False,False,True,False,adam,False,hamqaoa,0.01,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,87,"[(1, 6), (2, 6), (4, 6), (5, 6), (0, 6), (3, 6)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
077c11ad,8,8,2,50.0,False,True,"[1, 1, 1]",5.530314993679039,11.064375824232364,5.532187912116182,3.5473778770481825,3.2791242772997915,3.3469976548590354,2.40565027754002,2.40565027754002,"[2.40565027754002, 2.4151300451279885, 2.4263781093382097, 2.439136518470131, 2.4533273194166365, 2.468859243792754, 2.48562966037651, 2.503540523563592, 2.5224789606776095, 2.5422675038427127, 2.5626559906583894, 2.5833382074711624, 2.603965297660751, 2.6241597849220857, 2.6435391977854796, 2.661750260241184, 2.67848792348006, 2.6934861008904907, 2.7065431889047407, 2.717579061716721, 2.7266234740936057, 2.7337639842495, 2.7391447898490346, 2.742978542021059, 2.745536610353929, 2.7471219137998695, 2.7480359990531995, 2.748551578189168, 2.7488945215943112, 2.7492355142345763, 2.7496894410118067, 2.750318492347057, 2.751138118480623, 2.7521246759038527, 2.753225518965136, 2.754370213230691, 2.755482735383471, 2.7564914197840547, 2.7573373063417117, 2.757979730448503, 2.7583998960046006, 2.7586020699954417, 2.7586122891584446, 2.7584739224026618, 2.7582408230480344, 2.757969216539141, 2.7577104199756817, 2.7575056554490165, 2.757383504624408, 2.7573593615357272, 2.757436234287884]",50,0.43499335576537607,,0.7035719134957281,-1.179122841142303,2.757436234287884,,0.4986038295177651,,,,7.557633876800537,1310.669513463974,True,1303.113439798355,0.0015430450439453125,0.0,1303.113439798355,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000238_c85a996e7769_noseed_L2_M2_standard.npz,7.570647954940796,2026-08-03 08:51:58,x86_64,dacsgpu0002,,64,64,3.11.15,0.25,True,False,True,False,,False,True,True,False,adam,False,hamqaoa,0.01,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,238,"[(2, 3), (1, 6), (4, 7), (5, 7), (4, 6), (5, 6), (3, 7), (0, 5)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1e20cca9,7,8,3,50.0,False,True,"[1, 1, 1]",5.22567598878964,10.45718192120803,5.228590960604015,3.5970093892162653,3.0678410423213673,3.5044002379637704,2.7243147299263457,2.7243147299263457,"[2.7243147299263457, 2.769449957108056, 2.815950075741971, 2.8559924890857062, 2.8807631292578657, 2.8896883916636527, 2.894920694376596, 2.9049329497072707, 2.9201394343298506, 2.9378527342038305, 2.9548290976304816, 2.9682947353919116, 2.976623136691893, 2.979860471559773, 2.979793404953088, 2.9790515080626334, 2.9796378875007927, 2.9820748188658146, 2.985560494049334, 2.988666056192637, 2.9901579740635444, 2.9897078987941206, 2.9881483057565257, 2.986954885932686, 2.987260217740423, 2.9892358320992667, 2.9922169321863694, 2.9952740987259676, 2.9978036095901968, 2.9998334262718753, 3.001895729103573, 3.0045861570406807, 3.0081771599537293, 3.0125382975473607, 3.017307241678552, 3.022136766422583, 3.0268815581480664, 3.0316532706234285, 3.0367351534089146, 3.0424203267087813, 3.0488768098929566, 3.056113300005893, 3.0640439445378838, 3.0725939785491843, 3.0817777641682933, 3.091712345355314, 3.1025703941804674, 3.114507685290039, 3.127605216487623, 3.1418475891123796, 3.157135062378723]",50,0.5213325004785353,,0.8656406649047543,-0.6945303511700951,3.157135062378723,,0.6041582120957276,,,,8.33202314376831,383.1545236110687,True,374.82473707199097,0.002219676971435547,0.0,374.82473707199097,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000209_f5f76262c0fb_noseed_L2_M2_amplified.npz,8.343255043029785,2026-08-03 08:51:59,x86_64,dacsgpu0002,,64,64,3.11.15,0.24,True,False,True,False,,False,False,True,False,adam,False,hamqaoa,0.01,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,209,"[(2, 6), (3, 5), (4, 6), (0, 6), (4, 5), (2, 5), (1, 4), (3, 6)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3d43de09,6,7,3,50.0,False,True,"[1, 1, 1]",4.472997601114035,8.945992987302175,4.472996493651087,2.061458206278181,2.608683203202341,1.9389076281031794,1.4715653104502768,1.4715653104502764,"[1.4715653104502764, 1.5172344720626145, 1.5599692821514104, 1.5975786577234827, 1.628154405053835, 1.6507789544079818, 1.6658135978003776, 1.6743334743209852, 1.6783453730267688, 1.680554748394937, 1.6835078510533634, 1.6889037207747482, 1.6976202979587534, 1.7099708652867875, 1.7259670876265452, 1.7454255285431903, 1.7678729922754586, 1.7924762332482949, 1.8180846069526329, 1.8433273514918669, 1.866765628639577, 1.8871216009358494, 1.9035824335904563, 1.9161214965055813, 1.9256927978574903, 1.9340965537831618, 1.9434493618811832, 1.9555271905879215, 1.9713581007080097, 1.9911831019156616, 2.0146545246912106, 2.041102833530246, 2.0697790703724834, 2.100027334216292, 2.1313605117096657, 2.1634394278686613, 2.195994229034137, 2.228728058511578, 2.2612234926252026, 2.2928715539466062, 2.322862165639785, 2.350277403525823, 2.3742967773546413, 2.394466761565461, 2.410926305016285, 2.424450005808621, 2.4362289410193547, 2.447458466107405, 2.4589349831499923, 2.4708529830094075, 2.4828588634251547]",50,0.3289886205357615,,2.0225871059497558,1.0879024706439506,2.4828588634251547,,0.5550771730364397,,,,7.7263007164001465,113.69965887069702,True,105.97542977333069,0.002055644989013672,0.0,105.97542977333069,Results/warm_start_cache/list_454_graphs_adjacency_listhog_v04-12_bipartite__filehash_0815e7e8/hog_idx000105_cbcc7c9c36ce_noseed_L2_M2_amplified.npz,7.745101690292358,2026-08-03 08:52:00,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,True,False,True,False,,False,False,True,False,adam,False,hamqaoa,0.01,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_454_graphs_adjacency_listhog_v04-12_bipartite.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,105,"[(3, 5), (3, 4), (1, 5), (2, 5), (0, 5), (1, 4), (2, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
