run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_qaoa_input_energy_normalized,adam_energy_history_normalized_json,adam_updates_completed,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,Instance_is_bipartite,Instance_is_regular,Regular_degree,Instance_is_claw_free,Instance_is_twin_free,Instance_is_planar,Instance_is_eulerian,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,warm_start_mode,lasserre_level,initial_solver_level_M,sdp_solver_mode,sdp_scs_eps,sdp_scs_max_iters,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,initialise_standard_warm_start_with_zero_angles,result_name_suffix,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
8a83a4f8,2,1,1,50.0,False,True,"[1, 1, 1]",,0.9999999999408307,0.9999999999408307,,,0.49999999997102706,0.4999999999710273,0.49999999997102706,"[0.49999999997102706, 0.4952484619275317, 0.4997061549562061, 0.4989004891457956, 0.4972709868616965, 0.49801972574553954, 0.49946142881609207, 0.49999406397265456, 0.4994198651511054, 0.4987861270786178, 0.4989150840685261, 0.4995696088194423, 0.5000360521831676, 0.49991393441863696, 0.4995025191955642, 0.4994109982651795, 0.49976790333218524, 0.5001852131770858, 0.5003140919883361, 0.5002201747762368, 0.5002184080693421, 0.5004841877119278, 0.5009139095094854, 0.5012946398371786, 0.5015479232700906, 0.5017864235062827, 0.5021349283777349, 0.5025480979323789, 0.502842372186032, 0.5028867989533532, 0.5027435756465458, 0.5026061265456043, 0.5025946580803206, 0.5026457772364119, 0.502624994503038, 0.5025129309116129, 0.5024306052852168, 0.5024804770445734, 0.5026229940770136, 0.5027380156273652, 0.5027692054617197, 0.5027711293533595, 0.5028170051509819, 0.5028998624535694, 0.5029508817484557, 0.5029329705922787, 0.5028835314597248, 0.5028601989510858, 0.5028709641245082, 0.5028799597306093, 0.5028677981907508]",50,0.4999999999710273,,0.002867798219723494,0.002867798219723716,0.5028677981907508,,0.5028677981907508,,,,0.980872392654419,1.017784595489502,True,0.03833961486816406,0.0014140605926513672,0.0,0.03833961486816406,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000000_cd0336d2cdf0_noseed_L1_M1_standard.npz,0.9930562973022461,2026-08-04 10:29:52,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,True,False,True,True,1,True,False,True,False,adam,True,1,10,hamqaoa,0.05,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,0,"[(0, 1)]",[1.0]
da5ee4fc,3,2,1,50.0,False,True,"[1, 1, 1]",,1.999999998738248,1.999999998738248,,,0.9999999999514577,0.9999999999514579,0.9999999999514579,"[0.9999999999514579, 0.9923935862760632, 0.9997614877248757, 0.9984184669035273, 0.9975376795264238, 0.9986198606009582, 1.0007173187034764, 1.003004579822813, 1.0072464787827908, 1.0172657814108739, 1.0387450050717777, 1.0761290006128927, 1.1310260921387079, 1.2017282763485517, 1.2817144782437333, 1.3583485276289595, 1.4136248338350619, 1.4310148849641777, 1.411455192023874, 1.3777704556701142, 1.3541236061474393, 1.351049660401471, 1.366126491924902, 1.3904124143947452, 1.4137473744535578, 1.42857924281754, 1.4325190332440139, 1.4283421265312248, 1.4211568505929524, 1.4152817396631572, 1.412990009550417, 1.4147054761935764, 1.4195634316400518, 1.4259275529297888, 1.4319066070080833, 1.435931531966436, 1.4372812447848569, 1.4363140321755163, 1.4342435695816504, 1.4325510918944917, 1.4323242622316759, 1.4338271574567554, 1.4364775002930745, 1.439210876616246, 1.441033806994036, 1.4414858503567571, 1.4407839243929161, 1.4396093147837572, 1.438711555525835, 1.4385727100711885, 1.4392670023647811]",50,0.6666666666343053,,0.43926700241332317,0.4392670024133234,1.4392670023647811,,0.9595113349098541,,,,1.1641662120819092,1.1978778839111328,True,0.035104990005493164,0.0013811588287353516,0.0,0.035104990005493164,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000001_9f99b1afad88_noseed_L1_M1_standard.npz,1.171135663986206,2026-08-04 10:29:52,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,True,False,True,False,,True,False,True,False,adam,True,1,10,hamqaoa,0.05,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,1,"[(1, 2), (0, 1)]","[1.0, 1.0]"
7d7084d0,5,4,1,50.0,False,True,"[1, 1, 1]",,3.999999939096554,3.999999939096554,,,1.9999999887980526,1.9999999887980524,1.9999999887980524,"[1.9999999887980524, 1.992332025446765, 1.999570007587429, 1.9983501533712928, 1.995709273744906, 1.996741543857747, 1.9990343872885, 1.9999615256904923, 1.9990826075441006, 1.9980597227541101, 1.9981694991081507, 1.9990176590392332, 1.999636124385155, 1.9995378564750121, 1.999138987836132, 1.9990949014531365, 1.999426280701791, 1.999760200325409, 1.999831283109583, 1.9996602096923652, 1.9994866260560653, 1.9995002066838388, 1.999676975116319, 1.9998776780878371, 1.999987933535856, 1.9999794178063965, 1.9999106388293755, 1.999869978612056, 1.9998934926233751, 1.9999393785190884, 1.99994831444481, 1.999918396538424, 1.999902447130006, 1.999931810837454, 1.9999712990797782, 1.9999718866159273, 1.999946344117427, 1.9999470550324439, 1.9999763687751528, 1.9999853899186304, 1.9999646786406007, 1.9999587986276646, 1.9999798323656206, 1.9999879059746009, 1.9999732500158809, 1.9999721597419875, 1.9999887502895977, 1.9999904944394675, 1.9999801738343483, 1.9999852823500814, 1.9999964568290212]",50,0.6830601054638157,,0.0,-2.220446049250313e-16,1.9999999887980524,,0.6830601054638157,,,,1.5752160549163818,1.691448450088501,True,0.11807751655578613,0.001833200454711914,0.0,0.11807751655578613,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000003_3fe097836279_noseed_L1_M1_standard.npz,1.5836994647979736,2026-08-04 10:29:53,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,True,False,True,False,,True,True,True,False,adam,True,1,10,hamqaoa,0.05,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,3,"[(1, 2), (3, 4), (0, 1), (2, 3)]","[1.0, 1.0, 1.0, 1.0]"
259b40e4,7,6,1,50.0,False,True,"[1, 1, 1]",,5.999999874884036,5.999999874884036,,,2.9999999655171625,2.9999999655171625,2.9999999655171643,"[2.9999999655171643, 2.9563773876692587, 2.9975287525831495, 2.993773156901913, 2.9827564505334903, 2.985272974994294, 2.9931440325863536, 2.998516444322933, 3.000257053771686, 3.000281204549303, 3.000096530827493, 3.0000272935710335, 2.999954601176652, 3.0000424792963893, 3.0007534933537854, 3.0027157966429923, 3.0076187314457634, 3.0203753725162628, 3.051348336187636, 3.114901069334014, 3.220285318263109, 3.361880548585733, 3.5166251231051446, 3.646763259655924, 3.7117707091412693, 3.6952511270413764, 3.627507207555796, 3.5642120191285054, 3.5367547335629963, 3.5417616908800924, 3.5649754032107586, 3.598078398514763, 3.6344833950846454, 3.6662565137637215, 3.687346084003693, 3.6958608424785258, 3.6939968703919024, 3.68609641629163, 3.676782775373219, 3.6701400727561313, 3.669029526506373, 3.6741225067032848, 3.683522851599624, 3.693653976748086, 3.7010912209175935, 3.7043101838549037, 3.7042176689153257, 3.7030714604443817, 3.7026919599290555, 3.703436572169137, 3.704551821035874]",50,0.6918819108665042,,0.7045518555187114,0.7045518555187114,3.704551821035874,,0.8543708074344727,,,,1.9228405952453613,2.048912525177002,True,0.12787818908691406,0.0017924308776855469,0.0,0.12787818908691406,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000005_800a0f5af338_noseed_L1_M1_standard.npz,1.9325025081634521,2026-08-04 10:29:53,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,True,False,True,False,,True,True,True,False,adam,True,1,10,hamqaoa,0.05,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,5,"[(0, 1), (2, 3), (1, 2), (5, 6), (3, 4), (4, 5)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
39e706e4,4,3,1,50.0,False,True,"[1, 1, 1]",,2.9999999922672624,2.9999999922672624,,,1.4999999994379511,1.4999999994379516,1.4999999994379516,"[1.4999999994379516, 1.4916889870488308, 1.4986298251798416, 1.4945310656527533, 1.4962283632546234, 1.4994744998642118, 1.4993572680647371, 1.4973994089599378, 1.4970210473352683, 1.498296382163247, 1.49951617344572, 1.4997603952150014, 1.499357316961738, 1.4989878610856633, 1.498911142132544, 1.499017198980545, 1.4992556604016138, 1.4996416915875321, 1.4999392882103142, 1.499843162195312, 1.4994735349996953, 1.4993005511796782, 1.4994994642910788, 1.4997633646442277, 1.499831765786404, 1.4998169479409134, 1.4998671982946545, 1.4998737646011866, 1.4997497169744214, 1.499676787126944, 1.4997944041660392, 1.4999421141532112, 1.4999524670842606, 1.4999106876441457, 1.4999193038190577, 1.4999082499145122, 1.4998561289765941, 1.4998733490202796, 1.499957944890684, 1.4999856454897589, 1.4999566118555863, 1.4999551639852036, 1.499957605721435, 1.4999303806112128, 1.4999354567563454, 1.4999795825460138, 1.4999910908596377, 1.4999768386709609, 1.4999803426559044, 1.4999764433335954, 1.4999610156348062]",50,0.6339814029746202,,0.0,4.440892098500626e-16,1.4999999994379516,,0.6339814029746202,,,,1.4454905986785889,1.539933204650879,True,0.09627294540405273,0.0018160343170166016,0.0,0.09627294540405273,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000002_f26a0b535d4f_noseed_L1_M1_standard.npz,1.45418381690979,2026-08-04 10:29:53,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,True,False,True,False,,True,True,True,False,adam,True,1,10,hamqaoa,0.05,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,2,"[(1, 2), (0, 1), (2, 3)]","[1.0, 1.0, 1.0]"
26e26973,2,1,2,50.0,False,True,"[1, 1, 1]",,0.9999999999408307,0.9999999999408307,,,0.49999999997102706,0.4999999999710273,0.49999999997102706,"[0.49999999997102706, 0.4811794032654946, 0.4987909178054394, 0.4955985135299663, 0.4893039046361708, 0.4922767403514231, 0.49811068601552205, 0.49992263382429025, 0.4968512028503991, 0.4948126539353035, 0.49630564584557363, 0.4989569884761976, 0.5000788689591115, 0.49915270325841204, 0.49773721619512545, 0.4975099877523056, 0.4985817946743894, 0.49979897984455485, 0.5001089484065204, 0.4995668303174168, 0.4992069512749149, 0.5000303935779105, 0.5025119074315152, 0.5074032903918808, 0.5167397332061808, 0.5341286747939016, 0.5644352584221958, 0.611926891086907, 0.6764916479441755, 0.7500849423412026, 0.8267289027888813, 0.9034352222162515, 0.9580480008332353, 0.9690981364262048, 0.9437618064310219, 0.9099417924573037, 0.8904164787712148, 0.8921571480897726, 0.9094132956941023, 0.9331244189863405, 0.95645195175689, 0.9749744381826314, 0.9849165108378104, 0.9842696129237819, 0.9758176346203791, 0.9662977542242183, 0.9616015899316082, 0.96344561549713, 0.9697191219430185, 0.9768186447791389, 0.9820463344180971]",50,0.4999999999710273,,0.4820463344470698,0.48204633444707,0.9820463344180971,,0.9820463344180971,,,,1.9621171951293945,1.9986681938171387,True,0.03833961486816406,0.0017747879028320312,0.0,0.03833961486816406,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000000_cd0336d2cdf0_noseed_L1_M1_standard.npz,1.9845619201660156,2026-08-04 10:29:53,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,True,False,True,True,1,True,False,True,False,adam,True,1,10,hamqaoa,0.05,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,0,"[(0, 1)]",[1.0]
66146db7,3,2,2,50.0,False,True,"[1, 1, 1]",,1.999999998738248,1.999999998738248,,,0.9999999999514577,0.9999999999514579,0.9999999999514579,"[0.9999999999514579, 0.9682626514658321, 0.9989293527948835, 0.9923468923537234, 0.9896787217677646, 1.002518427125763, 1.0218224728350087, 1.054135060193843, 1.1095420495343364, 1.197177343773218, 1.3076572899986278, 1.405893835641217, 1.4465576079923352, 1.4185821621314894, 1.3622378507210415, 1.332185681999182, 1.346257399806141, 1.38669134530053, 1.4264415724603607, 1.4466215774880389, 1.4458934629147355, 1.43556643314993, 1.426284161176986, 1.4218304936098807, 1.4217835930691956, 1.4244670417879506, 1.428317056366689, 1.432942171158238, 1.438797787872265, 1.4454987230160583, 1.451307085173451, 1.454173689035827, 1.4531263423239884, 1.4489699871838306, 1.4441851080260883, 1.44170884549437, 1.4429050284780691, 1.446961108911501, 1.4517742852576523, 1.455340257198403, 1.456519783386317, 1.4555028568329593, 1.4535865106242063, 1.4522702021148102, 1.4521460063246392, 1.452763958817032, 1.453401349267058, 1.4538775719556212, 1.4545400557545949, 1.4555809083965565, 1.45655942939909]",50,0.6666666666343053,,0.45655942944763206,0.4565594294476323,1.45655942939909,,0.9710396195993933,,,,2.264760971069336,2.2976205348968506,True,0.035104990005493164,0.002231121063232422,0.0,0.035104990005493164,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000001_9f99b1afad88_noseed_L1_M1_standard.npz,2.2734766006469727,2026-08-04 10:29:53,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,True,False,True,False,,True,False,True,False,adam,True,1,10,hamqaoa,0.05,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,1,"[(1, 2), (0, 1)]","[1.0, 1.0]"
a859a638,5,4,2,50.0,False,True,"[1, 1, 1]",,3.999999939096554,3.999999939096554,,,1.9999999887980526,1.9999999887980524,1.9999999887980524,"[1.9999999887980524, 1.9703043208829962, 1.9981731132612537, 1.9922105411497213, 1.983281859032646, 1.9896516134239233, 1.99785305915114, 1.9997235728802476, 1.9963034810466143, 1.9937463782342197, 1.9950632624439428, 1.9984637094377644, 2.001085414110757, 2.002091458750676, 2.004066585209878, 2.0112726505589866, 2.028132922957879, 2.061054006163208, 2.1155914880686684, 2.190494898743435, 2.2770804405364835, 2.363329378231384, 2.440933269779706, 2.496998996055816, 2.5396654767496285, 2.594771276758388, 2.6389419573096666, 2.661072311309381, 2.6638341817126285, 2.6499933222598377, 2.6305156896880915, 2.6192318634592597, 2.626438919387518, 2.6519263685674463, 2.681118339312778, 2.696089526077322, 2.691722756927948, 2.677594794623904, 2.6662620733049, 2.6647264988809365, 2.673418576154291, 2.6877379648871917, 2.7009380914052037, 2.707586157409616, 2.7066381710902228, 2.7017922490363366, 2.6979630997876183, 2.697973162582327, 2.7020881679910684, 2.7085599599514096, 2.714652016755065]",50,0.6830601054638157,,0.7146520279570125,0.7146520279570123,2.714652016755065,,0.9271352516239976,,,,2.915600061416626,3.027599811553955,True,0.11807751655578613,0.006063222885131836,0.0,0.11807751655578613,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000003_3fe097836279_noseed_L1_M1_standard.npz,2.929609775543213,2026-08-04 10:29:54,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,True,False,True,False,,True,True,True,False,adam,True,1,10,hamqaoa,0.05,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,3,"[(1, 2), (3, 4), (0, 1), (2, 3)]","[1.0, 1.0, 1.0, 1.0]"
6cc8a3d7,2,1,3,50.0,False,True,"[1, 1, 1]",,0.9999999999408307,0.9999999999408307,,,0.49999999997102706,0.4999999999710273,0.49999999997102706,"[0.49999999997102706, 0.4583465883550547, 0.497238555938727, 0.4902127081175364, 0.4763854041209732, 0.48314244269652523, 0.4962570842701705, 0.4998772250631551, 0.4922283393058695, 0.4896146527247174, 0.49475250880822524, 0.4999188409828822, 0.5012758157342846, 0.5013572358389476, 0.5049627028589593, 0.5174672447348883, 0.5419655901116702, 0.5824432308672353, 0.6437785293120144, 0.7218682978818001, 0.8049796737984598, 0.8841813427262165, 0.9481876015929511, 0.9684687840783806, 0.9369480593668411, 0.896841364808158, 0.8808810050127587, 0.8918980110400199, 0.9204482588879865, 0.9539141136508505, 0.9787328038979048, 0.987633860822799, 0.982632480998939, 0.9707603823685529, 0.9591698032937936, 0.9530447659981595, 0.9542397697731867, 0.9613149946098247, 0.9717717654328679, 0.9833591015291067, 0.9932462060514738, 0.9981710990265793, 0.9967937867513548, 0.9913534357028393, 0.9859362830334382, 0.9837035037780888, 0.9856450186681945, 0.9902543965064459, 0.9947189298592518, 0.9972338577919581, 0.9977674203102802]",50,0.4999999999710273,,0.4977674203392529,0.49776742033925314,0.9977674203102802,,0.9977674203102802,,,,2.9514176845550537,2.988180160522461,True,0.03833961486816406,0.00156402587890625,0.0,0.03833961486816406,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000000_cd0336d2cdf0_noseed_L1_M1_standard.npz,2.9679348468780518,2026-08-04 10:29:54,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,True,False,True,True,1,True,False,True,False,adam,True,1,10,hamqaoa,0.05,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,0,"[(0, 1)]",[1.0]
50209b05,6,5,1,50.0,False,True,"[1, 1, 1]",,4.999999851788772,4.999999851788772,,,2.4999999621306905,2.4999999621306896,2.4999999621306896,"[2.4999999621306896, 2.5003247947159326, 2.499154797520029, 2.502557981543009, 2.5040464712805046, 2.5077860346788508, 2.514201354233251, 2.520887820021109, 2.53015301176206, 2.539230949895784, 2.544119917980367, 2.5470423580276282, 2.544958423398323, 2.5405175653306733, 2.5388117135208677, 2.540220206394323, 2.5437268369928647, 2.548024514437934, 2.5514410553992852, 2.5527981290008244, 2.552110472858504, 2.5505435014575326, 2.5493179925426435, 2.5489216665577104, 2.549664666371452, 2.5515530016192414, 2.553762442350282, 2.555250718091172, 2.5556105151361534, 2.555057939124552, 2.5542354307384, 2.554015804982353, 2.554731446520802, 2.5558453682125393, 2.5566570021551445, 2.5569535561261794, 2.5566559496474697, 2.5560304875496866, 2.5558620159143848, 2.556153817894599, 2.55666784271939, 2.55710795862121, 2.5570450202650536, 2.5567394700770327, 2.5564625891061965, 2.556399353734801, 2.556671769998996, 2.556935713634947, 2.557022529625577, 2.5569227789359714, 2.556719231645724]",50,0.6677350326203765,,0.056719269515034476,0.05671926951503359,2.556719231645724,,0.6828844101617852,,,,1.9419362545013428,2.067195415496826,True,0.12706589698791504,0.0017924308776855469,0.0,0.12706589698791504,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000004_2a8a9b462e5e_noseed_L1_M1_standard.npz,1.9493646621704102,2026-08-04 10:29:54,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,True,False,True,False,,True,True,True,False,adam,True,1,10,hamqaoa,0.05,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,32,1,1,0,0,5,0,5,True,_Exp5_subexp1_zeroAngles,1,,4,"[(0, 1), (2, 3), (1, 2), (3, 4), (4, 5)]","[1.0, 1.0, 1.0, 1.0, 1.0]"
