run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_qaoa_input_energy_normalized,adam_energy_history_normalized_json,adam_updates_completed,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,Instance_is_bipartite,Instance_is_regular,Regular_degree,Instance_is_claw_free,Instance_is_twin_free,Instance_is_planar,Instance_is_eulerian,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,warm_start_mode,lasserre_level,initial_solver_level_M,sdp_solver_mode,sdp_scs_eps,sdp_scs_max_iters,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,initialise_standard_warm_start_with_zero_angles,result_name_suffix,benchmark_repeat_idx,sdp_seed,qaoa_seed_used,hog_graph_index,edges,weights
7941a022,6,5,1,50.0,False,True,"[1, 1, 1]",,7.487153667307896,3.743576833653948,1.8125917043159263,2.2377460484799525,1.6146369374743705,1.8125917043159248,1.8125917043159248,"[1.985132399804645, 1.985654254984905, 1.9861712623494634, 1.9866833027486617, 1.9871902612822097, 1.9876920240184384, 1.9881884799302483, 1.9886795265251824, 1.9891650664831584, 1.989645000981051, 1.990119241809825, 1.9905877050879592, 1.9910503075374901, 1.9915069776120362, 1.9919576465601385, 1.9924022503918468, 1.99284073163379, 1.9932730419409455, 1.9936991370047843, 1.9941189812887425, 1.9945325403920393, 1.9949397908415871, 1.995340714996003, 1.9957352976877734, 1.9961235319608444, 1.9965054152167954, 1.9968809523969542, 1.9972501534430875, 1.9976130338986873, 1.997969612712481, 1.9983199133772966, 1.998663965300545, 1.9990017979682804, 1.9993334537826735, 1.9996589699353284, 1.9999783895555612, 2.000291760538685, 2.000599133956254, 2.0009005626312106, 2.0011961034161785, 2.001485815045431, 2.00176975515164, 2.0020479863479306, 2.0023205715061034, 2.0025875745619666, 2.0028490610607443, 2.0031050969172397, 2.003355750085498, 2.003601092472408, 2.0038411910619747, 2.0040761181731814]",50,0.48413239965703114,,0.38296882771451335,0.7788783613976218,2.0040761181731814,,0.5352767409650591,,,,5.088683843612671,60.498639822006226,True,55.41160345077515,0.001634359359741211,0.0,55.41160345077515,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000004_2a8a9b462e5e_noseed_L2_M2_standard.npz,5.112620115280151,2026-08-07 12:15:35,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,True,False,,True,True,True,False,adam,True,2,50,hamqaoa,0.001,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,4,"[(0, 1), (2, 3), (1, 2), (3, 4), (4, 5)]","[1.0, 1.0, 1.0, 1.0, 1.0]"
7829ad4b,6,5,2,50.0,False,True,"[1, 1, 1]",,7.487153667307896,3.743576833653948,1.8125917043159263,2.2377460484799525,1.6146369374743705,1.8125917043159248,1.8125917043159248,"[1.689092867201556, 1.6923819124998425, 1.6956202656007595, 1.6988069529005665, 1.701941060445467, 1.7050217413594748, 1.7080482173490894, 1.7110197884138014, 1.7139358412681678, 1.716795845799307, 1.7195993730621015, 1.7223460914480002, 1.7250357831681777, 1.7276683402324655, 1.7302437762134875, 1.7327622324929923, 1.7352239800136742, 1.7376294216230395, 1.7399790958016685, 1.7422736760811304, 1.7445139642895677, 1.7467008934851291, 1.7488355125754877, 1.7509189732291524, 1.7529525180489143, 1.7549374611715538, 1.7568751593483918, 1.7587670020356974, 1.7606143724564853, 1.7624186437286056, 1.7641811415983457, 1.7659031359896074, 1.7675858318052795, 1.7692303456531189, 1.7708377166632099, 1.7724089063306816, 1.7739447914600461, 1.7754461682499456, 1.7769137715274579, 1.778348272547814, 1.7797502871953175, 1.7811203865854495, 1.7824591064657387, 1.7837669447116706, 1.7850443782262841, 1.7862918601986293, 1.787509824639191, 1.788698703923043, 1.7898589162150065, 1.790990879935852, 1.7920950032202076]",50,0.48413239965703114,,0.0,0.39590953368310844,1.8125917043159248,,0.48413239965703114,,,,13.63454270362854,69.04440522193909,True,55.41160345077515,0.0017268657684326172,0.0,55.41160345077515,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000004_2a8a9b462e5e_noseed_L2_M2_standard.npz,13.650372505187988,2026-08-07 12:15:44,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,True,False,,True,True,True,False,adam,True,2,50,hamqaoa,0.001,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,4,"[(0, 1), (2, 3), (1, 2), (3, 4), (4, 5)]","[1.0, 1.0, 1.0, 1.0, 1.0]"
cb0f5312,8,7,1,50.0,False,True,"[1, 1, 1]",,10.249997980679638,5.124998990339819,3.6018910221395624,3.0476573166266814,3.111141309721525,3.601891022139561,3.601891022139561,"[3.459142030812044, 3.4604720294347273, 3.4617594667765665, 3.4630039657287073, 3.4642057761785447, 3.4653661328314236, 3.466487687156335, 3.467574860206864, 3.4686338195748254, 3.469671754533847, 3.4706955559316284, 3.471710699526379, 3.47272078891161, 3.473727778847252, 3.4747324602088123, 3.4757349552593886, 3.4767350215759403, 3.477732268833551, 3.4787262551386755, 3.479716549371612, 3.4807027489577322, 3.4816845072758427, 3.4826615152004, 3.4836335254316655, 3.4846003244294446, 3.4855617427970187, 3.486517647650934, 3.48746793419333, 3.4884125304579516, 3.4893513939228593, 3.490284502261181, 3.491211849010696, 3.492133460378402, 3.4930493640910845, 3.4939596025059227, 3.4948642394984524, 3.495763332555265, 3.4966569599745636, 3.4975451981925767, 3.4984281336101777, 3.4993058527867973, 3.500178441000336, 3.5010459893580945, 3.5019085927180185, 3.5027663453505427, 3.5036193418765125, 3.504467675992898, 3.5053114360008504, 3.506150712072238, 3.5069855918651096, 3.5078161664227965]",50,0.7028080043199143,,0.0,0.9814994248360724,3.601891022139561,,0.7028080043199143,,,,16.609312534332275,693.6582231521606,True,677.05100440979,0.0020804405212402344,0.0,677.05100440979,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000006_749a375e0266_noseed_L2_M2_standard.npz,16.620886087417603,2026-08-07 12:15:47,x86_64,dacsgpu0003,,64,64,3.11.15,0.24,True,False,True,False,,True,True,True,False,adam,True,2,50,hamqaoa,0.001,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,6,"[(0, 1), (2, 3), (1, 2), (5, 6), (3, 4), (4, 5), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
46850bef,6,5,3,50.0,False,True,"[1, 1, 1]",,7.487153667307896,3.743576833653948,1.8125917043159263,2.2377460484799525,1.6146369374743705,1.8125917043159248,1.8125917043159248,"[2.1004251093758044, 2.1108991194511306, 2.1213046907102395, 2.1316377134269526, 2.141894076848594, 2.152069682155981, 2.1621604474398497, 2.172162320954595, 2.182071309835322, 2.19188346900823, 2.201594943811571, 2.2112019724981176, 2.220700897637433, 2.230088194979845, 2.239360481272474, 2.2485145302552954, 2.2575472922204094, 2.266455912467069, 2.2752377283040737, 2.283890310294829, 2.2924114586262174, 2.3007992147694054, 2.309051884450444, 2.3171680355173727, 2.3251465109184704, 2.3329864381400305, 2.340687235895419, 2.3482486108402716, 2.355670568840197, 2.3629534015802123, 2.3700976933749525, 2.37710430879162, 2.3839743919534437, 2.3907093460982485, 2.3973108350845327, 2.4037807453391893, 2.410121193696487, 2.4163344951062196, 2.422423137949978, 2.428389771122234, 2.4342371722525518, 2.439968225226929, 2.4455859003643767, 2.4510932193727526, 2.4564932293827617, 2.4617889850250085, 2.466983518940475, 2.4720798284556316, 2.4770808495499668, 2.481989437827388, 2.4868083573221966]",50,0.48413239965703114,,1.3484333060125437,1.7443428396956522,2.4868083573221966,,0.6642116339001594,,,,23.952362537384033,79.36285853385925,True,55.41160345077515,0.0010941028594970703,0.0,55.41160345077515,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000004_2a8a9b462e5e_noseed_L2_M2_standard.npz,23.9637553691864,2026-08-07 12:15:54,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,True,False,,True,True,True,False,adam,True,2,50,hamqaoa,0.001,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,4,"[(0, 1), (2, 3), (1, 2), (3, 4), (4, 5)]","[1.0, 1.0, 1.0, 1.0, 1.0]"
aaa0146d,7,6,1,50.0,False,True,"[1, 1, 1]",,8.67465685114911,4.337328425574555,3.1257617824275346,2.551278933151205,2.715824038024498,3.125761782427536,3.125761782427536,"[2.652468382341324, 2.655553775322069, 2.6586296596579295, 2.661695713127178, 2.664751610761454, 2.6677970341867026, 2.670831662379726, 2.6738551810380624, 2.6768672789574275, 2.679867645945505, 2.682855986273586, 2.685832000304219, 2.6887953993987743, 2.691745898546452, 2.6946832194758383, 2.697607093360325, 2.700517258398101, 2.7034134632916986, 2.706295461899553, 2.7091630229811567, 2.7120159196465425, 2.7148539351846988, 2.717676868596508, 2.7204845196144567, 2.7232767064052137, 2.7260532559094335, 2.728814005467417, 2.7315588051823045, 2.734287519380955, 2.7370000214660815, 2.739696188538021, 2.7423759177943565, 2.745039113404419, 2.7476856900850866, 2.750315586436149, 2.752928739463017, 2.7555251037901694, 2.7581046452044213, 2.760667338139913, 2.763213170290719, 2.765742137121379, 2.7682542496015268, 2.7707495318214796, 2.773228012075481, 2.775689733913282, 2.7781347473554585, 2.7805631201772076, 2.7829749227384126, 2.785370231914597, 2.7877491407615227, 2.79011174657741]",50,0.7208860199325497,,0.0,0.8198754888060762,3.125761782427536,,0.7208860199325497,,,,11.980237483978271,230.21350288391113,True,218.23555946350098,0.002279043197631836,0.0,218.23555946350098,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000005_800a0f5af338_noseed_L2_M2_standard.npz,12.019300937652588,2026-08-07 12:15:56,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,True,False,,True,True,True,False,adam,True,2,50,hamqaoa,0.001,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,5,"[(0, 1), (2, 3), (1, 2), (5, 6), (3, 4), (4, 5)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
207da74e,8,7,2,50.0,False,True,"[1, 1, 1]",,10.249997980679638,5.124998990339819,3.6018910221395624,3.0476573166266814,3.111141309721525,3.601891022139561,3.601891022139561,"[3.394039199334641, 3.4028277185330236, 3.4115260811548045, 3.4201319795866043, 3.42864321450707, 3.4370576541119697, 3.445373291408908, 3.4535882515702796, 3.4617008128237345, 3.469709419291462, 3.4776127059554716, 3.485409499430967, 3.4930988515699486, 3.500680057181259, 3.50815266939233, 3.5155165306901006, 3.5227717447247273, 3.529918726800463, 3.5369581842284807, 3.543891110965547, 3.550718781801512, 3.557442731151596, 3.564064705431053, 3.570586621252131, 3.5770105095645706, 3.583338486543198, 3.5895726783086275, 3.5957151521924975, 3.6017678907902537, 3.6077327280822704, 3.6136113438289033, 3.6194052167702884, 3.6251156465988923, 3.630743734683818, 3.636290404038419, 3.641756446528272, 3.647142490836753, 3.6524490442474113, 3.6576765421101674, 3.6628253554399093, 3.6678958013318295, 3.672888162566757, 3.6778027195813583, 3.6826397466261525, 3.687399528657547, 3.692082374755409, 3.6966886108487915, 3.701218601387364, 3.705672744385083, 3.7100514689289197, 3.714355262534043]",50,0.7028080043199143,,0.22492848078896355,1.206427905625036,3.714355262534043,,0.7247522463481059,,,,27.007099151611328,704.055999994278,True,677.05100440979,0.0020895004272460938,0.0,677.05100440979,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000006_749a375e0266_noseed_L2_M2_standard.npz,27.01408553123474,2026-08-07 12:15:57,x86_64,dacsgpu0003,,64,64,3.11.15,0.26,True,False,True,False,,True,True,True,False,adam,True,2,50,hamqaoa,0.001,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,6,"[(0, 1), (2, 3), (1, 2), (5, 6), (3, 4), (4, 5), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
147f58c9,7,6,2,50.0,False,True,"[1, 1, 1]",,8.67465685114911,4.337328425574555,3.1257617824275346,2.551278933151205,2.715824038024498,3.125761782427536,3.125761782427536,"[2.2550951886576933, 2.2620300287405004, 2.268986484002378, 2.2759643626807344, 2.2829634663233036, 2.2899835898142444, 2.2970245152209405, 2.3040860177178657, 2.3111678618295266, 2.3182697940067083, 2.325391543338456, 2.332532819958424, 2.3396933193542337, 2.3468727092327333, 2.3540706415289736, 2.361286740696873, 2.368520607714225, 2.3757718119837334, 2.3830399048521107, 2.39032440601648, 2.397624805620081, 2.4049405641756847, 2.412271117369751, 2.4196158668277894, 2.426974188031346, 2.43434541872639, 2.4417288685946383, 2.449123824110713, 2.4565295345746456, 2.4639452186764523, 2.471370063050232, 2.4788032331837906, 2.4862438614009514, 2.4936910529964207, 2.501143879934935, 2.508601394353989, 2.516062609962671, 2.5235265209383875, 2.530992101636462, 2.5384582904142854, 2.545924008831779, 2.5533881560656386, 2.5608496076939176, 2.5683072167906755, 2.5757598125706935, 2.5832062140089986, 2.590645222083815, 2.598075609132763, 2.6054961414648568, 2.6129055705597235, 2.620302631986882]",50,0.7208860199325497,,0.0,0.8198754888060762,3.125761782427536,,0.7208860199325497,,,,18.740930318832397,236.97109961509705,True,218.23555946350098,0.005374431610107422,0.0,218.23555946350098,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000005_800a0f5af338_noseed_L2_M2_standard.npz,18.792879104614258,2026-08-07 12:16:10,x86_64,dacsgpu0003,,64,64,3.11.15,0.24,True,False,True,False,,True,True,True,False,adam,True,2,50,hamqaoa,0.001,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,5,"[(0, 1), (2, 3), (1, 2), (5, 6), (3, 4), (4, 5)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
ef8cb3b2,2,1,1,50.0,False,True,"[1, 1, 1]",,1.9999998910740424,0.9999999455370212,0.6109963990757714,0.624140795695786,0.4999999813718837,0.6109963990757717,0.6109963990757717,"[0.8153610059700819, 0.8164088521881917, 0.8174422081239756, 0.8184608347965443, 0.8194645291065724, 0.8204531306073214, 0.8214265269655807, 0.8223846612359815, 0.8233275395822997, 0.8242552375917889, 0.8251679081453009, 0.8260657884768942, 0.8269492064614117, 0.8278185879549016, 0.8286744581995227, 0.8295174447877149, 0.830348277603791, 0.8311677827923203, 0.8319768735163026, 0.8327765357379907, 0.8335678103266536, 0.8343517693903244, 0.8351294901379107, 0.8359020281439485, 0.836670387905394, 0.8374354996888147, 0.8381981957349024, 0.838959194325599, 0.8397190903051583, 0.8404783515041859, 0.8412373192193233, 0.8419962170540771, 0.8427551610471276, 0.8435141737172439, 0.8442731988173342, 0.845032116878061, 0.8457907597517257, 0.8465489244335187, 0.8473063871337874, 0.8480629123090349, 0.8488182615618977, 0.8495722033566119, 0.8503245162844664, 0.8510749957083039, 0.8518234562686181, 0.8525697330052073, 0.8533136838513652, 0.8540551883135428, 0.854794149141473, 0.8555304902149825, 0.8562641548348967]",50,0.6109963990757717,,0.4905355115182499,0.7125283469260261,0.8562641548348967,,0.8562641548348967,,,,6.211750745773315,6.367993354797363,True,0.15759587287902832,0.0013396739959716797,0.0,0.15759587287902832,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000000_cd0336d2cdf0_noseed_L2_M2_standard.npz,6.236002206802368,2026-08-07 12:16:18,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,True,True,1,True,False,True,False,adam,True,2,50,hamqaoa,0.001,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,0,"[(0, 1)]",[1.0]
e92fa36b,2,1,2,50.0,False,True,"[1, 1, 1]",,1.9999998910740424,0.9999999455370212,0.6109963990757714,0.624140795695786,0.4999999813718837,0.6109963990757717,0.6109963990757717,"[0.8847307349814368, 0.8861211111362197, 0.8874967838112452, 0.8888573115912515, 0.8902023716402379, 0.8915318102284776, 0.8928457042473432, 0.8941444234094771, 0.8954286711508291, 0.8966994790993257, 0.8979581215601662, 0.8992059480861745, 0.900444180928194, 0.901673748639088, 0.9028952101577568, 0.9041087722151091, 0.9053143707043638, 0.9065117636517146, 0.9077006191699286, 0.9088805815344313, 0.9100513202288689, 0.9112125592834829, 0.9123640930894936, 0.9135057965906712, 0.9146376273867873, 0.9157596227620033, 0.91687189341114, 0.9179746125394745, 0.9190680027470619, 0.9201523218362746, 0.9212278472432393, 0.9222948573034919, 0.9233536176237008, 0.9244043690589444, 0.9254473158788045, 0.9264826201750478, 0.927510402955463, 0.9285307421209836, 0.9295436797572476, 0.930549227457714, 0.9315473753913286, 0.9325380980564371, 0.9335213608386557, 0.9344971278263081, 0.9354653584625094, 0.9364260139488532, 0.9373790544514166, 0.9383244351624074, 0.9392621068701943, 0.9401920122764486, 0.9411140885118078]",50,0.6109963990757717,,0.6602353788720721,0.8822282142798482,0.9411140885118078,,0.9411140885118078,,,,10.386319398880005,10.541969060897827,True,0.15759587287902832,0.0019235610961914062,0.0,0.15759587287902832,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000000_cd0336d2cdf0_noseed_L2_M2_standard.npz,10.436906576156616,2026-08-07 12:16:21,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,True,True,1,True,False,True,False,adam,True,2,50,hamqaoa,0.001,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,0,"[(0, 1)]",[1.0]
c64b4374,8,7,3,50.0,False,True,"[1, 1, 1]",,10.249997980679638,5.124998990339819,3.6018910221395624,3.0476573166266814,3.111141309721525,3.601891022139561,3.601891022139561,"[2.929305813196852, 2.9414280649735307, 2.9534078221510844, 2.9652402337514543, 2.9769209411016493, 2.9884462479129654, 2.999813331957299, 3.01102050060009, 3.0220674013619986, 3.032955140971717, 3.0436861801057318, 3.054263963513802, 3.0646922455686236, 3.074974411955768, 3.0851129998375133, 3.0951095015925123, 3.104964449851803, 3.114677648952112, 3.1242484600439937, 3.1336759981249975, 3.1429593098121407, 3.152097480871158, 3.161089720384971, 3.169935365636467, 3.178633943591573, 3.187185178470429, 3.1955890023890805, 3.203845605415148, 3.2119554584759844, 3.2199193245594837, 3.2277383268308113, 3.2354139394408703, 3.2429480483004864, 3.250342934985776, 3.2576013043082863, 3.264726229069173, 3.271721111525012, 3.2785896239235766, 3.285335605606087, 3.291962945762833, 3.2984754637415064, 3.3048768040418546, 3.3111703254759757, 3.317359048077833, 3.3234456304161575, 3.3294323696005623, 3.3353212182866603, 3.341113786628086, 3.3468114547574648, 3.352415374224623, 3.357926550665435]",50,0.7028080043199143,,0.0,0.9814994248360724,3.601891022139561,,0.7028080043199143,,,,48.62224888801575,725.6709685325623,True,677.05100440979,0.002269744873046875,0.0,677.05100440979,Results/warm_start_cache/path_graphs_2to12vertices_11instances_AdjacencyList__filehash_01292d61/hog_idx000006_749a375e0266_noseed_L2_M2_standard.npz,48.641266107559204,2026-08-07 12:16:24,x86_64,dacsgpu0003,,64,64,3.11.15,0.27,True,False,True,False,,True,True,True,False,adam,True,2,50,hamqaoa,0.001,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/path_graphs_2to12vertices_11instances_AdjacencyList.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,False,_Exp5_subexp4_standardWithHeuristic,1,,,6,"[(0, 1), (2, 3), (1, 2), (5, 6), (3, 4), (4, 5), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
