run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_qaoa_input_energy_normalized,adam_energy_history_normalized_json,adam_updates_completed,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,Instance_is_bipartite,Instance_is_regular,Regular_degree,Instance_is_claw_free,Instance_is_twin_free,Instance_is_planar,Instance_is_eulerian,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,warm_start_mode,lasserre_level,initial_solver_level_M,sdp_solver_mode,sdp_scs_eps,sdp_scs_max_iters,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,max_graph_vertices,qaoa_seed,initialise_standard_warm_start_with_zero_angles,result_name_suffix,benchmark_repeat_idx,sdp_seed,qaoa_seed_used,hog_graph_index,edges,weights
568c7031,8,16,1,50.0,False,True,"[1, 1, 1]",8.279452315768633,16.678514692847568,8.339257346423784,5.803930413402156,5.022626156666798,5.5769262489254015,5.803930413402156,5.17209432767083,"[5.220901578380821, 5.225402907495356, 5.228784043464384, 5.231790553451542, 5.234179042292825, 5.235821756042655, 5.23676774534651, 5.23724177650399, 5.237495666789197, 5.2376756768987915, 5.237858987097933, 5.23810651423762, 5.238469712751175, 5.238968584287302, 5.239567997540607, 5.240183824783296, 5.240723463049807, 5.241127034345147, 5.2413802604360535, 5.2414982716519996, 5.241505970500208, 5.241435646627113, 5.241333667179745, 5.241255280768744, 5.241240974449772, 5.241296432958857, 5.24139632097145, 5.241507129210226, 5.241605283105366, 5.241677325628457, 5.241711864220764, 5.24170150284283, 5.241653189469011, 5.2415901221723695, 5.241538137814311, 5.241510666887109, 5.241507723138975, 5.241525288824256, 5.241559096147631, 5.241600808612732, 5.241636790849304, 5.241656167338262, 5.2416583488270305, 5.241650726815972, 5.241640747088638, 5.241633068872451, 5.241631944446989, 5.241641404195685, 5.241661079894035, 5.241684816681371, 5.241705465073837]",50,0.7010041476231802,,-1.124449896656639,-0.6704415677031292,5.241705465073837,,0.6330980921395906,,,,15.49152946472168,646.9571003913879,True,631.4853746891022,0.019784927368164062,0.0,631.4853746891022,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000128_83c3a46c3cbb_noseed_L2_M2_amplified.npz,15.754976511001587,2026-08-22 23:37:17,x86_64,dacsgpu0002,,64,64,3.11.15,0.24,False,False,False,True,4,True,True,False,True,adam,True,1,20,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,12800001,128,"[(1, 3), (0, 1), (2, 3), (0, 4), (4, 7), (2, 6), (5, 7), (0, 3), (4, 6), (1, 2), (5, 6), (1, 5), (4, 5), (3, 7), (0, 2), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2e653ab7,8,16,2,50.0,False,True,"[1, 1, 1]",8.279452315768633,16.678514692847568,8.339257346423784,5.803930413402156,5.022626156666798,5.5769262489254015,5.803930413402156,5.17209432767083,"[5.1173279532225715, 5.140513049712014, 5.157706704096613, 5.171239777575683, 5.182327397526743, 5.191385256195435, 5.199023513702101, 5.20620352358344, 5.213244878543757, 5.220106097003579, 5.226666501916709, 5.232799649171839, 5.2384010649778165, 5.243410331978733, 5.247828544687535, 5.2517268709519085, 5.255238697764707, 5.258533718968774, 5.261780307187169, 5.265109570593132, 5.26858925789054, 5.272214164010558, 5.275908896079924, 5.279541489049651, 5.282945463320118, 5.285946843215704, 5.288392401291383, 5.290179000619041, 5.290968253410793, 5.290440196973382, 5.289428709269704, 5.288518836496761, 5.288010949988798, 5.287912776436926, 5.288099286461993, 5.288449709636562, 5.288753788706775, 5.289328206788403, 5.290135793443954, 5.2910466760141714, 5.291950042418841, 5.292762491359676, 5.293429542325473, 5.293924285272941, 5.294245529762874, 5.294416523090729, 5.294481234124283, 5.294496639773292, 5.294522959494309, 5.2946117635833065, 5.294797150643405]",50,0.7010041476231802,,-1.018266525517502,-0.5642581965639923,5.294797150643405,,0.6395105556147956,,,,25.22382688522339,656.7054371833801,True,631.4853746891022,0.0037462711334228516,0.0,631.4853746891022,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000128_83c3a46c3cbb_noseed_L2_M2_amplified.npz,25.414950609207153,2026-08-22 23:37:28,x86_64,dacsgpu0002,,64,64,3.11.15,0.26,False,False,False,True,4,True,True,False,True,adam,True,1,20,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,12800101,128,"[(1, 3), (0, 1), (2, 3), (0, 4), (4, 7), (2, 6), (5, 7), (0, 3), (4, 6), (1, 2), (5, 6), (1, 5), (4, 5), (3, 7), (0, 2), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1b77c144,8,16,3,50.0,False,True,"[1, 1, 1]",8.279452315768633,16.678514692847568,8.339257346423784,5.803930413402156,5.022626156666798,5.5769262489254015,5.803930413402156,5.17209432767083,"[5.022442102094449, 5.1045511078983745, 5.162118873779051, 5.200188585441369, 5.225852257595651, 5.245502328319475, 5.263606038678451, 5.28194474211432, 5.300349041210618, 5.317738359077293, 5.332948073275258, 5.345313080548988, 5.354991326699409, 5.362903683913623, 5.3702984829599165, 5.3782668316430975, 5.387478106295264, 5.39813050492651, 5.410021743895297, 5.422690678165977, 5.435597660793576, 5.448313498445579, 5.460674974087094, 5.472839892556255, 5.485185411868755, 5.49806940081857, 5.511601325509312, 5.525571220875538, 5.539548339565145, 5.553053053118149, 5.565706266067061, 5.577311686636311, 5.587866423135908, 5.597516870186298, 5.606491070174589, 5.615039434520342, 5.623395778373449, 5.631754853774061, 5.64025825819893, 5.648984938850459, 5.657953123998215, 5.6671349577409185, 5.676474222183171, 5.685897388671959, 5.695314902514102, 5.704614235036291, 5.713655621148503, 5.722277797046306, 5.730314008872584, 5.737617949042505, 5.744091272839569]",50,0.7010041476231802,,-0.11967828112517509,0.33433004782833464,5.744091272839569,,0.6937767202185171,,,,40.72001385688782,672.1848254203796,True,631.4853746891022,0.02054619789123535,0.0,631.4853746891022,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000128_83c3a46c3cbb_noseed_L2_M2_amplified.npz,41.13105034828186,2026-08-22 23:37:43,x86_64,dacsgpu0002,,64,64,3.11.15,0.28,False,False,False,True,4,True,True,False,True,adam,True,1,20,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,12800201,128,"[(1, 3), (0, 1), (2, 3), (0, 4), (4, 7), (2, 6), (5, 7), (0, 3), (4, 6), (1, 2), (5, 6), (1, 5), (4, 5), (3, 7), (0, 2), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
eeb37175,8,16,4,50.0,False,True,"[1, 1, 1]",8.279452315768633,16.678514692847568,8.339257346423784,5.803930413402156,5.022626156666798,5.5769262489254015,5.803930413402156,5.17209432767083,"[4.350030671481878, 4.54451447854076, 4.711923498221121, 4.839714614828423, 4.925073518799694, 4.978074173023858, 5.015381810442706, 5.048851261184616, 5.081978964238007, 5.1133891631976605, 5.1408052094310905, 5.163149248720125, 5.180735335970575, 5.194438359052985, 5.2050485868888146, 5.2132463242251665, 5.219822108162608, 5.225716128616208, 5.231798350990356, 5.238589780450138, 5.246116563563402, 5.253955387214029, 5.2614244823512, 5.267841727895287, 5.272773304145666, 5.276191767360776, 5.278489025805212, 5.280333423035595, 5.282427340896555, 5.285265611930208, 5.288991414550317, 5.293388704162227, 5.29799167033294, 5.302254937473985, 5.305720525390112, 5.30813117334531, 5.309464998331904, 5.309900227171546, 5.309737475020123, 5.309313288388792, 5.308929159768255, 5.308807489583308, 5.309073500605565, 5.309756914458251, 5.310807392659311, 5.3121181258411125, 5.313554145174676, 5.314980662886032, 5.31628779052184, 5.317406262674778, 5.318312744229037]",50,0.7010041476231802,,-0.9712353383462382,-0.5172270093927285,5.318312744229037,,0.6423507910179086,,,,55.66231155395508,687.1439504623413,True,631.4853746891022,0.003715038299560547,0.0,631.4853746891022,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000128_83c3a46c3cbb_noseed_L2_M2_amplified.npz,55.90569353103638,2026-08-22 23:37:58,x86_64,dacsgpu0002,,64,64,3.11.15,0.29,False,False,False,True,4,True,True,False,True,adam,True,1,20,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,12800301,128,"[(1, 3), (0, 1), (2, 3), (0, 4), (4, 7), (2, 6), (5, 7), (0, 3), (4, 6), (1, 2), (5, 6), (1, 5), (4, 5), (3, 7), (0, 2), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
093ff72d,8,16,5,50.0,False,True,"[1, 1, 1]",8.279452315768633,16.678514692847568,8.339257346423784,5.803930413402156,5.022626156666798,5.5769262489254015,5.803930413402156,5.17209432767083,"[4.694455483144888, 4.878457807960959, 5.01603890790244, 5.102764538173923, 5.1576620396025294, 5.199189740244827, 5.232425094692307, 5.257347611367917, 5.2744074237768945, 5.285090474944753, 5.290951733067293, 5.2932173196605685, 5.293353550750393, 5.293647413545549, 5.296728622338372, 5.304329749917574, 5.316532441193961, 5.331959747061873, 5.348494096082301, 5.3640625198086616, 5.377254278042566, 5.387623557342138, 5.395603617845783, 5.4021152128527, 5.408126217286692, 5.414400871360674, 5.421465129257105, 5.4296394739813545, 5.439011192820457, 5.449360843223239, 5.460145157172998, 5.470624009179719, 5.480123545096299, 5.488318404745797, 5.495366211714808, 5.501796684527589, 5.508215645455763, 5.515007686527573, 5.522190102096965, 5.529459882542672, 5.536365142213584, 5.542489113585988, 5.547568787708457, 5.551535776183951, 5.554510577251481, 5.556771445282666, 5.558692048654574, 5.560636150441914, 5.562832547379308, 5.565294333963479, 5.567845423345363]",50,0.7010041476231802,,-0.4721699801135859,-0.018161651160076175,5.567845423345363,,0.6724895815561521,,,,73.67386198043823,705.1550769805908,True,631.4853746891022,0.004141330718994141,0.0,631.4853746891022,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000128_83c3a46c3cbb_noseed_L2_M2_amplified.npz,73.95877528190613,2026-08-22 23:38:17,x86_64,dacsgpu0002,,64,64,3.11.15,0.29,False,False,False,True,4,True,True,False,True,adam,True,1,20,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,12800401,128,"[(1, 3), (0, 1), (2, 3), (0, 4), (4, 7), (2, 6), (5, 7), (0, 3), (4, 6), (1, 2), (5, 6), (1, 5), (4, 5), (3, 7), (0, 2), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1d5c475b,10,20,1,50.0,False,True,"[1, 1, 1]",10.81612211316143,21.798882820709235,10.899441410354617,6.784975135292618,6.470519578219046,6.533431040635507,6.226893952590223,5.833212640444372,"[5.796289506344498, 5.800769075385633, 5.8046755478398415, 5.808293188402036, 5.81143435803529, 5.814022264528836, 5.8161189644727145, 5.817708741972893, 5.818757946272333, 5.819307952390423, 5.819484034182001, 5.819425146047159, 5.819242852595998, 5.819039248948555, 5.818910836398466, 5.818915320197384, 5.819050962658064, 5.8192783826237475, 5.819557248130552, 5.819857136124851, 5.8201409328032145, 5.820364729849224, 5.820501357430943, 5.82055334721352, 5.820538694557487, 5.820474796281267, 5.820383836985501, 5.820298921905163, 5.820250159680075, 5.820249152956704, 5.820293775059808, 5.820379195197771, 5.820496064330746, 5.820625055801098, 5.8207448281925105, 5.82084307586288, 5.82091377111841, 5.820951449535547, 5.82095578817004, 5.820935037968112, 5.820900697895524, 5.820861589481458, 5.820825647964295, 5.820801171689817, 5.820792675632031, 5.820798928861269, 5.820816740079255, 5.820843175377566, 5.820873186071135, 5.820900594949081, 5.820921972482405]",50,0.5757048494314911,,-0.7873626242917027,-1.4004368003822698,5.833212640444372,,0.5393072100532517,,,,197.779878616333,4902.610207796097,True,4704.836851596832,0.006505250930786133,0.0,4704.836851596832,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000313_4f5e39d8cee7_noseed_L2_M2_amplified.npz,197.91766953468323,2026-08-22 23:40:17,x86_64,dacsgpu0002,,64,64,3.11.15,0.52,False,False,False,True,4,False,True,False,True,adam,True,1,20,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,31300001,313,"[(3, 5), (2, 9), (4, 6), (7, 8), (0, 2), (5, 7), (3, 4), (2, 8), (0, 1), (1, 6), (0, 4), (1, 9), (6, 8), (5, 6), (5, 9), (3, 9), (2, 7), (4, 7), (0, 3), (1, 8)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
dbe45248,10,45,1,50.0,False,True,"[1, 1, 1]",,29.999999997262744,14.999999998631372,12.401008716763624,9.736325465308427,12.401008716763624,12.401008716763613,12.401008716763615,"[12.400054026368304, 12.401788980972146, 12.40287277695905, 12.40344604712576, 12.403591287383412, 12.403457944535324, 12.403244143517513, 12.403108112175339, 12.403111228295106, 12.4032346905741, 12.403424244869077, 12.403618377531599, 12.403763242257059, 12.403827456139238, 12.40380965503374, 12.4037371917499, 12.403651259191227, 12.403592234585638, 12.403582567476596, 12.403622612436903, 12.403694680198994, 12.403773233310545, 12.403834222279071, 12.403862670676176, 12.40385708245507, 12.403827507073254, 12.403791458302392, 12.40376581489959, 12.403760874940646, 12.403777294730247, 12.40380777272618, 12.40384033272871, 12.403864423399956, 12.40387403543492, 12.403869805608984, 12.403857679130326, 12.403845321894918, 12.403838944178428, 12.403840823228741, 12.403849105166401, 12.403859452295194, 12.40386721939614, 12.403870232144408, 12.403868135607649, 12.403864014344167, 12.403860773466693, 12.403860637733384, 12.403863798057897, 12.403869057710688, 12.403873793244136, 12.403876088061104]",50,0.8267339144509075,,0.005734742594981412,0.005734742594960096,12.403876088061104,,0.8269250725374069,,,,197.8866991996765,4669.530698299408,True,4471.659681797028,0.015662670135498047,0.0,4471.659681797028,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000005_26e838c55cf9_noseed_L2_M2_amplified.npz,198.1653709411621,2026-08-22 23:40:18,x86_64,dacsgpu0002,,64,64,3.11.15,0.52,False,False,False,True,9,True,False,False,False,adam,True,1,20,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,500001,5,"[(2, 3), (3, 8), (2, 6), (3, 5), (2, 9), (4, 6), (4, 9), (7, 8), (0, 5), (1, 4), (0, 2), (0, 8), (1, 7), (6, 9), (5, 7), (3, 4), (2, 8), (4, 5), (3, 7), (2, 5), (4, 8), (8, 9), (1, 3), (0, 1), (1, 6), (0, 4), (1, 9), (0, 7), (6, 8), (5, 6), (5, 9), (3, 6), (2, 4), (3, 9), (2, 7), (4, 7), (7, 9), (0, 3), (1, 2), (1, 8), (0, 6), (1, 5), (0, 9), (5, 8), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
63cec98c,10,25,1,50.0,False,True,"[1, 1, 1]",11.58977837532859,23.462459363660187,11.731229681830094,8.287950833146025,7.161890249143668,8.031552165796056,7.682236379851672,7.434933501235841,"[7.580247288422059, 7.591297991526036, 7.6021806443406925, 7.612766137835192, 7.622932144368732, 7.632582925933942, 7.641675217610497, 7.650240475720275, 7.6583804028948395, 7.666218032249903, 7.673832002985172, 7.681226986185719, 7.688352941022116, 7.69515343954093, 7.701605533483257, 7.707738817740281, 7.7136294367830205, 7.719372563632317, 7.725046024934014, 7.730683152275132, 7.736267566184694, 7.741747594329667, 7.747062124946019, 7.752162654037922, 7.7570230661329775, 7.761633824324951, 7.765987667629209, 7.770069020079343, 7.773851303449104, 7.77730540440561, 7.780410186748059, 7.78316160101961, 7.7855743282642615, 7.787675070108691, 7.7894925076592765, 7.79104765485244, 7.792352398575077, 7.793414046002577, 7.794243474074296, 7.7948598057348155, 7.795290167660576, 7.795564816285721, 7.795711364203024, 7.795752150244882, 7.795705519068656, 7.7955896158495825, 7.7954254630728315, 7.795236566594539, 7.795045549419737, 7.794869823732738, 7.794719452908311]",50,0.6628458397621316,,0.22496614611327637,-0.47366542577549,7.794719452908311,,0.6725512085288099,,,,197.04084277153015,4681.34953379631,True,4484.3157205581665,0.007010459899902344,0.0,4484.3157205581665,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000371_be01ac9e1e90_noseed_L2_M2_amplified.npz,197.1956832408905,2026-08-22 23:40:21,x86_64,dacsgpu0002,,64,64,3.11.15,0.52,False,False,False,True,5,False,True,False,False,adam,True,1,20,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,37100001,371,"[(2, 6), (2, 9), (7, 8), (0, 5), (1, 4), (0, 2), (1, 7), (6, 9), (3, 4), (3, 7), (2, 5), (4, 8), (8, 9), (1, 3), (0, 1), (0, 4), (6, 8), (5, 6), (5, 9), (3, 6), (4, 7), (7, 9), (0, 3), (1, 2), (5, 8)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4b8caef7,10,20,2,50.0,False,True,"[1, 1, 1]",10.81612211316143,21.798882820709235,10.899441410354617,6.784975135292618,6.470519578219046,6.533431040635507,6.226893952590223,5.833212640444372,"[5.646836155981899, 5.677653101988668, 5.70716503654065, 5.73544254968367, 5.762381882777401, 5.7878910746933085, 5.81191238941403, 5.834480362672514, 5.855768094295332, 5.875964080170729, 5.895108342028995, 5.913165068403556, 5.9301747658548525, 5.946292931336642, 5.961695549565298, 5.976485935630133, 5.990705214714125, 6.0043953956092055, 6.017602538038112, 6.030318884553516, 6.042471145903216, 6.053976324041062, 6.0647752233459915, 6.074803333656938, 6.083964478029873, 6.0921739566893045, 6.099412809252175, 6.105717112257232, 6.1111289330386285, 6.115700827432918, 6.119531763831719, 6.122744122852732, 6.125432761272111, 6.127677670785296, 6.129579982353265, 6.131240649235401, 6.132727189945188, 6.1340961615064895, 6.135409166856754, 6.136701818872244, 6.1379798221993696, 6.139250213528225, 6.140516396403186, 6.141758032392852, 6.142952698991953, 6.14408721218786, 6.145139323220661, 6.146082856243865, 6.146905207374293, 6.14759641870295, 6.148145661725717]",50,0.5757048494314911,,-0.1574965817290117,-0.7705707578195788,6.148145661725717,,0.5684242094719365,,,,210.45797991752625,4915.288647413254,True,4704.836851596832,0.006166219711303711,0.0,4704.836851596832,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000313_4f5e39d8cee7_noseed_L2_M2_amplified.npz,210.58514714241028,2026-08-22 23:40:30,x86_64,dacsgpu0002,,64,64,3.11.15,0.76,False,False,False,True,4,False,True,False,True,adam,True,1,20,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,31300101,313,"[(3, 5), (2, 9), (4, 6), (7, 8), (0, 2), (5, 7), (3, 4), (2, 8), (0, 1), (1, 6), (0, 4), (1, 9), (6, 8), (5, 6), (5, 9), (3, 9), (2, 7), (4, 7), (0, 3), (1, 8)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
e1f9ae2c,10,45,2,50.0,False,True,"[1, 1, 1]",,29.999999997262744,14.999999998631372,12.401008716763624,9.736325465308427,12.401008716763624,12.401008716763613,12.401008716763615,"[12.372666226114944, 12.38075274892761, 12.388280811033907, 12.395022273709728, 12.400821752551359, 12.405699978924712, 12.409756804171492, 12.413164116456189, 12.416092969709709, 12.418627261605991, 12.420767568220507, 12.422482180637953, 12.42375786534778, 12.42463237308637, 12.425183904219114, 12.425519614719523, 12.425769990826597, 12.426079862393683, 12.426572132923425, 12.427313276946023, 12.428304457862254, 12.429478415777325, 12.4307324081591, 12.431966152481277, 12.433102006423656, 12.434098823047647, 12.434947943523357, 12.435667491233357, 12.436293796832597, 12.436875410554316, 12.437464439976155, 12.438105473027377, 12.438822585669863, 12.439613779864882, 12.440453532764367, 12.441304542085653, 12.442130478303502, 12.442903682851727, 12.443609631669206, 12.444248148323165, 12.444830155556021, 12.445372990902788, 12.445895791962478, 12.446411878370283, 12.44692521971676, 12.447430393674722, 12.44791782032787, 12.448378863274979, 12.448806697722603, 12.449198540911926, 12.449552958315586]",50,0.8267339144509075,,0.09708848310394558,0.09708848310392426,12.449552958315586,,0.829970197221039,,,,226.10667967796326,4697.76031088829,True,4471.659681797028,0.00603175163269043,0.0,4471.659681797028,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000005_26e838c55cf9_noseed_L2_M2_amplified.npz,226.28348088264465,2026-08-22 23:40:47,x86_64,dacsgpu0002,,64,64,3.11.15,0.76,False,False,False,True,9,True,False,False,False,adam,True,1,20,hamqaoa,0.01,amplified,2,2,scs,1e-06,100000,False,False,False,hog,False,False,False,False,True,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,11,1,False,_Exp7_AmplifiedWithHeuristic,1,,500101,5,"[(2, 3), (3, 8), (2, 6), (3, 5), (2, 9), (4, 6), (4, 9), (7, 8), (0, 5), (1, 4), (0, 2), (0, 8), (1, 7), (6, 9), (5, 7), (3, 4), (2, 8), (4, 5), (3, 7), (2, 5), (4, 8), (8, 9), (1, 3), (0, 1), (1, 6), (0, 4), (1, 9), (0, 7), (6, 8), (5, 6), (5, 9), (3, 6), (2, 4), (3, 9), (2, 7), (4, 7), (7, 9), (0, 3), (1, 2), (1, 8), (0, 6), (1, 5), (0, 9), (5, 8), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
