run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_qaoa_input_energy_normalized,adam_energy_history_normalized_json,adam_updates_completed,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,Instance_is_bipartite,Instance_is_regular,Regular_degree,Instance_is_claw_free,Instance_is_twin_free,Instance_is_planar,Instance_is_eulerian,optimiser,optimiser_use_heuristic,circuit_type,learning_rate_adam,warm_start_mode,lasserre_level,initial_solver_level_M,sdp_solver_mode,sdp_scs_eps,sdp_scs_max_iters,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,max_graph_vertices,qaoa_seed,initialise_standard_warm_start_with_zero_angles,result_name_suffix,benchmark_repeat_idx,sdp_seed,qaoa_seed_used,hog_graph_index,edges,weights
b53e5e58,9,9,1,50.0,False,True,"[1, 1, 1]",,8.59292512385828,8.59292512385828,,,4.32815417669773,4.328154176697728,4.328154176697726,"[3.014114251419213, 3.113811061759392, 3.2122257024379968, 3.3087574358950205, 3.4028090658853425, 3.49379587466498, 3.581155824264222, 3.6643610136201668, 3.7429295726418426, 3.816438395381007, 3.884535228298688, 3.9469502084009385, 4.0035051231725065, 4.054120451390778, 4.098818825764161, 4.1377238438147605, 4.171054384126011, 4.199114332101539, 4.222278261149116, 4.240974547875005, 4.255667538617707, 4.266840228854505, 4.274978888530485, 4.280560099769777, 4.284040634853077, 4.285849849613728, 4.286384060420693, 4.286002710906034, 4.285025719552883, 4.283731891346623, 4.282358337550227, 4.281100380750993, 4.2801126327096854, 4.279510420757474, 4.279372079169545, 4.279741515099665, 4.280631630333479, 4.282028174758386, 4.283893709265517, 4.286171994819313, 4.28879245058058, 4.291674589698299, 4.294732637733539, 4.297879654634432, 4.301031512231029, 4.304110400517757, 4.307047691503696, 4.309786353357653, 4.312282539223973, 4.314506492719632, 4.316442601253241]",50,0.7157523030755297,,-1.7763568394002505e-15,-3.552713678800501e-15,4.328154176697726,,0.7157523030755294,,,,29.24618697166443,29.341103315353394,True,0.09790706634521484,0.0029709339141845703,0.0,0.09790706634521484,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000018_aefd1e28f498_noseed_L1_M1_amplified.npz,29.527090072631836,2026-08-25 03:52:32,x86_64,dacsgpu0003,,64,64,3.11.15,0.3,True,False,False,True,2,True,True,True,True,adam,False,hamqaoa,0.01,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,False,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,18,"[(2, 7), (0, 1), (5, 7), (3, 5), (4, 6), (6, 8), (1, 8), (3, 4), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9a5018e4,9,9,2,50.0,False,True,"[1, 1, 1]",,8.59292512385828,8.59292512385828,,,4.32815417669773,4.328154176697728,4.328154176697726,"[2.2867893297560418, 2.4274770248288506, 2.5640855126392883, 2.6928519954289185, 2.813395261569536, 2.927187388216138, 3.0343872678350543, 3.135082510656137, 3.2298426907136237, 3.319718705067077, 3.405991454565227, 3.4897901336371824, 3.5717632570149465, 3.6519450762928685, 3.7298246681069194, 3.8045323737162615, 3.875058298387386, 3.9404545449458785, 4.000000166867492, 4.0533146290707025, 4.100407404776222, 4.141653631207273, 4.177697921073497, 4.209310333852469, 4.237233609391511, 4.262063137507186, 4.284187649725059, 4.303794952999513, 4.320930156944656, 4.335581419566246, 4.347767582635701, 4.357605076412518, 4.365339493907411, 4.371335673843635, 4.376032369744752, 4.379876788179506, 4.383260095980753, 4.386471688827042, 4.389681992761841, 4.392953726544374, 4.396274111187245, 4.3995965219671, 4.4028809505122135, 4.406122738293499, 4.409364571562726, 4.412690122138964, 4.416203082432054, 4.420000047613038, 4.424146223770141, 4.428662002589974, 4.4335230253788795]",50,0.7157523030755297,,0.10536884868115148,0.10536884868114971,4.4335230253788795,,0.7331772821860227,,,,34.990113496780396,35.07668423652649,True,0.09790706634521484,0.011317253112792969,0.0,0.09790706634521484,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000018_aefd1e28f498_noseed_L1_M1_amplified.npz,35.910791873931885,2026-08-25 03:52:39,x86_64,dacsgpu0003,,64,64,3.11.15,0.36,True,False,False,True,2,True,True,True,True,adam,False,hamqaoa,0.01,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,False,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,18,"[(2, 7), (0, 1), (5, 7), (3, 5), (4, 6), (6, 8), (1, 8), (3, 4), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
c37d8772,9,9,3,50.0,False,True,"[1, 1, 1]",,8.59292512385828,8.59292512385828,,,4.32815417669773,4.328154176697728,4.328154176697726,"[2.9426201417252833, 3.031278423880718, 3.128524432782404, 3.232649297832945, 3.3420132618457936, 3.455156836063197, 3.5708596216497575, 3.6878922598881276, 3.8047544578204318, 3.9197462441629063, 4.031143474352448, 4.137299047534072, 4.236655486912689, 4.327708370832244, 4.409009561617078, 4.479326313731264, 4.537957646800287, 4.5849652912257195, 4.621155438098401, 4.647985056371468, 4.66742911228458, 4.6816960128838625, 4.692846041459569, 4.702469486993616, 4.711534725713779, 4.720418237606824, 4.729070580560315, 4.737249684823163, 4.744755402154103, 4.751595895586614, 4.758028199502058, 4.764455936081951, 4.771250736473351, 4.7786161420229085, 4.786569014544964, 4.795013086940489, 4.80383032621528, 4.812932303961195, 4.822259047733632, 4.83174413650328, 4.841277311805145, 4.850689568754763, 4.859771427808105, 4.868320377175836, 4.876203812684009, 4.883415110656293, 4.890101944825405, 4.896552328896675, 4.903139413126757, 4.9102421380034125, 4.918169622889203]",50,0.7157523030755297,,0.5900154461914751,0.5900154461914733,4.918169622889203,,0.813323899932066,,,,47.31070852279663,47.39993858337402,True,0.09790706634521484,0.008660078048706055,0.0,0.09790706634521484,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000018_aefd1e28f498_noseed_L1_M1_amplified.npz,48.01474046707153,2026-08-25 03:52:52,x86_64,dacsgpu0003,,64,64,3.11.15,0.43,True,False,False,True,2,True,True,True,True,adam,False,hamqaoa,0.01,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,False,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,18,"[(2, 7), (0, 1), (5, 7), (3, 5), (4, 6), (6, 8), (1, 8), (3, 4), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
a4909400,9,9,4,50.0,False,True,"[1, 1, 1]",,8.59292512385828,8.59292512385828,,,4.32815417669773,4.328154176697728,4.328154176697726,"[1.9310627762975339, 2.0929551881191037, 2.270459966974013, 2.460398289935727, 2.656808066698586, 2.8531702426890577, 3.043047181320381, 3.2208499780599484, 3.382705243809411, 3.527054789430523, 3.6544954432518875, 3.7669362256396335, 3.8667741920371768, 3.9564361387874394, 4.03809576858502, 4.113445947441105, 4.183608603267308, 4.24922242972771, 4.310630482385287, 4.368075956623229, 4.421854777105844, 4.472393356417212, 4.520231599942304, 4.565935564729692, 4.609992721647618, 4.652738209625255, 4.694326721827478, 4.73474573680108, 4.77385561381973, 4.811447891999222, 4.847310901288288, 4.881292295537427, 4.9133453934869245, 4.9435438980575945, 4.972060112080659, 4.999110558318294, 5.024886774533665, 5.049497103972052, 5.072937613925434, 5.095100598279119, 5.115817674736937, 5.134920345881564, 5.1522975492732765, 5.167930840836434, 5.181896809009928, 5.194341510954664, 5.205441841056005, 5.215368946407949, 5.224264247548672, 5.2322317570554935, 5.2393458146881375]",50,0.7157523030755297,,0.9111916379904095,0.9111916379904077,5.2393458146881375,,0.8664372109621528,,,,59.11863303184509,59.206241607666016,True,0.09790706634521484,0.010279655456542969,0.0,0.09790706634521484,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000018_aefd1e28f498_noseed_L1_M1_amplified.npz,59.62663459777832,2026-08-25 03:53:04,x86_64,dacsgpu0003,,64,64,3.11.15,0.49,True,False,False,True,2,True,True,True,True,adam,False,hamqaoa,0.01,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,False,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,18,"[(2, 7), (0, 1), (5, 7), (3, 5), (4, 6), (6, 8), (1, 8), (3, 4), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5986aeff,9,9,5,50.0,False,True,"[1, 1, 1]",,8.59292512385828,8.59292512385828,,,4.32815417669773,4.328154176697728,4.328154176697726,"[1.9580584897560753, 2.113399878874597, 2.2790972402690337, 2.4545221858172943, 2.635980559199723, 2.816270373184034, 2.9873672313466475, 3.141603908564575, 3.2729858132469336, 3.3784618316062405, 3.4586095149300315, 3.518000582605797, 3.5645668464856697, 3.6067489634679712, 3.6503751360554175, 3.6976629163397763, 3.747860271051911, 3.798406586036351, 3.846148567082232, 3.8884159892447676, 3.9237358131999587, 3.9520017618346612, 3.974158048204451, 3.9916902403449903, 4.006181724280407, 4.019004455516608, 4.031113106745653, 4.0429405192860886, 4.054417765427652, 4.0651256354213245, 4.074535993244075, 4.0822651662330935, 4.088253651856172, 4.092809193879925, 4.096504720146809, 4.099988235124347, 4.103794249533501, 4.1082285457965195, 4.113345788883301, 4.118995472747882, 4.1248994507462795, 4.130732171714723, 4.136188343879766, 4.14103564976898, 4.145150215214722, 4.148534963703548, 4.151315332346295, 4.153708115818661, 4.155963581054857, 4.158289458956368, 4.160781116952549]",50,0.7157523030755297,,-1.7763568394002505e-15,-3.552713678800501e-15,4.328154176697726,,0.7157523030755294,,,,66.34809017181396,66.44092559814453,True,0.09790706634521484,0.0050508975982666016,0.0,0.09790706634521484,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000018_aefd1e28f498_noseed_L1_M1_amplified.npz,66.48757910728455,2026-08-25 03:53:12,x86_64,dacsgpu0003,,64,64,3.11.15,0.55,True,False,False,True,2,True,True,True,True,adam,False,hamqaoa,0.01,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,False,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,18,"[(2, 7), (0, 1), (5, 7), (3, 5), (4, 6), (6, 8), (1, 8), (3, 4), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9ce5ddbb,10,25,1,50.0,False,True,"[1, 1, 1]",12.113243855959755,16.46449591195146,16.46449591195146,,,9.418382450046263,9.418382450046266,9.418382450046266,"[8.952129267785331, 8.988922969892888, 9.019877986363454, 9.0460872140656, 9.070247782916258, 9.09461987186187, 9.119436685728054, 9.143903399116914, 9.16715178862765, 9.188617545855308, 9.208196337494876, 9.226230419097892, 9.243254908089739, 9.25964515013197, 9.275464353680684, 9.290547703647716, 9.304656786271014, 9.31760205064118, 9.329309199252002, 9.339836229710027, 9.349337835935415, 9.357992665270302, 9.365928519597364, 9.373187868760057, 9.379744866163776, 9.385557420289688, 9.390619199198118, 9.394985404807716, 9.398762204029802, 9.402068739795432, 9.404996904885973, 9.40759035162895, 9.409851027842455, 9.411764570706033, 9.413328549075114, 9.414569756767536, 9.415543929765347, 9.41631775206023, 9.416945658615774, 9.417455446851745, 9.417850630153815, 9.418125811499001, 9.418283664763312, 9.418343674125397, 9.418338214918752, 9.418299587157636, 9.41824810738892, 9.41818809478554, 9.418114000070778, 9.418021021589896, 9.417912944960694]",50,0.7775276847425466,,0.0,3.552713678800501e-15,9.418382450046266,,0.7775276847425466,,,,140.93096327781677,141.21061873435974,True,0.2812333106994629,0.0015590190887451172,0.0,0.2812333106994629,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000341_d271de4d6d85_noseed_L1_M1_amplified.npz,141.2164032459259,2026-08-25 03:54:23,x86_64,dacsgpu0003,,64,64,3.11.15,0.52,False,False,False,True,5,False,True,False,False,adam,False,hamqaoa,0.01,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,False,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,341,"[(4, 6), (4, 9), (7, 8), (0, 5), (0, 2), (1, 7), (6, 9), (5, 7), (2, 8), (3, 7), (4, 8), (8, 9), (1, 3), (0, 1), (1, 6), (0, 4), (5, 6), (5, 9), (3, 6), (2, 4), (3, 9), (2, 7), (0, 3), (1, 2), (5, 8)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
99d314a0,10,20,1,50.0,False,True,"[1, 1, 1]",9.302775637731974,11.749999999995183,11.749999999995183,,,6.870929281153031,6.870929281153034,6.870929281153034,"[5.991157475681885, 6.069192200715138, 6.144133069276203, 6.21542197380078, 6.282519996532768, 6.344923427630996, 6.4021826193391504, 6.45392382769745, 6.499871615712843, 6.539872764336889, 6.573917201026675, 6.602154880604618, 6.624904484507139, 6.6426486284575805, 6.656013929391474, 6.665734102206917, 6.672600014175359, 6.677402510988317, 6.680878046969519, 6.6836648680452075, 6.686276807511398, 6.6890913192338, 6.692353683289821, 6.696190045917621, 6.700626154096911, 6.7056078276648785, 6.711022538031136, 6.71671927812346, 6.722527287367511, 6.72827248086088, 6.7337927515014835, 6.738949337270241, 6.74363667797193, 6.7477885903521555, 6.751380925712937, 6.754430452913513, 6.7569907864247885, 6.759144932942389, 6.760995851425922, 6.762655872573445, 6.764236410938373, 6.765838455602561, 6.767545346012949, 6.769418169737353, 6.77149409378699, 6.773787070767054, 6.776291093509564, 6.7789848327024185, 6.781837130939393, 6.7848126949345575, 6.78787715986592]",50,0.7385891640001083,,0.0,2.6645352591003757e-15,6.870929281153034,,0.7385891640001083,,,,145.39150142669678,145.53197503089905,True,0.14199352264404297,0.0015034675598144531,0.0,0.14199352264404297,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000165_1122b5b0ff16_noseed_L1_M1_amplified.npz,145.51990938186646,2026-08-25 03:54:26,x86_64,dacsgpu0003,,64,64,3.11.15,0.52,False,False,False,True,4,True,False,False,True,adam,False,hamqaoa,0.01,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,False,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,165,"[(2, 3), (2, 9), (7, 8), (1, 4), (0, 2), (6, 9), (5, 7), (3, 4), (1, 3), (0, 1), (0, 4), (6, 8), (5, 6), (5, 9), (2, 4), (7, 9), (0, 3), (1, 8), (5, 8), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
64c34972,10,15,1,50.0,False,True,"[1, 1, 1]",8.120143632598847,11.173133680901508,11.173133680901508,,,6.149072609955876,6.149072609955882,6.1490726099558835,"[4.7229949623242575, 4.8264407344204345, 4.928799294966643, 5.029489048599885, 5.127920747234592, 5.2235045649575795, 5.315658600934715, 5.403819322798932, 5.487453621792809, 5.566072299405372, 5.639243485520806, 5.706607006825004, 5.767887380214372, 5.8229055947225286, 5.871588079010907, 5.913972971943972, 5.950211420728243, 5.9805652024627145, 6.0053988062663315, 6.025166967506473, 6.04039773561073, 6.051671925671989, 6.05960033055221, 6.064799892881709, 6.067870887628884, 6.06937638923156, 6.069825562482964, 6.06966205393232, 6.069257230347583, 6.068908127197185, 6.068839683522368, 6.06920992245848, 6.070117348714226, 6.071608939621792, 6.073689222059045, 6.076328292974842, 6.07947011869418, 6.083039239613798, 6.0869478920446305, 6.091101275013059, 6.095402617830458, 6.099757457879289, 6.104077272455101, 6.1082822986686915, 6.1123038795332665, 6.116085913958398, 6.119585838021176, 6.122774969846318, 6.12563802633712, 6.128172352584003, 6.130386518351788]",50,0.7572615569594149,,1.7763568394002505e-15,7.105427357601002e-15,6.1490726099558835,,0.7572615569594151,,,,145.4120659828186,145.55462646484375,True,0.14516901969909668,0.002588987350463867,0.0,0.14516901969909668,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000064_0581162feeb1_noseed_L1_M1_amplified.npz,145.5847589969635,2026-08-25 03:54:32,x86_64,dacsgpu0003,,64,64,3.11.15,0.52,False,True,False,True,3,False,True,False,False,adam,False,hamqaoa,0.01,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,False,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,64,"[(3, 9), (2, 7), (0, 1), (3, 8), (2, 6), (7, 9), (0, 3), (6, 8), (1, 5), (4, 5), (5, 9), (4, 8), (1, 4), (0, 2), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
58d72aa0,10,20,2,50.0,False,True,"[1, 1, 1]",9.302775637731974,11.749999999995183,11.749999999995183,,,6.870929281153031,6.870929281153034,6.870929281153034,"[6.050991266183658, 6.232228959455277, 6.402037220650637, 6.556921323816002, 6.693745712185044, 6.810091792004252, 6.904730282858766, 6.978127965275334, 7.032742335018728, 7.072720057364917, 7.102859529177243, 7.12733867914142, 7.148963190170677, 7.169165928715948, 7.188445743390821, 7.206868820307964, 7.2244451714001485, 7.2413296397900835, 7.257864083993002, 7.274505540751278, 7.291703098931396, 7.3097824083560825, 7.3288788631570725, 7.348925366101218, 7.36968330905007, 7.390795647340633, 7.411853440382527, 7.43246786911573, 7.452344346729053, 7.471350238193538, 7.489560483687531, 7.507254260676212, 7.524841931055366, 7.542733180193089, 7.561188690965354, 7.580226031494785, 7.5996075550149875, 7.618911093714384, 7.63764095665319, 7.655349223925158, 7.671733692496241, 7.686694081140075, 7.700333895227892, 7.7129089423957184, 7.72474193356793, 7.736132765241043, 7.747297224474048, 7.758347887743299, 7.769314039620228, 7.780181804147606, 7.790933702325076]",50,0.7385891640001083,,0.9200044211720426,0.9200044211720453,7.790933702325076,,0.8374848545981394,,,,155.51597261428833,155.65683841705322,True,0.14199352264404297,0.0011098384857177734,0.0,0.14199352264404297,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000165_1122b5b0ff16_noseed_L1_M1_amplified.npz,155.64052963256836,2026-08-25 03:54:37,x86_64,dacsgpu0003,,64,64,3.11.15,0.76,False,False,False,True,4,True,False,False,True,adam,False,hamqaoa,0.01,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,False,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,165,"[(2, 3), (2, 9), (7, 8), (1, 4), (0, 2), (6, 9), (5, 7), (3, 4), (1, 3), (0, 1), (0, 4), (6, 8), (5, 6), (5, 9), (2, 4), (7, 9), (0, 3), (1, 8), (5, 8), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
df899ded,10,25,2,50.0,False,True,"[1, 1, 1]",12.113243855959755,16.46449591195146,16.46449591195146,,,9.418382450046263,9.418382450046266,9.418382450046266,"[7.635287025740073, 7.7933925127376895, 7.946737891080456, 8.091421504801998, 8.22402202973371, 8.341894182756672, 8.443445819983205, 8.528317099006516, 8.597399334863827, 8.652685691553655, 8.696941458549468, 8.73319673352714, 8.764199858717213, 8.792038565664441, 8.818019677268024, 8.84275924893949, 8.866360683631196, 8.888595489785741, 8.909045220924964, 8.927212309396232, 8.942610547631325, 8.9548509386334, 8.963717147801352, 8.969223824012387, 8.971643668879635, 8.971492519149702, 8.969469103397795, 8.96636041625122, 8.962933143551773, 8.959836023317198, 8.957532243551539, 8.956271425113195, 8.956098759036372, 8.956890877128457, 8.958407441249125, 8.960348714613351, 8.96241034212748, 8.964329841620872, 8.965919958766385, 8.967086901530049, 8.967831929540951, 8.968237004626435, 8.968438256805396, 8.968592904836342, 8.968846237233755, 8.969305074861994, 8.97002183840288, 8.970990989310646, 8.972156131093602, 8.973426261328038, 8.974694783136759]",50,0.7775276847425466,,0.0,3.552713678800501e-15,9.418382450046266,,0.7775276847425466,,,,158.65939474105835,158.9386122226715,True,0.2812333106994629,0.001996278762817383,0.0,0.2812333106994629,Results/warm_start_cache/list_388_graphs_adjacency_list_hog_v04-12_regular__filehash_5b7f8d46/hog_idx000341_d271de4d6d85_noseed_L1_M1_amplified.npz,159.0380358695984,2026-08-25 03:54:40,x86_64,dacsgpu0003,,64,64,3.11.15,0.76,False,False,False,True,5,False,True,False,False,adam,False,hamqaoa,0.01,standard,1,1,scs,1e-06,100000,False,False,False,hog,False,False,False,False,False,False,True,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,True,Results/warm_start_cache,512,60,0,16,1,1,0,0,5,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,341,"[(4, 6), (4, 9), (7, 8), (0, 5), (0, 2), (1, 7), (6, 9), (5, 7), (2, 8), (3, 7), (4, 8), (8, 9), (1, 3), (0, 1), (1, 6), (0, 4), (5, 6), (5, 9), (3, 6), (2, 4), (3, 9), (2, 7), (0, 3), (1, 2), (5, 8)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
