run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_qaoa_input_energy_normalized,adam_energy_history_normalized_json,adam_updates_completed,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,Instance_is_bipartite,Instance_is_regular,Regular_degree,Instance_is_claw_free,Instance_is_twin_free,Instance_is_planar,Instance_is_eulerian,optimiser,optimiser_use_heuristic,circuit_type,learning_rate_adam,compare_with_010101,init_QAOAparams_close_to_zero,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_max_retries,queue_poll_interval_seconds,max_graph_vertices,qaoa_seed,initialise_standard_warm_start_with_zero_angles,result_name_suffix,benchmark_repeat_idx,sdp_seed,qaoa_seed_used,hog_graph_index,edges,weights
0fe4f13d,3,3,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[0.40918683189644245, 0.4120009847927889, 0.41482287083399877, 0.41765249305089736, 0.42048985039868214, 0.42333493690281065, 0.4261877420356962, 0.4290482496579635, 0.4319164372591951, 0.43479227705733436, 0.43767573526660564, 0.4405667716262697, 0.44346533902458735, 0.44637138353645284, 0.4492848444693893, 0.45220565515708416, 0.4551337417082053, 0.4580690233317617, 0.46101141257614897, 0.4639608160495616, 0.46691713388708095, 0.4698802596518574, 0.4728500818925971, 0.47582648318628296, 0.4788093406859969, 0.48179852701223247, 0.4847939098963577, 0.4877953532950548, 0.4908027178561691, 0.49381585972001496, 0.49683463363882124, 0.4998588922563775, 0.5028884858236974, 0.5059232635933025, 0.5089630748080965, 0.5120077681510583, 0.515057192848765, 0.5181111998104118, 0.5211696413898774, 0.5242323716686194, 0.5272992475785553, 0.530370130735124, 0.5334448850722578, 0.536523379099396, 0.5396054866590972, 0.5426910867464196, 0.5457800637975871, 0.5488723075984474, 0.5519677139343393, 0.5550661846851019, 0.5581676276624375]",50,,,,,0.5581676276624375,,0.37211175177495837,,,,1.042283535003662,1.042283535003662,False,,0.0,0.0,,,1.0526258945465088,2026-08-25 08:20:54,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,False,True,2,True,False,True,True,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,1,"[(1, 2), (0, 1), (0, 2)]","[1.0, 1.0, 1.0]"
9dc8498d,5,10,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[1.2091473659661343, 1.2168866261642994, 1.2246304732401403, 1.2323783844301035, 1.240129831765367, 1.2478842834329158, 1.2556412098025858, 1.2634000880721827, 1.2711604111761978, 1.278921691515031, 1.2866834722245337, 1.2944453322618372, 1.3022069055373162, 1.309967887513844, 1.3177280501628788, 1.3254872612152835, 1.3332454928760373, 1.3410028315298645, 1.3487594919112753, 1.3565158092223626, 1.3642722412818786, 1.3720293481663381, 1.3797877680885844, 1.3875481842152704, 1.3953112855461194, 1.4030777231579663, 1.410848076951543, 1.4186228214271146, 1.4264023132770391, 1.4341867755762876, 1.4419763051802827, 1.4497708779038874, 1.457570369231296, 1.4653745667986513, 1.473183183433406, 1.4809958846465354, 1.488812289248131, 1.4966319924447444, 1.504454570342995, 1.5122795919469898, 1.5201066231341922, 1.5279352273408568, 1.5357649853664144, 1.5435954824193792, 1.5514263179957908, 1.5592571092699752, 1.5670874834974013, 1.5749170895211646, 1.5827455907496737, 1.5905726703945249, 1.5983980240986608]",50,,,,,1.5983980240986608,,0.3995995060246652,,,,1.6353716850280762,1.6353716850280762,False,,0.0,0.0,,,1.6431121826171875,2026-08-25 08:20:55,x86_64,dacsgpu0002,,64,64,3.11.15,0.21,False,False,False,True,4,True,False,False,True,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,3,"[(1, 3), (0, 1), (2, 3), (0, 4), (0, 3), (1, 2), (3, 4), (1, 4), (0, 2), (2, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
ffc53a79,3,3,2,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[0.9668380919431006, 0.9704186398986218, 0.9739946048426528, 0.9775652799603369, 0.9811300215899804, 0.9846882909368323, 0.9882396917700043, 0.991784013193359, 0.9953212262349216, 0.9988514178873574, 1.0023746531229167, 1.0058908429741242, 1.0093996803475598, 1.0129006469841861, 1.016393081192796, 1.019876231295872, 1.023349317048578, 1.0268115648636371, 1.0302622308965166, 1.0337006114175114, 1.0371260542980616, 1.040537960797125, 1.0439357814114112, 1.047319011541618, 1.0506871860749913, 1.0540398725431055, 1.0573766518497356, 1.0606971081384426, 1.0640008225302302, 1.0672873647572239, 1.0705562981807746, 1.073807180745464, 1.0770395760766829, 1.0802530639108585, 1.0834472489070206, 1.0866217647236638, 1.0897762789767373, 1.0929104994875927, 1.0960241632248233, 1.0991170322305004, 1.1021888911884266, 1.1052395357857594, 1.1082687694353488, 1.1112764060876612, 1.114262264581899, 1.1172261777730113, 1.120167989893106, 1.1230875635887085, 1.1259847799215097, 1.1288595470464708, 1.1317117937566246]",50,,,,,1.1317117937566246,,0.754474529171083,,,,2.0387144088745117,2.0387144088745117,False,,0.0,0.0,,,2.048333168029785,2026-08-25 08:20:55,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,False,True,2,True,False,True,True,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,1,"[(1, 2), (0, 1), (0, 2)]","[1.0, 1.0, 1.0]"
c549a47d,4,6,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[0.8121170126040181, 0.8175031525637437, 0.8228981465060605, 0.8283018000331569, 0.8337139100053842, 0.8391342628556401, 0.8445626347029509, 0.8499987920114618, 0.8554424918190787, 0.8608934822073706, 0.866351502647815, 0.8718162846225443, 0.8772875523525485, 0.8827650251321072, 0.8882484159259242, 0.8937374355300788, 0.8992317930069927, 0.9047311970452253, 0.9102353570754682, 0.9157439869344092, 0.9212568066689761, 0.9267735446287971, 0.932293939813412, 0.9378177442752907, 0.9433447257064194, 0.9488746709801154, 0.9544073855177085, 0.9599427004206159, 0.9654804704453187, 0.9710205789852338, 0.976562935556221, 0.9821074821309236, 0.9876541886402852, 0.9932030548805537, 0.9987541074439872, 1.0043073984869446, 1.009863003622728, 1.015421014818193, 1.0209815359715877, 1.0265446790818167, 1.0321105564154882, 1.0376792766923433, 1.0432509346052377, 1.048825608387784, 1.054403352445663, 1.059984193536452, 1.0655681295343966, 1.0711551231545458, 1.076745103965118, 1.0823379671682527, 1.087933573726375]",50,,,,,1.087933573726375,,0.3626445245754583,,,,1.143193244934082,1.143193244934082,False,,0.0,0.0,,,1.1546471118927002,2026-08-25 08:20:56,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,True,False,True,3,True,False,True,False,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,2,"[(1, 3), (0, 1), (2, 3), (0, 3), (1, 2), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
ff3118e3,7,21,1,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[1.9868367402430993, 1.9987582467368648, 2.0106837369077484, 2.022612982161551, 2.0345457484326706, 2.0464818170125016, 2.058420963651076, 2.070362962536337, 2.0823076127733224, 2.0942546881344497, 2.1062039718919476, 2.118155251573486, 2.130108298141932, 2.1420629094093675, 2.154018849465643, 2.165975905608937, 2.1779338739953205, 2.1898925309678123, 2.2018516564310673, 2.213811038112458, 2.225770457851992, 2.2377296923225143, 2.2496885308142085, 2.2616467429879314, 2.2736041295868907, 2.285560474827784, 2.297515590468478, 2.30946925527307, 2.3214212646667907, 2.333371424957688, 2.3453195283917974, 2.3572653786062725, 2.369208788094065, 2.3811495586037728, 2.3930874908121864, 2.4050223932814023, 2.416954077371968, 2.428882336405663, 2.4408069805988735, 2.4527278018169967, 2.4646446045837065, 2.4765571976570357, 2.488465380703238, 2.5003689625604317, 2.5122677433459377, 2.5241615333514344, 2.536050153998547, 2.5479334171661385, 2.5598111398645793, 2.571683130983555, 2.5835491908635704]",50,,,,,2.5835491908635704,,0.34447322544847603,,,,2.084946632385254,2.084946632385254,False,,0.0,0.0,,,2.0940463542938232,2026-08-25 08:20:56,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,False,True,6,True,False,False,True,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,5,"[(2, 3), (2, 6), (3, 5), (4, 6), (0, 5), (1, 4), (0, 2), (3, 4), (4, 5), (2, 5), (1, 3), (0, 1), (1, 6), (0, 4), (5, 6), (3, 6), (2, 4), (0, 3), (1, 2), (0, 6), (1, 5)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0f1b3429,3,3,3,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[0.14060902479168047, 0.1428779780245456, 0.1451726166254819, 0.14749336336995542, 0.1498406493180829, 0.15221491236271434, 0.15461659540229, 0.15704614613980356, 0.15950401398347452, 0.16199065006174734, 0.1645065057662456, 0.1670520303700871, 0.16962767144485044, 0.17223387162460843, 0.17487106897371882, 0.17753969641770254, 0.18024017900610895, 0.18297293396296388, 0.18573836956965808, 0.1885368848435723, 0.19136886816587206, 0.1942346973916123, 0.19713473915710952, 0.2000693498181838, 0.20303887307148138, 0.2060436404486019, 0.20908397208230994, 0.21216017602579526, 0.21527254858796846, 0.21842137458990737, 0.22160692896393014, 0.22482947529119998, 0.22808926821990821, 0.23138655141456627, 0.23472156195552496, 0.23809452683392718, 0.2415056653636911, 0.24495519136466964, 0.24844331023572963, 0.25197021996263824, 0.2555361117447018, 0.25914116956910005, 0.26278556830168287, 0.2664694727440161, 0.2701930369470841, 0.273956400241112, 0.27775968627172265, 0.2816030036927259, 0.28548643815235414, 0.28941005288025073, 0.2933738885291004]",50,,,,,0.2933738885291004,,0.1955825923527336,,,,3.018707513809204,3.018707513809204,False,,0.0,0.0,,,3.0278048515319824,2026-08-25 08:20:56,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,False,False,False,True,2,True,False,True,True,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,1,"[(1, 2), (0, 1), (0, 2)]","[1.0, 1.0, 1.0]"
102b3066,5,10,2,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[2.6673412282647733, 2.6751847616499314, 2.6829362635207494, 2.690593391791511, 2.6981539831895005, 2.7056160665755593, 2.7129779073945643, 2.72023804723648, 2.7273953339340826, 2.7344489697209213, 2.741398548055306, 2.7482440934755075, 2.754986095994306, 2.7616255681630775, 2.768164049660003, 2.774603644244256, 2.7809470161394283, 2.787197401952754, 2.7933585815294206, 2.7994348498933355, 2.8054309517062563, 2.8113520093342363, 2.817203438512963, 2.8229908201248204, 2.8287197880486907, 2.8343959121221154, 2.8400245669442246, 2.8456108168572443, 2.8511592868363187, 2.856674095216686, 2.862158777121981, 2.867616261754679, 2.8730488504978213, 2.878458235096902, 2.8838455404106154, 2.889211384870337, 2.8945559254112676, 2.899878954312301, 2.9051799447439506, 2.9104581591879133, 2.9157127260460807, 2.9209426691720632, 2.9261470041864053, 2.931324789276647, 2.936475127743801, 2.9415972390316676, 2.9466904479872573, 2.9517542057925, 2.956788113617991, 2.961791902177006, 2.9667654321230628]",50,,,,,2.9667654321230628,,0.7416913580307657,,,,3.0219738483428955,3.0219738483428955,False,,0.0,0.0,,,3.0294971466064453,2026-08-25 08:20:56,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,False,True,4,True,False,False,True,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,3,"[(1, 3), (0, 1), (2, 3), (0, 4), (0, 3), (1, 2), (3, 4), (1, 4), (0, 2), (2, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
44838009,3,3,4,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[0.2765089520790812, 0.28066903788649195, 0.28489804372994776, 0.2891957007412332, 0.2935618087923123, 0.29799620705116653, 0.3024987479850933, 0.30706927785714144, 0.31170761855788104, 0.316413553355495, 0.32118681174552866, 0.32602706193232195, 0.3309339022301043, 0.3359068527494431, 0.34094535415829774, 0.3460487628332363, 0.35121634991435247, 0.35644730371324634, 0.36174073465671414, 0.36709567827677814, 0.3725111083818497, 0.3779859537441836, 0.3835191146448986, 0.3891094942197496, 0.39475602775561836, 0.40045772734167057, 0.40621373024012275, 0.41202335810030855, 0.4178861737334457, 0.4238020268551228, 0.42977108010730247, 0.4357937872497138, 0.4418708329509561, 0.44800302335597025, 0.4541911627079577, 0.4604359502774078, 0.4667379064737567, 0.4730973574389854, 0.4795144479844987, 0.485989178393892, 0.49252144175649354, 0.49911107138479194, 0.5057578709856283, 0.5124616456712987, 0.5192222310179444, 0.5260395032471572, 0.5329134025382865, 0.5398439457815639, 0.5468312372103591, 0.5538754809107319, 0.5609769894565381]",50,,,,,0.5609769894565381,,0.37398465963769206,,,,4.377165079116821,4.377165079116821,False,,0.0,0.0,,,4.38828444480896,2026-08-25 08:20:58,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,False,True,2,True,False,True,True,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,1,"[(1, 2), (0, 1), (0, 2)]","[1.0, 1.0, 1.0]"
bbe4bc8d,5,10,3,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[0.7620949571304202, 0.7716492892608907, 0.7812116203181569, 0.7907851991710759, 0.8003749630177014, 0.8099821427742225, 0.8196073112381819, 0.829251652337928, 0.8389168096538462, 0.8486041896928636, 0.8583145371892994, 0.8680480093199359, 0.8778044243332755, 0.8875834456209634, 0.8973846887349267, 0.907207770864651, 0.9170523292854422, 0.9269180442179286, 0.936804640911528, 0.9467118956356447, 0.9566396468229227, 0.966587787414016, 0.9765562748855713, 0.9865451174479963, 0.9965543945760369, 1.0065842354289518, 1.016634829375323, 1.0267064184180026, 1.0367992887174347, 1.0469137723123876, 1.0570502421576395, 1.0672090983800997, 1.077390764838451, 1.0875956844148338, 1.0978243055718941, 1.1080770777166322, 1.1183544394062634, 1.128656819486796, 1.1389846182393333, 1.149338201951369, 1.1597178961058614, 1.1701239757511983, 1.1805566538005805, 1.1910160919660648, 1.2015023767034294, 1.212015522592656, 1.2225554657256588, 1.2331220539642949, 1.2437150617411077, 1.2543341754321597, 1.264978997160127]",50,,,,,1.264978997160127,,0.31624474929003177,,,,5.077736139297485,5.077736139297485,False,,0.0,0.0,,,5.0853917598724365,2026-08-25 08:20:59,x86_64,dacsgpu0002,,64,64,3.11.15,0.23,False,False,False,True,4,True,False,False,True,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,3,"[(1, 3), (0, 1), (2, 3), (0, 4), (0, 3), (1, 2), (3, 4), (1, 4), (0, 2), (2, 4)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
8ad30e9f,7,21,2,50.0,False,False,"[1, 1, 1]",,,,,,,,,"[2.641849094399158, 2.652080432842858, 2.6622888861345766, 2.6724722098619127, 2.6826282170354814, 2.6927547820264874, 2.702849850799524, 2.7129114446249734, 2.7229376541340002, 2.732926659750205, 2.742876723925105, 2.752786205300706, 2.7626535611098744, 2.772477369256217, 2.78225631111616, 2.7919891874658864, 2.801674921625692, 2.811312570055092, 2.820901321279325, 2.8304404991889913, 2.8399295656281605, 2.8493681132364848, 2.8587558744065724, 2.868092732388137, 2.8773786957990706, 2.886613894264425, 2.8957985869091796, 2.9049331541985803, 2.9140180511477727, 2.923053876448008, 2.9320412885843696, 2.9409810163216474, 2.9498738743652195, 2.958720734268058, 2.967522517257813, 2.9762801861126484, 2.984994725309987, 2.993667130660541, 3.002298439701589, 3.0108896865663777, 3.0194419159931933, 3.0279561646653863, 3.0364334533163397, 3.0448748135906856, 3.0532812465689934, 3.0616537224970286, 3.069993246547229, 3.0783007704175547, 3.086577246249986, 3.094823627194055, 3.1030408444563857]",50,,,,,3.1030408444563857,,0.41373877926085145,,,,4.581284761428833,4.581284761428833,False,,0.0,0.0,,,4.58889627456665,2026-08-25 08:20:59,x86_64,dacsgpu0002,,64,64,3.11.15,0.22,False,False,False,True,6,True,False,False,True,adam,False,hamqaoa,0.001,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/complete_graphs_2to12vertices_11instances_AdjacencyList.txt,False,0,16,1,1,0,0,0,5,10,1,False,_Exp5_subexp4_standardWithHeuristic_rerun2508,1,,1,5,"[(2, 3), (2, 6), (3, 5), (4, 6), (0, 5), (1, 4), (0, 2), (3, 4), (4, 5), (2, 5), (1, 3), (0, 1), (1, 6), (0, 4), (5, 6), (3, 6), (2, 4), (0, 3), (1, 2), (0, 6), (1, 5)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
