run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,circuit_type,n_start,n_end,graph_generation_type,time_limit,failed_instance_termination_thrsh,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,num_repeats,relative_graph_adjList_path,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
2c88d836,8,9,0,0.0,False,False,None,5.847763554161091,,,,,,,,,,,5.847763554161091,,1.0,,,,0.017856597900390625,0.017856597900390625,False,,0.0,0.0,,,0.03367447853088379,2026-06-26 13:55:41,x86_64,dacsgpu0003,,64,64,3.11.15,0.2,True,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,1,"[(2, 7), (1, 3), (3, 5), (0, 3), (4, 5), (3, 7), (1, 4), (0, 2), (3, 6)]",
a972164f,8,11,0,0.0,False,False,None,6.140539021231574,,,,,,,,,,,6.140539021231574,,1.0,,,,0.020551681518554688,0.020551681518554688,False,,0.0,0.0,,,0.03643035888671875,2026-06-26 13:55:41,x86_64,dacsgpu0003,,64,64,3.11.15,0.2,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,0,"[(1, 3), (1, 6), (0, 7), (3, 5), (0, 3), (5, 6), (1, 5), (1, 4), (0, 2), (3, 6), (6, 7)]",
c734a099,8,16,0,0.0,False,False,None,9.02935455119713,,,,,,,,,,,9.02935455119713,,1.0,,,,0.025949478149414062,0.025949478149414062,False,,0.0,0.0,,,0.037375450134277344,2026-06-26 13:55:41,x86_64,dacsgpu0003,,64,64,3.11.15,0.2,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,4,"[(1, 3), (0, 1), (2, 3), (1, 6), (4, 7), (2, 6), (5, 7), (0, 7), (3, 5), (4, 6), (5, 6), (3, 7), (0, 5), (1, 4), (0, 2), (2, 4)]",
91f55787,8,16,0,0.0,False,False,None,8.130076681310806,,,,,,,,,,,8.130076681310806,,1.0,,,,0.020785093307495117,0.020785093307495117,False,,0.0,0.0,,,0.03729844093322754,2026-06-26 13:55:41,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,2,"[(2, 7), (2, 6), (4, 6), (1, 2), (0, 6), (3, 4), (1, 5), (4, 5), (3, 7), (2, 5), (6, 7), (0, 5), (1, 4), (3, 6), (2, 4), (1, 7)]",
c62825b1,8,20,0,0.0,False,False,None,9.309016994374971,,,,,,,,,,,9.309016994374971,,1.0,,,,0.021960973739624023,0.021960973739624023,False,,0.0,0.0,,,0.03825736045837402,2026-06-26 13:55:41,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,5,"[(2, 6), (3, 5), (4, 6), (0, 5), (0, 2), (1, 7), (3, 4), (4, 5), (3, 7), (2, 5), (1, 3), (0, 1), (1, 6), (0, 7), (3, 6), (2, 4), (2, 7), (4, 7), (0, 6), (1, 5)]",
5a82bc55,8,12,0,0.0,False,False,None,7.82008937437481,,,,,,,,,,,7.82008937437481,,1.0,,,,0.021006107330322266,0.021006107330322266,False,,0.0,0.0,,,0.03778433799743652,2026-06-26 13:55:41,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,True,True,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,3,"[(1, 3), (2, 3), (1, 6), (0, 4), (2, 6), (5, 7), (0, 7), (3, 5), (0, 6), (4, 5), (2, 4), (1, 7)]",
50d310d7,8,12,0,0.0,False,False,None,6.523225193193839,,,,,,,,,,,6.523225193193839,,1.0,,,,0.024872303009033203,0.024872303009033203,False,,0.0,0.0,,,0.03926372528076172,2026-06-26 13:55:41,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,6,"[(2, 7), (0, 1), (2, 3), (2, 6), (0, 7), (3, 5), (0, 3), (5, 6), (3, 4), (4, 5), (0, 2), (2, 4)]",
e444d1b5,8,15,0,0.0,False,False,None,7.5806979535883805,,,,,,,,,,,7.5806979535883805,,1.0,,,,0.0180509090423584,0.0180509090423584,False,,0.0,0.0,,,0.03309464454650879,2026-06-26 13:55:41,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,7,"[(0, 1), (0, 4), (4, 7), (2, 6), (0, 3), (4, 6), (0, 6), (3, 4), (4, 5), (3, 7), (2, 5), (0, 5), (0, 2), (2, 4), (1, 7)]",
77a23b99,8,16,0,0.0,False,False,None,8.11510487730742,,,,,,,,,,,8.11510487730742,,1.0,,,,0.018563270568847656,0.018563270568847656,False,,0.0,0.0,,,0.03224778175354004,2026-06-26 13:55:47,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,8,"[(1, 3), (0, 1), (2, 3), (5, 7), (0, 7), (3, 5), (4, 6), (1, 2), (5, 6), (0, 6), (3, 4), (2, 5), (1, 4), (0, 2), (6, 7), (1, 7)]",
27181b9f,8,16,0,0.0,False,False,None,7.941043782459288,,,,,,,,,,,7.941043782459288,,1.0,,,,0.015094995498657227,0.015094995498657227,False,,0.0,0.0,,,0.028329133987426758,2026-06-26 13:55:47,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,9,"[(2, 7), (0, 1), (1, 6), (2, 6), (3, 5), (1, 2), (5, 6), (0, 6), (3, 4), (1, 5), (4, 5), (2, 5), (1, 4), (0, 2), (6, 7), (1, 7)]",
