run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,rerun_exclude_finished_instances
b75dd7c1,3,3,1,100.0,False,True,"[1, 1, 1]",1.0723989325373244,,0.7149326216915496,,,,0.18102717399597168,2026-04-13 21:30:49,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,209.33,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
28f8ebb2,4,6,1,100.0,False,True,"[1, 1, 1]",1.9879320359710757,,0.6626440119903586,,,,0.2679402828216553,2026-04-13 21:30:51,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,209.36,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
9196c479,5,10,1,100.0,False,True,"[1, 1, 1]",3.0271836514000103,,0.7567959128500026,,,,0.3879079818725586,2026-04-13 21:30:54,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,210.55,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
a3483b86,6,15,1,100.0,False,True,"[1, 1, 1]",4.398243731648067,,0.7330406219413446,,,,0.5357770919799805,2026-04-13 21:30:57,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,212.36,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
8e0ad764,7,21,1,100.0,False,True,"[1, 1, 1]",6.0913565579462094,,0.8121808743928279,,,,0.8075227737426758,2026-04-13 21:31:02,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,215.7,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
9df2d5a3,8,28,1,100.0,False,True,"[1, 1, 1]",7.9410069556505745,,0.7941006955650575,,,,1.7081279754638672,2026-04-13 21:31:05,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,229.56,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
413907d1,9,36,1,100.0,False,True,"[1, 1, 1]",10.006478116124653,,0.833873176343721,,,,7.499993085861206,2026-04-13 21:31:19,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,292.22,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
c3f33c8f,3,3,1,300.0,False,True,"[1, 1, 1]",1.0631738367672776,,0.7087825578448518,,,,0.5058281421661377,2026-04-13 21:31:21,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,208.27,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
b618fe93,10,45,1,100.0,False,True,"[1, 1, 1]",11.738912021138308,,0.7825941347425539,,,,52.60891795158386,2026-04-13 21:32:16,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,310.16,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
c82716ab,3,3,2,100.0,False,True,"[1, 1, 1]",1.0182858753849413,,0.6788572502566276,,,,0.47856998443603516,2026-04-13 21:32:20,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,209.02,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
4d936d67,4,6,1,300.0,False,True,"[1, 1, 1]",1.9722142910753162,,0.657404763691772,,,,0.843475341796875,2026-04-13 21:32:23,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,208.81,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
89160d23,5,10,1,300.0,False,True,"[1, 1, 1]",3.0605195314060594,,0.7651298828515148,,,,1.3843047618865967,2026-04-13 21:33:50,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,212.05,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
2429793b,3,3,1,500.0,False,True,"[1, 1, 1]",1.1160474730641243,,0.7440316487094162,,,,1.0688328742980957,2026-04-13 21:33:55,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,210.69,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
27083d41,4,6,2,100.0,False,True,"[1, 1, 1]",1.9202618270762628,,0.6400872756920876,,,,0.8477649688720703,2026-04-13 21:34:01,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,213.05,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
dbabc94c,6,15,1,300.0,False,True,"[1, 1, 1]",4.470795913150173,,0.7451326521916956,,,,1.9749491214752197,2026-04-13 21:34:07,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,215.34,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
